SURVEY: YSE
SNID:  2020abcn
otherID: 
IAUC:    UNKNOWN
RA:        171.9253840  deg
DECL:       10.3128410  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.038267
SIGMA_Z: 1.35e-05
REDSHIFT_CMB: 0.03948733745558908
REDSHIFT_FINAL: 0.03995490773820601
HOST_LOGMASS: 10.405493122631716
HOST_LOGMASS_ERR: 0.09817358636473444
HOST_LOGSFR: -0.3168116467122241
HOST_LOGSFR_ERR: 0.991608703118203
SEARCH_PEAKMJD: 59193.478
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abcn.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.236 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59188.650 i_PS1 NULL 8041.949 150.296 17.737 0.020 0x00
OBS: 59207.590 z_PS1 NULL 3804.921 121.233 18.549 0.035 0x00
OBS: 59212.550 z_PS1 NULL 4315.637 140.749 18.412 0.035 0x00
OBS: 59212.560 r_PS1 NULL 5749.340 111.799 18.101 0.021 0x00
OBS: 59222.570 i_PS1 NULL 2934.428 104.461 18.831 0.039 0x00
OBS: 59222.570 g_PS1 NULL 1437.381 88.988 19.606 0.067 0x01
OBS: 59226.570 g_PS1 NULL 1106.476 100.256 19.890 0.098 0x00
OBS: 59226.570 r_PS1 NULL 2462.348 105.252 19.022 0.046 0x00
OBS: 59230.650 g_PS1 NULL 1081.458 70.850 19.915 0.071 0x00
OBS: 59230.650 i_PS1 NULL 1652.948 112.785 19.454 0.074 0x00
OBS: 59236.650 i_PS1 NULL 1081.238 124.874 19.915 0.125 0x00
OBS: 59236.650 g_PS1 NULL 815.881 129.680 20.221 0.173 0x00
OBS: 59238.640 r_PS1 NULL 1611.524 126.395 19.482 0.085 0x01
OBS: 59238.640 z_PS1 NULL 1171.026 149.945 19.829 0.139 0x00
OBS: 59253.500 i_PS1 NULL 625.156 125.913 20.510 0.219 0x00
OBS: 59253.500 g_PS1 NULL 444.332 114.438 20.881 0.280 0x00
OBS: 59256.480 g_PS1 NULL 732.184 83.877 20.338 0.124 0x00
OBS: 59256.480 r_PS1 NULL 1019.560 77.943 19.979 0.083 0x00
OBS: 59267.450 r_PS1 NULL 622.884 109.983 20.514 0.192 0x00
OBS: 59288.470 g_PS1 NULL 385.054 75.164 21.036 0.212 0x00
OBS: 59288.470 r_PS1 NULL 313.381 69.636 21.260 0.241 0x00
OBS: 59310.350 i_PS1 NULL 558.935 126.532 20.632 0.246 0x01
OBS: 59315.250 g_PS1 NULL 309.382 82.922 21.274 0.291 0x00
OBS: 59321.300 g_PS1 NULL 409.253 73.232 20.970 0.194 0x00
OBS: 59351.310 g_PS1 NULL 496.355 119.369 20.761 0.261 0x00
