SURVEY: YSE
SNID:  2020abip
otherID: 
IAUC:    UNKNOWN
RA:        204.8853880  deg
DECL:       29.9980220  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.034458
SIGMA_Z: 8.92e-06
REDSHIFT_CMB: 0.035255932150849434
REDSHIFT_FINAL: 0.036304782557271674
HOST_LOGMASS: 10.940003230681116
SEARCH_PEAKMJD: 59200.538
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abip.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.324 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59214.640 r_PS1 NULL 5657.711 124.792 18.118 0.024 0x00
OBS: 59214.640 z_PS1 NULL 4499.643 177.842 18.367 0.043 0x00
OBS: 59225.610 r_PS1 NULL 4250.902 116.227 18.429 0.030 0x00
OBS: 59225.610 g_PS1 NULL 1204.074 107.613 19.798 0.097 0x01
OBS: 59229.640 g_PS1 NULL 947.202 71.231 20.059 0.082 0x01
OBS: 59229.650 r_PS1 NULL 3116.199 77.716 18.766 0.027 0x00
OBS: 59231.620 i_PS1 NULL 3111.798 76.705 18.767 0.027 0x00
OBS: 59231.620 g_PS1 NULL 1013.991 58.359 19.985 0.062 0x00
OBS: 59236.580 i_PS1 NULL 2258.793 139.790 19.115 0.067 0x00
OBS: 59236.580 g_PS1 NULL 529.100 119.075 20.691 0.244 0x00
OBS: 59238.570 z_PS1 NULL 1954.011 189.504 19.273 0.105 0x00
OBS: 59238.580 r_PS1 NULL 2184.224 104.787 19.152 0.052 0x00
OBS: 59242.570 i_PS1 NULL 1768.776 178.693 19.381 0.110 0x00
OBS: 59242.570 r_PS1 NULL 1733.945 205.972 19.402 0.129 0x00
OBS: 59244.570 z_PS1 NULL 1304.573 197.131 19.711 0.164 0x00
OBS: 59244.570 r_PS1 NULL 1589.027 167.208 19.497 0.114 0x00
OBS: 59255.530 i_PS1 NULL 1130.683 90.178 19.867 0.087 0x00
OBS: 59255.530 g_PS1 NULL 366.431 88.305 21.090 0.262 0x00
OBS: 59257.520 r_PS1 NULL 1158.561 52.860 19.840 0.050 0x00
OBS: 59257.520 g_PS1 NULL 478.074 53.817 20.801 0.122 0x00
OBS: 59278.480 g_PS1 NULL 520.389 139.959 20.709 0.292 0x00
OBS: 59291.420 i_PS1 NULL 633.301 81.509 20.496 0.140 0x00
OBS: 59293.420 g_PS1 NULL 414.278 78.593 20.957 0.206 0x00
OBS: 59296.450 i_PS1 NULL 435.083 68.187 20.904 0.170 0x00
OBS: 59312.500 r_PS1 NULL 503.022 102.072 20.746 0.220 0x00
OBS: 59323.360 g_PS1 NULL 300.119 79.529 21.307 0.288 0x00
