SURVEY: YSE
SNID:  2020aeqp
otherID: 
IAUC:    UNKNOWN
RA:        187.3406500  deg
DECL:       31.2545220  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.06
REDSHIFT_CMB: 0.06096360878532292
REDSHIFT_FINAL: 0.060241241959462496
HOST_LOGMASS: 9.341796296910632
SEARCH_PEAKMJD: 59220.63
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aeqp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3500
# DIST_FROM_CENTER_DEG: 0.481 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59220.630 r_PS1 NULL 7689.607 105.040 17.785 0.015 0x00
OBS: 59220.630 g_PS1 NULL 8344.576 140.726 17.696 0.018 0x01
OBS: 59220.630 z_PS1 NULL 3675.022 121.885 18.587 0.036 0x00
OBS: 59220.630 i_PS1 NULL 4506.926 114.321 18.365 0.028 0x01
OBS: 59221.620 g_PS1 NULL 7728.779 131.857 17.780 0.019 0x00
OBS: 59221.620 z_PS1 NULL 3816.541 130.373 18.546 0.037 0x00
OBS: 59221.620 i_PS1 NULL 4322.817 88.955 18.411 0.022 0x00
OBS: 59221.620 r_PS1 NULL 7468.812 106.295 17.817 0.015 0x00
OBS: 59222.580 z_PS1 NULL 3476.958 149.358 18.647 0.047 0x00
OBS: 59222.580 i_PS1 NULL 4053.778 109.553 18.480 0.029 0x00
OBS: 59222.580 r_PS1 NULL 7386.448 115.469 17.829 0.017 0x00
OBS: 59222.580 g_PS1 NULL 8015.150 146.439 17.740 0.020 0x00
OBS: 59226.630 g_PS1 NULL 6843.704 141.136 17.912 0.022 0x01
OBS: 59226.630 z_PS1 NULL 2618.398 151.494 18.955 0.063 0x00
OBS: 59226.630 r_PS1 NULL 6695.711 132.253 17.936 0.021 0x00
OBS: 59226.630 i_PS1 NULL 3197.942 130.448 18.738 0.044 0x00
OBS: 59228.660 r_PS1 NULL 6206.288 199.116 18.018 0.035 0x00
OBS: 59228.660 i_PS1 NULL 3571.371 165.173 18.618 0.050 0x00
OBS: 59228.660 z_PS1 NULL 2434.807 246.060 19.034 0.110 0x00
OBS: 59228.670 g_PS1 NULL 6445.240 191.004 17.977 0.032 0x00
OBS: 59230.065 g_PS1 NULL 5511.633 164.748 18.146 0.033 0x00
OBS: 59230.203 z_PS1 NULL 2433.866 305.638 19.035 0.136 0x00
OBS: 59230.207 i_PS1 NULL 3024.148 177.605 18.799 0.064 0x00
OBS: 59230.207 r_PS1 NULL 5890.620 170.711 18.075 0.031 0x00
OBS: 59231.475 z_PS1 NULL 2095.399 281.524 19.215 0.146 0x00
OBS: 59231.475 i_PS1 NULL 2859.034 192.246 18.860 0.074 0x00
OBS: 59231.480 r_PS1 NULL 5433.547 197.044 18.163 0.040 0x00
OBS: 59231.480 g_PS1 NULL 4514.364 243.653 18.364 0.059 0x01
OBS: 59235.470 g_PS1 NULL 3596.287 234.379 18.615 0.071 0x00
OBS: 59235.470 r_PS1 NULL 4342.716 200.381 18.406 0.050 0x00
