SURVEY: YSE
SNID:  2020duv
otherID: 
IAUC:    UNKNOWN
RA:        241.2557670  deg
DECL:       27.2602740  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.045663
SIGMA_Z: 2.09e-05
REDSHIFT_CMB: 0.0459155414275505
REDSHIFT_FINAL: 0.04534470310123679
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 58931.52
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020duv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.952 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58918.610 r_PS1 NULL 11657.245 110.067 17.334 0.010 0x00
OBS: 58918.610 i_PS1 NULL 8366.068 127.599 17.694 0.017 0x00
OBS: 58931.520 r_PS1 NULL 12787.296 161.459 17.233 0.014 0x00
OBS: 58937.620 g_PS1 NULL 9513.961 242.445 17.554 0.028 0x00
OBS: 58937.630 i_PS1 NULL 4562.039 104.189 18.352 0.025 0x00
OBS: 58941.540 g_PS1 NULL 6818.189 98.519 17.916 0.016 0x00
OBS: 58941.540 z_PS1 NULL 4468.031 140.030 18.375 0.034 0x00
OBS: 58950.600 z_PS1 NULL 4218.806 194.629 18.437 0.050 0x00
OBS: 58950.600 r_PS1 NULL 6641.282 135.059 17.944 0.022 0x00
OBS: 58955.480 g_PS1 NULL 2316.788 77.697 19.088 0.036 0x00
OBS: 58955.480 z_PS1 NULL 4430.386 139.620 18.384 0.034 0x00
OBS: 58958.580 g_PS1 NULL 2027.099 64.975 19.233 0.035 0x01
OBS: 58958.590 i_PS1 NULL 4388.981 86.774 18.394 0.021 0x01
OBS: 58960.470 g_PS1 NULL 1852.138 57.340 19.331 0.034 0x00
OBS: 58960.480 r_PS1 NULL 4873.685 73.987 18.280 0.016 0x00
OBS: 58962.470 i_PS1 NULL 4233.523 151.190 18.433 0.039 0x00
OBS: 58962.470 g_PS1 NULL 1768.035 149.537 19.381 0.092 0x00
OBS: 58966.570 g_PS1 NULL 1337.399 54.009 19.684 0.044 0x00
OBS: 58966.580 r_PS1 NULL 3335.702 78.535 18.692 0.026 0x00
OBS: 58968.550 g_PS1 NULL 1320.492 55.094 19.698 0.045 0x00
OBS: 58968.550 i_PS1 NULL 2667.461 66.960 18.935 0.027 0x00
OBS: 58971.410 z_PS1 NULL 2297.837 134.638 19.097 0.064 0x00
OBS: 58971.410 g_PS1 NULL 1199.209 70.827 19.803 0.064 0x00
OBS: 58973.450 r_PS1 NULL 2590.959 75.241 18.966 0.032 0x00
OBS: 58974.420 z_PS1 NULL 1836.602 153.345 19.340 0.091 0x00
OBS: 58974.430 r_PS1 NULL 2507.801 112.357 19.002 0.049 0x00
OBS: 58976.430 r_PS1 NULL 2073.911 246.182 19.208 0.129 0x00
OBS: 58976.440 z_PS1 NULL 1672.616 199.833 19.442 0.130 0x00
OBS: 58981.390 r_PS1 NULL 2183.816 65.036 19.152 0.032 0x00
OBS: 58983.520 g_PS1 NULL 1016.538 62.964 19.982 0.067 0x00
OBS: 58983.530 i_PS1 NULL 1544.394 71.479 19.528 0.050 0x00
OBS: 58985.390 z_PS1 NULL 1335.084 97.521 19.686 0.079 0x00
OBS: 58985.390 g_PS1 NULL 943.710 51.072 20.063 0.059 0x00
OBS: 58989.510 r_PS1 NULL 1737.449 52.838 19.400 0.033 0x00
OBS: 58989.520 g_PS1 NULL 821.368 60.110 20.214 0.079 0x00
OBS: 58993.370 g_PS1 NULL 851.229 97.797 20.175 0.125 0x00
OBS: 58993.380 r_PS1 NULL 1633.158 69.519 19.467 0.046 0x00
OBS: 58995.470 i_PS1 NULL 1095.995 69.786 19.900 0.069 0x00
OBS: 58995.470 g_PS1 NULL 710.816 53.852 20.371 0.082 0x00
OBS: 58999.490 z_PS1 NULL 573.379 97.395 20.604 0.184 0x00
OBS: 58999.490 g_PS1 NULL 668.400 47.603 20.437 0.077 0x00
OBS: 59003.450 z_PS1 NULL 579.835 150.669 20.592 0.282 0x00
OBS: 59003.450 r_PS1 NULL 1371.554 75.092 19.657 0.059 0x00
OBS: 59013.460 g_PS1 NULL 674.324 102.879 20.428 0.166 0x00
OBS: 59013.460 z_PS1 NULL 624.610 171.417 20.511 0.298 0x00
OBS: 59016.440 r_PS1 NULL 827.329 51.983 20.206 0.068 0x00
OBS: 59016.440 g_PS1 NULL 724.370 59.995 20.350 0.090 0x00
OBS: 59019.480 i_PS1 NULL 455.022 102.719 20.855 0.245 0x00
OBS: 59019.480 g_PS1 NULL 593.335 128.584 20.567 0.235 0x00
OBS: 59023.440 r_PS1 NULL 747.486 39.808 20.316 0.058 0x00
OBS: 59023.440 g_PS1 NULL 523.645 54.113 20.702 0.112 0x00
OBS: 59026.290 i_PS1 NULL 476.849 77.260 20.804 0.176 0x00
OBS: 59026.290 g_PS1 NULL 737.060 71.449 20.331 0.105 0x00
OBS: 59028.290 g_PS1 NULL 574.883 66.203 20.601 0.125 0x00
OBS: 59028.300 i_PS1 NULL 402.671 50.573 20.988 0.136 0x00
OBS: 59030.390 r_PS1 NULL 661.863 46.157 20.448 0.076 0x00
OBS: 59031.280 r_PS1 NULL 586.188 82.537 20.580 0.153 0x00
OBS: 59031.290 i_PS1 NULL 404.031 85.257 20.984 0.229 0x00
OBS: 59034.280 r_PS1 NULL 455.279 92.209 20.854 0.220 0x00
OBS: 59037.380 r_PS1 NULL 417.486 64.116 20.948 0.167 0x00
OBS: 59037.390 i_PS1 NULL 311.145 62.451 21.268 0.218 0x00
OBS: 59040.370 r_PS1 NULL 488.536 53.843 20.778 0.120 0x00
OBS: 59048.350 r_PS1 NULL 353.362 37.812 21.129 0.116 0x00
OBS: 59048.350 g_PS1 NULL 341.275 41.971 21.167 0.134 0x00
OBS: 59052.400 g_PS1 NULL 400.491 55.507 20.994 0.150 0x00
OBS: 59052.400 i_PS1 NULL 273.422 47.557 21.408 0.189 0x00
OBS: 59055.330 g_PS1 NULL 412.747 52.384 20.961 0.138 0x00
OBS: 59055.330 r_PS1 NULL 287.446 52.832 21.354 0.200 0x00
OBS: 59069.350 r_PS1 NULL 321.389 69.338 21.232 0.234 0x01
OBS: 59071.280 g_PS1 NULL 307.153 41.844 21.282 0.148 0x00
OBS: 59074.300 g_PS1 NULL 290.270 54.787 21.343 0.205 0x00
