SURVEY: YSE
SNID:  2020dwg
otherID: 
IAUC:    UNKNOWN
RA:        239.6033460  deg
DECL:       32.9689190  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.047953
SIGMA_Z: 8.28e-06
REDSHIFT_CMB: 0.048203892927288106
REDSHIFT_FINAL: 0.04976359345237431
HOST_LOGMASS: 11.023333832865697
SEARCH_PEAKMJD: 58931.58
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020dwg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.144 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58918.610 r_PS1 NULL 6693.564 122.890 17.936 0.020 0x00
OBS: 58918.610 i_PS1 NULL 5284.203 118.170 18.193 0.024 0x00
OBS: 58931.570 g_PS1 NULL 5929.590 108.363 18.067 0.020 0x00
OBS: 58931.580 r_PS1 NULL 7490.208 111.004 17.814 0.016 0x00
OBS: 58935.590 g_PS1 NULL 4426.608 138.870 18.385 0.034 0x00
OBS: 58935.590 i_PS1 NULL 3532.934 176.235 18.630 0.054 0x00
OBS: 58945.560 r_PS1 NULL 4662.714 173.462 18.328 0.040 0x00
OBS: 58950.590 z_PS1 NULL 2862.011 200.349 18.858 0.076 0x00
OBS: 58950.590 r_PS1 NULL 3759.609 160.613 18.562 0.046 0x00
OBS: 58955.480 g_PS1 NULL 773.381 75.010 20.279 0.105 0x01
OBS: 58955.490 z_PS1 NULL 2561.925 149.480 18.979 0.063 0x01
OBS: 58956.460 g_PS1 NULL 772.891 68.661 20.280 0.096 0x00
OBS: 58956.470 r_PS1 NULL 2625.086 72.958 18.952 0.030 0x00
OBS: 58958.520 i_PS1 NULL 2442.346 72.051 19.030 0.032 0x00
OBS: 58958.520 g_PS1 NULL 814.970 52.824 20.222 0.070 0x00
OBS: 58960.460 g_PS1 NULL 723.966 61.964 20.351 0.093 0x00
OBS: 58960.470 r_PS1 NULL 2098.712 66.070 19.195 0.034 0x00
OBS: 58962.470 i_PS1 NULL 1999.609 142.967 19.248 0.078 0x00
OBS: 58962.480 g_PS1 NULL 651.182 139.529 20.466 0.233 0x00
OBS: 58966.460 g_PS1 NULL 528.999 57.406 20.691 0.118 0x01
OBS: 58966.460 r_PS1 NULL 1749.573 57.911 19.393 0.036 0x00
OBS: 58968.480 i_PS1 NULL 1356.513 80.454 19.669 0.064 0x00
OBS: 58968.480 g_PS1 NULL 601.171 60.880 20.553 0.110 0x00
OBS: 58970.490 i_PS1 NULL 1308.106 83.880 19.708 0.070 0x00
OBS: 58970.490 g_PS1 NULL 515.958 64.357 20.718 0.135 0x00
OBS: 58972.480 i_PS1 NULL 1360.854 86.259 19.665 0.069 0x00
OBS: 58972.480 r_PS1 NULL 1332.837 68.967 19.688 0.056 0x00
OBS: 58973.460 r_PS1 NULL 1353.644 72.189 19.671 0.058 0x00
OBS: 58973.470 z_PS1 NULL 621.295 110.415 20.517 0.193 0x00
OBS: 58975.440 i_PS1 NULL 1015.206 99.093 19.984 0.106 0x00
OBS: 58975.440 r_PS1 NULL 1404.203 107.697 19.631 0.083 0x00
OBS: 58983.480 z_PS1 NULL 549.064 131.691 20.651 0.260 0x00
OBS: 58983.480 g_PS1 NULL 411.523 106.841 20.964 0.282 0x01
OBS: 58985.380 g_PS1 NULL 560.861 50.922 20.628 0.099 0x00
OBS: 58985.380 i_PS1 NULL 726.810 59.290 20.346 0.089 0x00
OBS: 58993.380 i_PS1 NULL 512.872 119.719 20.725 0.253 0x00
OBS: 58993.380 g_PS1 NULL 537.398 76.739 20.674 0.155 0x00
OBS: 58998.360 z_PS1 NULL 372.398 78.091 21.072 0.228 0x00
OBS: 58998.360 g_PS1 NULL 352.905 52.746 21.131 0.162 0x00
OBS: 59009.350 i_PS1 NULL 460.361 59.716 20.842 0.141 0x00
OBS: 59009.350 r_PS1 NULL 639.732 51.026 20.485 0.087 0x00
OBS: 59016.350 g_PS1 NULL 294.690 49.538 21.327 0.183 0x00
OBS: 59020.330 g_PS1 NULL 328.382 72.443 21.209 0.240 0x01
OBS: 59028.290 g_PS1 NULL 275.794 53.788 21.399 0.212 0x00
OBS: 59029.300 i_PS1 NULL 310.981 50.289 21.268 0.176 0x00
OBS: 59029.300 g_PS1 NULL 347.948 54.609 21.146 0.170 0x00
OBS: 59039.360 r_PS1 NULL 350.485 47.022 21.138 0.146 0x00
OBS: 59039.360 i_PS1 NULL 265.491 59.140 21.440 0.242 0x00
OBS: 59042.300 g_PS1 NULL 245.975 44.704 21.523 0.197 0x00
