SURVEY: YSE
SNID:  2020dxa
otherID: 
IAUC:    UNKNOWN
RA:        239.6795500  deg
DECL:       26.8193440  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.014155
SIGMA_Z: 3.91e-06
REDSHIFT_CMB: 0.014431320042922247
REDSHIFT_FINAL: 0.014317571658190281
HOST_LOGMASS: 10.55967056587306
SEARCH_PEAKMJD: 58918.61
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020dxa.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.205 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58918.610 i_PS1 NULL 60974.115 218.024 15.537 0.004 0x00
OBS: 58918.610 r_PS1 NULL 88677.041 283.092 15.130 0.003 0x00
OBS: 58931.520 g_PS1 NULL 73645.548 282.233 15.332 0.004 0x00
OBS: 58931.520 r_PS1 NULL 75643.110 267.626 15.303 0.004 0x00
OBS: 58937.620 g_PS1 NULL 46493.713 313.175 15.832 0.007 0x00
OBS: 58937.630 i_PS1 NULL 32398.196 268.446 16.224 0.009 0x00
OBS: 58941.540 z_PS1 NULL 42657.252 260.223 15.925 0.007 0x00
OBS: 58941.540 g_PS1 NULL 32571.905 205.374 16.218 0.007 0x00
OBS: 58945.510 z_PS1 NULL 43824.913 327.211 15.896 0.008 0x00
OBS: 58950.600 r_PS1 NULL 38809.354 227.265 16.028 0.006 0x00
OBS: 58950.600 z_PS1 NULL 39864.692 331.242 15.999 0.009 0x00
OBS: 58955.480 z_PS1 NULL 29292.254 246.416 16.333 0.009 0x00
OBS: 58962.470 i_PS1 NULL 17920.630 318.776 16.867 0.019 0x01
OBS: 58968.550 i_PS1 NULL 14232.884 117.243 17.117 0.009 0x00
OBS: 58968.550 g_PS1 NULL 8566.296 95.889 17.668 0.012 0x00
OBS: 58971.400 g_PS1 NULL 7629.860 125.859 17.794 0.018 0x00
OBS: 58971.410 z_PS1 NULL 11150.193 188.569 17.382 0.018 0x00
OBS: 58973.450 r_PS1 NULL 14323.958 123.025 17.110 0.009 0x00
OBS: 58973.450 i_PS1 NULL 11644.131 160.987 17.335 0.015 0x01
OBS: 58974.420 z_PS1 NULL 9806.873 177.355 17.521 0.020 0x00
OBS: 58974.420 r_PS1 NULL 14025.437 156.097 17.133 0.012 0x00
OBS: 58976.430 z_PS1 NULL 9015.110 282.974 17.613 0.034 0x01
OBS: 58976.430 r_PS1 NULL 12755.221 255.280 17.236 0.022 0x00
OBS: 58985.390 z_PS1 NULL 5713.282 125.350 18.108 0.024 0x00
OBS: 58985.390 g_PS1 NULL 6544.254 78.540 17.960 0.013 0x00
OBS: 58989.510 g_PS1 NULL 6139.853 87.035 18.030 0.015 0x00
OBS: 58989.510 r_PS1 NULL 8641.008 94.674 17.659 0.012 0x00
OBS: 58993.370 g_PS1 NULL 5814.374 126.558 18.089 0.024 0x00
OBS: 58993.380 r_PS1 NULL 7782.446 105.662 17.772 0.015 0x00
OBS: 58995.470 g_PS1 NULL 5767.929 112.759 18.097 0.021 0x00
OBS: 58995.470 i_PS1 NULL 5791.349 104.271 18.093 0.020 0x00
OBS: 58999.490 g_PS1 NULL 5304.659 94.431 18.188 0.019 0x00
OBS: 58999.490 z_PS1 NULL 2917.620 93.421 18.837 0.035 0x00
OBS: 59003.450 z_PS1 NULL 2831.315 149.843 18.870 0.057 0x00
OBS: 59003.450 r_PS1 NULL 5908.692 113.839 18.071 0.021 0x00
OBS: 59007.300 i_PS1 NULL 3886.579 94.713 18.526 0.026 0x00
OBS: 59007.310 r_PS1 NULL 5301.812 96.244 18.189 0.020 0x00
OBS: 59009.340 r_PS1 NULL 4866.234 93.110 18.282 0.021 0x00
OBS: 59009.340 z_PS1 NULL 1952.761 232.827 19.273 0.129 0x00
OBS: 59013.460 z_PS1 NULL 1604.517 155.636 19.487 0.105 0x00
OBS: 59013.460 g_PS1 NULL 4442.138 143.602 18.381 0.035 0x00
OBS: 59016.440 g_PS1 NULL 4038.121 84.863 18.485 0.023 0x00
OBS: 59016.440 r_PS1 NULL 4111.893 79.836 18.465 0.021 0x00
OBS: 59019.480 g_PS1 NULL 3949.266 152.293 18.509 0.042 0x00
OBS: 59019.480 i_PS1 NULL 2620.052 157.630 18.954 0.065 0x00
OBS: 59023.440 g_PS1 NULL 3740.954 83.432 18.568 0.024 0x00
OBS: 59023.440 r_PS1 NULL 3279.757 63.616 18.710 0.021 0x00
OBS: 59026.290 i_PS1 NULL 2292.899 97.086 19.099 0.046 0x00
OBS: 59026.290 g_PS1 NULL 3654.849 97.825 18.593 0.029 0x01
OBS: 59028.290 g_PS1 NULL 3476.361 94.426 18.647 0.029 0x00
OBS: 59028.290 i_PS1 NULL 2138.806 63.902 19.175 0.032 0x00
OBS: 59034.270 r_PS1 NULL 2526.478 104.347 18.994 0.045 0x00
OBS: 59034.280 z_PS1 NULL 817.365 100.153 20.219 0.133 0x00
OBS: 59037.380 r_PS1 NULL 2299.235 87.261 19.096 0.041 0x00
OBS: 59037.390 i_PS1 NULL 1876.946 72.576 19.316 0.042 0x00
OBS: 59040.360 r_PS1 NULL 2090.058 67.585 19.200 0.035 0x00
OBS: 59040.360 z_PS1 NULL 780.982 113.098 20.268 0.157 0x00
OBS: 59048.350 g_PS1 NULL 2692.265 65.095 18.925 0.026 0x00
OBS: 59048.350 r_PS1 NULL 1662.176 54.110 19.448 0.035 0x00
OBS: 59059.370 i_PS1 NULL 1118.419 103.603 19.878 0.101 0x00
OBS: 59059.380 r_PS1 NULL 1237.266 70.954 19.769 0.062 0x00
OBS: 59062.370 z_PS1 NULL 547.789 104.547 20.653 0.207 0x00
OBS: 59062.370 r_PS1 NULL 1307.897 85.985 19.709 0.071 0x00
OBS: 59069.340 i_PS1 NULL 832.277 76.413 20.199 0.100 0x00
OBS: 59069.350 r_PS1 NULL 970.452 75.615 20.033 0.085 0x01
OBS: 59071.280 g_PS1 NULL 1942.760 53.753 19.279 0.030 0x00
OBS: 59071.290 i_PS1 NULL 796.517 58.162 20.247 0.079 0x00
OBS: 59074.300 g_PS1 NULL 1853.305 68.398 19.330 0.040 0x00
OBS: 59082.300 g_PS1 NULL 1495.984 113.057 19.563 0.082 0x00
OBS: 59082.310 i_PS1 NULL 771.394 95.867 20.282 0.135 0x00
OBS: 59083.260 r_PS1 NULL 685.069 56.463 20.411 0.089 0x00
OBS: 59096.260 r_PS1 NULL 582.343 83.092 20.587 0.155 0x00
OBS: 59096.260 z_PS1 NULL 441.471 118.011 20.888 0.290 0x00
OBS: 59102.250 g_PS1 NULL 1187.193 66.003 19.814 0.060 0x00
OBS: 59102.250 i_PS1 NULL 491.644 80.662 20.771 0.178 0x00
OBS: 59106.240 i_PS1 NULL 389.580 70.342 21.024 0.196 0x00
OBS: 59106.250 g_PS1 NULL 1167.143 62.465 19.832 0.058 0x00
OBS: 59108.240 g_PS1 NULL 1070.471 71.119 19.926 0.072 0x00
