SURVEY: YSE
SNID:  2020eci
otherID: 
IAUC:    UNKNOWN
RA:        230.8120500  deg
DECL:       0.0649540  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.070933
SIGMA_Z: 7.88e-06
REDSHIFT_CMB: 0.07152838247192372
REDSHIFT_FINAL: 0.07148361951120197
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 58914.46
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020eci.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.061 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.510 r_PS1 NULL 3110.188 97.452 18.768 0.034 0x00
OBS: 58931.510 g_PS1 NULL 2694.667 93.222 18.924 0.038 0x00
OBS: 58940.610 z_PS1 NULL 1015.946 117.902 19.983 0.126 0x00
OBS: 58940.610 g_PS1 NULL 1362.808 82.950 19.664 0.066 0x00
OBS: 58945.560 r_PS1 NULL 1702.358 93.465 19.422 0.060 0x00
OBS: 58945.560 z_PS1 NULL 1371.795 220.559 19.657 0.175 0x00
OBS: 58955.450 z_PS1 NULL 1256.413 146.178 19.752 0.126 0x00
OBS: 58955.450 g_PS1 NULL 509.359 98.186 20.732 0.209 0x01
OBS: 58959.470 g_PS1 NULL 425.983 74.097 20.927 0.189 0x01
OBS: 58964.490 r_PS1 NULL 691.117 98.797 20.401 0.155 0x00
OBS: 58968.480 g_PS1 NULL 281.360 60.260 21.377 0.233 0x00
OBS: 58968.490 i_PS1 NULL 618.025 71.811 20.522 0.126 0x00
OBS: 58970.500 i_PS1 NULL 679.108 70.733 20.420 0.113 0x00
OBS: 58972.450 r_PS1 NULL 697.885 58.752 20.391 0.091 0x00
OBS: 58973.460 i_PS1 NULL 518.659 79.072 20.713 0.166 0x01
OBS: 58979.350 r_PS1 NULL 407.834 104.207 20.974 0.277 0x00
OBS: 58983.480 g_PS1 NULL 193.751 52.944 21.782 0.297 0x00
OBS: 58983.480 z_PS1 NULL 447.451 116.499 20.873 0.283 0x00
OBS: 58988.490 g_PS1 NULL 282.596 52.647 21.372 0.202 0x00
OBS: 58988.490 r_PS1 NULL 372.960 68.398 21.071 0.199 0x00
OBS: 58990.390 g_PS1 NULL 193.699 47.882 21.782 0.268 0x00
OBS: 58990.390 i_PS1 NULL 361.368 45.129 21.105 0.136 0x00
OBS: 58994.380 r_PS1 NULL 366.889 53.295 21.089 0.158 0x00
OBS: 58997.330 g_PS1 NULL 324.187 64.266 21.223 0.215 0x00
OBS: 58999.370 i_PS1 NULL 270.711 71.687 21.419 0.288 0x00
OBS: 58999.380 g_PS1 NULL 309.005 74.319 21.275 0.261 0x00
OBS: 59009.340 r_PS1 NULL 215.550 53.324 21.666 0.269 0x00
OBS: 59011.300 r_PS1 NULL 303.629 77.939 21.294 0.279 0x00
OBS: 59048.290 g_PS1 NULL 174.598 43.830 21.895 0.273 0x00
OBS: 59444.280 r_PS1 NULL 415.446 105.474 20.954 0.276 0x00
