SURVEY: YSE
SNID:  2020ees
otherID: 
IAUC:    UNKNOWN
RA:        201.8133000  deg
DECL:       32.0336300  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.024377
SIGMA_Z: 6.67e-06
REDSHIFT_CMB: 0.02517729099805721
REDSHIFT_FINAL: 0.026068267534602223
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 58929.53
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ees.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.612 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.530 r_PS1 NULL 32772.320 200.158 16.211 0.007 0x00
OBS: 58934.500 r_PS1 NULL 28297.874 295.110 16.371 0.011 0x00
OBS: 58934.500 g_PS1 NULL 28633.536 304.876 16.358 0.012 0x00
OBS: 58949.370 r_PS1 NULL 15289.539 174.913 17.039 0.012 0x00
OBS: 58949.370 z_PS1 NULL 12330.333 223.185 17.273 0.020 0x00
OBS: 58957.540 i_PS1 NULL 11656.818 127.057 17.334 0.012 0x00
OBS: 58957.540 g_PS1 NULL 4757.568 104.230 18.307 0.024 0x01
OBS: 58959.360 r_PS1 NULL 11393.183 112.849 17.358 0.011 0x00
OBS: 58959.360 g_PS1 NULL 4832.868 92.032 18.289 0.021 0x00
OBS: 58967.370 i_PS1 NULL 7053.407 91.211 17.879 0.014 0x00
OBS: 58967.370 g_PS1 NULL 3276.213 73.903 18.712 0.024 0x00
OBS: 58970.370 g_PS1 NULL 2900.559 106.719 18.844 0.040 0x00
OBS: 58970.380 z_PS1 NULL 6641.002 160.401 17.944 0.026 0x00
OBS: 58976.420 r_PS1 NULL 5369.353 196.406 18.175 0.040 0x00
OBS: 58976.430 i_PS1 NULL 4292.274 173.324 18.418 0.044 0x00
OBS: 58981.400 i_PS1 NULL 3924.763 111.522 18.515 0.031 0x00
OBS: 58981.400 r_PS1 NULL 4653.724 91.834 18.330 0.021 0x00
OBS: 58984.280 i_PS1 NULL 3399.669 84.479 18.671 0.027 0x00
OBS: 58984.280 g_PS1 NULL 2277.514 73.774 19.106 0.035 0x00
OBS: 58987.380 r_PS1 NULL 3811.629 87.224 18.547 0.025 0x00
OBS: 58987.380 g_PS1 NULL 2261.987 85.481 19.114 0.041 0x00
OBS: 58992.280 g_PS1 NULL 1967.733 53.498 19.265 0.030 0x00
OBS: 58992.290 r_PS1 NULL 3317.436 69.967 18.698 0.023 0x00
OBS: 58999.360 z_PS1 NULL 1396.856 87.684 19.637 0.068 0x00
OBS: 58999.360 g_PS1 NULL 1828.881 67.550 19.345 0.040 0x00
OBS: 59003.380 z_PS1 NULL 1747.014 269.307 19.394 0.167 0x00
OBS: 59003.380 r_PS1 NULL 2363.079 141.734 19.066 0.065 0x00
OBS: 59005.270 i_PS1 NULL 1739.074 227.548 19.399 0.142 0x00
OBS: 59009.350 r_PS1 NULL 2135.891 69.664 19.176 0.035 0x00
OBS: 59009.360 z_PS1 NULL 1155.399 96.699 19.843 0.091 0x00
OBS: 59011.410 i_PS1 NULL 1474.018 146.962 19.579 0.108 0x00
OBS: 59011.410 r_PS1 NULL 1939.475 115.398 19.281 0.065 0x00
OBS: 59015.310 i_PS1 NULL 1279.466 70.178 19.732 0.060 0x00
OBS: 59015.310 g_PS1 NULL 1555.374 79.474 19.520 0.055 0x00
OBS: 59017.300 g_PS1 NULL 1403.500 97.274 19.632 0.075 0x00
OBS: 59017.300 r_PS1 NULL 1766.316 84.611 19.382 0.052 0x00
OBS: 59020.340 i_PS1 NULL 1090.452 71.781 19.906 0.071 0x00
OBS: 59020.340 g_PS1 NULL 1297.132 69.377 19.718 0.058 0x00
OBS: 59029.280 g_PS1 NULL 1199.802 69.052 19.802 0.062 0x00
OBS: 59029.280 i_PS1 NULL 871.613 50.551 20.149 0.063 0x00
OBS: 59031.300 i_PS1 NULL 958.162 88.957 20.046 0.101 0x00
OBS: 59031.300 r_PS1 NULL 1244.780 91.257 19.762 0.080 0x00
OBS: 59036.270 r_PS1 NULL 1130.079 67.858 19.867 0.065 0x00
OBS: 59036.270 z_PS1 NULL 397.730 102.860 21.001 0.281 0x00
OBS: 59038.330 r_PS1 NULL 1018.055 109.786 19.981 0.117 0x00
OBS: 59038.340 i_PS1 NULL 470.744 96.324 20.818 0.222 0x00
OBS: 59042.280 z_PS1 NULL 332.227 68.901 21.196 0.225 0x00
OBS: 59042.280 g_PS1 NULL 1044.763 64.589 19.952 0.067 0x00
OBS: 59044.280 i_PS1 NULL 595.669 56.842 20.562 0.104 0x00
OBS: 59044.280 g_PS1 NULL 902.049 73.802 20.112 0.089 0x00
OBS: 59048.270 g_PS1 NULL 911.915 64.413 20.100 0.077 0x00
OBS: 59048.270 i_PS1 NULL 488.040 58.194 20.779 0.129 0x00
OBS: 59052.320 r_PS1 NULL 634.462 71.121 20.494 0.122 0x00
OBS: 59052.330 g_PS1 NULL 716.329 67.413 20.362 0.102 0x00
OBS: 59058.280 g_PS1 NULL 819.239 123.653 20.216 0.164 0x00
OBS: 59061.270 r_PS1 NULL 553.359 96.158 20.642 0.189 0x00
OBS: 59061.280 i_PS1 NULL 483.636 97.078 20.789 0.218 0x00
OBS: 59066.280 r_PS1 NULL 648.223 103.242 20.471 0.173 0x00
OBS: 59070.280 r_PS1 NULL 478.405 124.543 20.801 0.283 0x00
OBS: 59076.270 g_PS1 NULL 566.783 68.774 20.616 0.132 0x00
