SURVEY: YSE
SNID:  2020esm
otherID: 
IAUC:    UNKNOWN
RA:        211.8260880  deg
DECL:       -5.1271170  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-SC
REDSHIFT_HELIO: 0.036188
SIGMA_Z: 0.00015
REDSHIFT_CMB: 0.03711116322484442
REDSHIFT_FINAL: 0.03746471834191372
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 58944.44
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020esm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.750 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.560 g_PS1 NULL 27630.291 174.138 16.397 0.007 0x00
OBS: 58937.560 r_PS1 NULL 23591.863 119.751 16.568 0.006 0x00
OBS: 58937.560 z_PS1 NULL 16652.834 196.805 16.946 0.013 0x00
OBS: 58937.560 i_PS1 NULL 19458.526 99.709 16.777 0.006 0x00
OBS: 58951.460 i_PS1 NULL 24166.922 223.102 16.542 0.010 0x00
OBS: 58951.460 r_PS1 NULL 31980.488 269.866 16.238 0.009 0x00
OBS: 58959.460 g_PS1 NULL 18151.263 177.400 16.853 0.011 0x00
OBS: 58959.470 i_PS1 NULL 20801.589 165.372 16.705 0.009 0x00
OBS: 58964.480 i_PS1 NULL 19985.500 166.609 16.748 0.009 0x00
OBS: 58964.490 g_PS1 NULL 11917.994 149.077 17.309 0.014 0x00
OBS: 58967.460 g_PS1 NULL 9493.542 109.504 17.556 0.013 0x00
OBS: 58967.470 r_PS1 NULL 20922.625 135.472 16.698 0.007 0x00
OBS: 58971.390 g_PS1 NULL 7721.894 150.641 17.781 0.021 0x00
OBS: 58971.390 z_PS1 NULL 18793.422 192.846 16.815 0.011 0x00
OBS: 58972.450 g_PS1 NULL 7484.160 168.461 17.815 0.024 0x00
OBS: 58972.450 i_PS1 NULL 17551.816 140.240 16.889 0.009 0x00
OBS: 58979.340 r_PS1 NULL 14003.241 155.339 17.134 0.012 0x00
OBS: 58979.340 i_PS1 NULL 14501.789 167.579 17.096 0.013 0x00
OBS: 58985.390 g_PS1 NULL 4367.780 93.631 18.399 0.023 0x00
OBS: 58985.400 i_PS1 NULL 10819.679 107.008 17.414 0.011 0x00
OBS: 58990.390 r_PS1 NULL 9142.567 119.064 17.597 0.014 0x00
OBS: 58990.390 g_PS1 NULL 4090.464 90.445 18.471 0.024 0x00
OBS: 58994.370 i_PS1 NULL 7900.483 140.024 17.756 0.019 0x00
OBS: 58994.370 g_PS1 NULL 3833.272 94.923 18.541 0.027 0x00
OBS: 58997.330 g_PS1 NULL 3804.635 132.108 18.549 0.038 0x00
OBS: 58997.340 r_PS1 NULL 7590.622 170.576 17.799 0.024 0x00
OBS: 58999.380 z_PS1 NULL 7507.755 117.188 17.811 0.017 0x00
OBS: 58999.380 g_PS1 NULL 3501.169 85.486 18.639 0.027 0x00
OBS: 59010.350 i_PS1 NULL 4709.781 102.365 18.317 0.024 0x00
OBS: 59010.350 r_PS1 NULL 5613.181 98.779 18.127 0.019 0x00
OBS: 59015.280 g_PS1 NULL 2734.369 76.077 18.908 0.030 0x00
OBS: 59015.290 z_PS1 NULL 4442.598 118.102 18.381 0.029 0x00
OBS: 59027.290 g_PS1 NULL 2379.001 89.654 19.059 0.041 0x00
OBS: 59027.290 z_PS1 NULL 2827.512 130.057 18.871 0.050 0x00
OBS: 59040.290 r_PS1 NULL 2878.550 76.905 18.852 0.029 0x00
OBS: 59040.300 z_PS1 NULL 2106.217 117.985 19.191 0.061 0x00
OBS: 59043.270 i_PS1 NULL 1882.756 97.969 19.313 0.056 0x00
OBS: 59043.280 g_PS1 NULL 2068.199 67.174 19.211 0.035 0x00
OBS: 59047.300 r_PS1 NULL 2500.023 75.289 19.005 0.033 0x00
OBS: 59047.300 g_PS1 NULL 1900.238 66.335 19.303 0.038 0x00
OBS: 59054.270 r_PS1 NULL 2103.333 71.626 19.193 0.037 0x00
OBS: 59054.270 g_PS1 NULL 1642.807 90.793 19.461 0.060 0x00
