SURVEY: YSE
SNID:  2020evu
otherID: 
IAUC:    UNKNOWN
RA:        238.1204500  deg
DECL:       24.4941190  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.058101
SIGMA_Z: 6.59e-06
REDSHIFT_CMB: 0.05843255011499049
REDSHIFT_FINAL: 0.059375543063194744
HOST_LOGMASS: 10.043934178681852
SEARCH_PEAKMJD: 58939.432
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020evu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.586 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.520 r_PS1 NULL 2861.115 105.631 18.859 0.040 0x00
OBS: 58931.520 g_PS1 NULL 2842.193 118.871 18.866 0.045 0x01
OBS: 58941.540 z_PS1 NULL 3701.980 134.928 18.579 0.040 0x00
OBS: 58941.540 g_PS1 NULL 5621.226 103.762 18.125 0.020 0x00
OBS: 58945.510 z_PS1 NULL 3018.686 204.408 18.800 0.074 0x01
OBS: 58955.470 g_PS1 NULL 2807.180 78.794 18.879 0.030 0x00
OBS: 58955.480 z_PS1 NULL 2080.374 144.615 19.205 0.075 0x00
OBS: 58958.580 g_PS1 NULL 2201.358 51.759 19.143 0.026 0x00
OBS: 58958.590 i_PS1 NULL 1827.833 65.999 19.345 0.039 0x00
OBS: 58960.470 r_PS1 NULL 3184.492 72.641 18.742 0.025 0x00
OBS: 58960.470 g_PS1 NULL 1860.083 56.886 19.326 0.033 0x00
OBS: 58962.470 i_PS1 NULL 1966.694 214.968 19.266 0.119 0x00
OBS: 58962.470 g_PS1 NULL 1704.886 164.150 19.421 0.105 0x00
OBS: 58966.570 g_PS1 NULL 1208.165 52.722 19.795 0.047 0x00
OBS: 58966.580 r_PS1 NULL 2787.335 68.387 18.887 0.027 0x00
OBS: 58971.400 g_PS1 NULL 696.495 83.594 20.393 0.130 0x00
OBS: 58971.410 z_PS1 NULL 1874.716 130.679 19.318 0.076 0x00
OBS: 58973.450 r_PS1 NULL 1981.861 78.634 19.257 0.043 0x00
OBS: 58973.450 i_PS1 NULL 2200.207 116.331 19.145 0.058 0x00
OBS: 58974.420 z_PS1 NULL 1946.305 150.607 19.277 0.084 0x00
OBS: 58974.420 r_PS1 NULL 1986.457 147.483 19.255 0.081 0x00
OBS: 58976.430 z_PS1 NULL 1828.962 214.370 19.344 0.127 0x00
OBS: 58976.430 r_PS1 NULL 1854.747 320.872 19.329 0.188 0x01
OBS: 58981.390 r_PS1 NULL 1349.215 61.631 19.675 0.050 0x00
OBS: 58981.390 i_PS1 NULL 1472.789 74.098 19.580 0.055 0x00
OBS: 58989.510 g_PS1 NULL 350.071 43.825 21.140 0.136 0x00
OBS: 58989.510 r_PS1 NULL 1082.101 61.771 19.914 0.062 0x00
OBS: 58993.370 g_PS1 NULL 291.316 58.357 21.339 0.217 0x00
OBS: 58993.380 r_PS1 NULL 873.882 54.861 20.146 0.068 0x00
OBS: 58995.470 i_PS1 NULL 762.460 66.221 20.294 0.094 0x00
OBS: 58995.470 g_PS1 NULL 268.226 52.740 21.429 0.213 0x00
OBS: 58999.490 z_PS1 NULL 424.083 115.811 20.931 0.296 0x00
OBS: 58999.490 g_PS1 NULL 254.170 48.831 21.487 0.209 0x00
OBS: 59007.300 r_PS1 NULL 619.426 68.518 20.520 0.120 0x00
OBS: 59007.300 i_PS1 NULL 436.643 76.881 20.900 0.191 0x00
OBS: 59009.340 r_PS1 NULL 636.095 50.764 20.491 0.087 0x00
OBS: 59016.440 r_PS1 NULL 450.619 58.775 20.865 0.142 0x00
OBS: 59026.290 i_PS1 NULL 332.654 77.877 21.195 0.254 0x00
OBS: 59028.290 i_PS1 NULL 286.351 45.125 21.358 0.171 0x00
OBS: 59030.390 r_PS1 NULL 552.832 49.824 20.644 0.098 0x00
OBS: 59040.360 r_PS1 NULL 379.873 62.388 21.051 0.178 0x00
OBS: 59048.350 r_PS1 NULL 192.601 52.001 21.788 0.293 0x00
