SURVEY: YSE
SNID:  2020fhs
otherID: 
IAUC:    UNKNOWN
RA:        240.2761750  deg
DECL:       19.4501860  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0144
REDSHIFT_CMB: 0.014702307167908435
REDSHIFT_FINAL: 0.01456490943477971
HOST_LOGMASS: 10.338412828604895
SEARCH_PEAKMJD: 58953.441
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020fhs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.190 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58947.610 r_PS1 NULL 34133.506 256.558 16.167 0.008 0x00
OBS: 58947.620 z_PS1 NULL 23401.537 324.924 16.577 0.015 0x00
OBS: 58959.590 g_PS1 NULL 18786.911 143.065 16.815 0.008 0x00
OBS: 58959.590 i_PS1 NULL 24982.816 142.551 16.506 0.006 0x00
OBS: 58961.570 g_PS1 NULL 14768.316 126.688 17.077 0.009 0x00
OBS: 58961.580 r_PS1 NULL 29859.094 171.144 16.312 0.006 0x00
OBS: 58966.570 g_PS1 NULL 8262.989 117.837 17.707 0.015 0x00
OBS: 58966.570 i_PS1 NULL 21220.177 153.419 16.683 0.008 0x00
OBS: 58973.580 z_PS1 NULL 14891.571 186.834 17.068 0.014 0x00
OBS: 58974.005 r_PS1 NULL 12504.683 149.888 17.259 0.013 0x00
OBS: 58974.430 i_PS1 NULL 12708.037 149.530 17.240 0.013 0x00
OBS: 58978.560 z_PS1 NULL 10403.392 218.293 17.457 0.023 0x00
OBS: 58978.560 r_PS1 NULL 9188.008 165.940 17.592 0.020 0x00
OBS: 58982.510 z_PS1 NULL 8068.131 139.399 17.733 0.019 0x00
OBS: 58982.510 g_PS1 NULL 3599.744 105.720 18.609 0.032 0x00
OBS: 58984.490 i_PS1 NULL 6823.240 90.981 17.915 0.014 0x00
OBS: 58984.490 g_PS1 NULL 3323.508 60.619 18.696 0.020 0x00
OBS: 58994.490 g_PS1 NULL 2688.330 68.705 18.926 0.028 0x00
OBS: 58994.490 i_PS1 NULL 4507.768 91.616 18.365 0.022 0x00
OBS: 59000.500 g_PS1 NULL 2497.254 74.813 19.006 0.033 0x01
OBS: 59000.510 i_PS1 NULL 3483.656 77.800 18.645 0.024 0x01
OBS: 59006.470 z_PS1 NULL 2296.673 168.250 19.097 0.080 0x00
OBS: 59006.480 r_PS1 NULL 3152.496 135.802 18.753 0.047 0x00
OBS: 59011.510 z_PS1 NULL 1935.869 135.133 19.283 0.076 0x00
OBS: 59011.520 r_PS1 NULL 2496.013 137.021 19.007 0.060 0x00
OBS: 59027.280 g_PS1 NULL 1448.241 53.365 19.598 0.040 0x00
OBS: 59027.290 z_PS1 NULL 1088.721 79.386 19.908 0.079 0x00
OBS: 59029.290 g_PS1 NULL 1413.569 61.250 19.624 0.047 0x00
OBS: 59029.290 i_PS1 NULL 1336.439 50.591 19.685 0.041 0x00
OBS: 59033.390 i_PS1 NULL 1246.505 120.891 19.761 0.105 0x00
OBS: 59033.390 r_PS1 NULL 1030.985 104.212 19.967 0.110 0x00
OBS: 59037.370 r_PS1 NULL 961.663 96.155 20.042 0.109 0x00
OBS: 59037.370 z_PS1 NULL 737.788 117.337 20.330 0.173 0x00
OBS: 59040.370 r_PS1 NULL 887.425 64.087 20.130 0.078 0x00
OBS: 59040.370 i_PS1 NULL 1167.484 68.578 19.832 0.064 0x00
OBS: 59043.350 g_PS1 NULL 1016.736 77.979 19.982 0.083 0x01
OBS: 59043.350 z_PS1 NULL 766.272 102.361 20.289 0.145 0x00
OBS: 59047.360 g_PS1 NULL 936.464 70.149 20.071 0.081 0x00
OBS: 59047.360 i_PS1 NULL 853.887 72.913 20.171 0.093 0x00
OBS: 59051.340 g_PS1 NULL 995.521 53.569 20.005 0.058 0x00
OBS: 59051.340 r_PS1 NULL 614.821 54.272 20.528 0.096 0x00
OBS: 59066.280 r_PS1 NULL 397.699 68.940 21.001 0.188 0x00
OBS: 59066.280 z_PS1 NULL 557.261 86.346 20.635 0.168 0x00
OBS: 59071.270 g_PS1 NULL 746.598 73.228 20.317 0.106 0x00
OBS: 59071.270 i_PS1 NULL 660.578 75.928 20.450 0.125 0x00
OBS: 59082.310 g_PS1 NULL 597.640 80.778 20.559 0.147 0x00
OBS: 59082.310 r_PS1 NULL 251.102 66.218 21.500 0.286 0x00
OBS: 59098.300 i_PS1 NULL 396.303 79.211 21.005 0.217 0x00
OBS: 59106.240 g_PS1 NULL 339.858 50.238 21.172 0.160 0x01
OBS: 59108.230 g_PS1 NULL 278.788 75.967 21.387 0.296 0x01
OBS: 59115.240 i_PS1 NULL 256.728 62.930 21.476 0.266 0x00
