SURVEY: YSE
SNID:  2020jny
otherID: 
IAUC:    UNKNOWN
RA:        180.7437500  deg
DECL:       20.0854400  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.023706
SIGMA_Z: 1.67e-05
REDSHIFT_CMB: 0.024801189198877083
REDSHIFT_FINAL: 0.025832737926982808
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 58994.222
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jny.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.138 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58985.370 i_PS1 NULL 11691.028 113.703 17.330 0.011 0x00
OBS: 58985.370 g_PS1 NULL 14281.827 140.180 17.113 0.011 0x00
OBS: 58987.330 r_PS1 NULL 18607.644 157.939 16.826 0.009 0x00
OBS: 58987.340 g_PS1 NULL 19613.084 180.477 16.769 0.010 0x00
OBS: 58992.340 g_PS1 NULL 27703.705 172.322 16.394 0.007 0x00
OBS: 58992.350 r_PS1 NULL 25099.650 164.664 16.501 0.007 0x00
OBS: 59004.300 i_PS1 NULL 8356.635 168.874 17.695 0.022 0x00
OBS: 59004.300 r_PS1 NULL 16231.978 181.746 16.974 0.012 0x00
OBS: 59008.280 i_PS1 NULL 8530.702 131.758 17.673 0.017 0x00
OBS: 59008.280 r_PS1 NULL 13783.131 138.624 17.152 0.011 0x00
OBS: 59013.270 g_PS1 NULL 5922.308 108.421 18.069 0.020 0x00
OBS: 59013.270 i_PS1 NULL 9507.873 148.834 17.555 0.017 0x00
OBS: 59016.270 g_PS1 NULL 4568.864 92.935 18.350 0.022 0x00
OBS: 59016.270 r_PS1 NULL 10564.780 113.763 17.440 0.012 0x00
OBS: 59019.270 g_PS1 NULL 3641.711 226.507 18.597 0.068 0x00
OBS: 59019.270 i_PS1 NULL 8240.256 202.743 17.710 0.027 0x00
OBS: 59023.270 r_PS1 NULL 6381.820 93.527 17.988 0.016 0x00
OBS: 59023.270 g_PS1 NULL 2840.019 85.763 18.867 0.033 0x00
OBS: 59030.270 r_PS1 NULL 4432.573 98.323 18.383 0.024 0x00
OBS: 59030.280 z_PS1 NULL 4101.695 132.731 18.468 0.035 0x00
OBS: 59032.290 i_PS1 NULL 3574.462 111.928 18.617 0.034 0x00
OBS: 59032.290 r_PS1 NULL 3766.948 126.210 18.560 0.036 0x00
OBS: 59034.300 z_PS1 NULL 3069.681 153.169 18.782 0.054 0x00
OBS: 59034.300 r_PS1 NULL 4003.756 130.786 18.494 0.035 0x00
OBS: 59039.280 r_PS1 NULL 3187.709 116.726 18.741 0.040 0x01
OBS: 59041.270 i_PS1 NULL 2567.883 89.740 18.976 0.038 0x00
OBS: 59041.270 r_PS1 NULL 3081.134 81.851 18.778 0.029 0x00
