SURVEY: YSE
SNID:  2020kbl
otherID: 
IAUC:    UNKNOWN
RA:        243.8177460  deg
DECL:       21.0933830  deg
MWEBV:    0.078 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.079008
SIGMA_Z: 5.73e-06
REDSHIFT_CMB: 0.07924791416984656
REDSHIFT_FINAL: 0.07907190246927426
HOST_LOGMASS: 10.750462532043457
SEARCH_PEAKMJD: 58996.273
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kbl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.999 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58961.580 r_PS1 NULL 215.917 55.410 21.664 0.279 0x00
OBS: 58982.510 g_PS1 NULL 962.140 87.256 20.042 0.098 0x00
OBS: 58982.520 z_PS1 NULL 1321.429 145.435 19.697 0.119 0x00
OBS: 58984.490 g_PS1 NULL 1354.420 65.632 19.671 0.053 0x00
OBS: 58984.490 i_PS1 NULL 1661.676 68.354 19.449 0.045 0x00
OBS: 58988.490 g_PS1 NULL 2029.698 86.421 19.231 0.046 0x00
OBS: 58988.500 i_PS1 NULL 1765.536 85.549 19.383 0.053 0x00
OBS: 58994.490 g_PS1 NULL 1934.622 96.685 19.284 0.054 0x00
OBS: 58994.490 i_PS1 NULL 2014.287 96.080 19.240 0.052 0x00
OBS: 58998.360 z_PS1 NULL 1317.693 103.939 19.700 0.086 0x00
OBS: 58998.360 g_PS1 NULL 1667.729 68.289 19.445 0.044 0x00
OBS: 59000.500 g_PS1 NULL 1390.982 87.937 19.642 0.069 0x01
OBS: 59006.480 r_PS1 NULL 1900.615 172.581 19.303 0.099 0x01
OBS: 59008.300 r_PS1 NULL 1486.697 85.955 19.569 0.063 0x00
OBS: 59008.300 i_PS1 NULL 1129.820 80.438 19.867 0.077 0x00
OBS: 59011.510 z_PS1 NULL 857.670 176.997 20.167 0.224 0x00
OBS: 59011.520 r_PS1 NULL 1387.343 140.410 19.645 0.110 0x00
OBS: 59015.300 g_PS1 NULL 461.770 62.616 20.839 0.147 0x00
OBS: 59015.300 z_PS1 NULL 1108.224 121.202 19.888 0.119 0x00
OBS: 59027.280 g_PS1 NULL 253.308 64.804 21.491 0.278 0x00
OBS: 59027.290 z_PS1 NULL 499.533 96.498 20.754 0.210 0x00
OBS: 59040.370 r_PS1 NULL 423.641 70.707 20.933 0.181 0x01
OBS: 59051.340 r_PS1 NULL 320.370 58.565 21.236 0.198 0x00
OBS: 59311.470 i_PS1 NULL 2.509 82.288 22.772 -0.095 0x01
OBS: 59349.380 g_PS1 NULL 208.416 160.512 20.918 -6.878 0x00
OBS: 59354.093 g_PS1 NULL 12.844 87.707 22.836 -3.536 0x00
OBS: 59401.360 g_PS1 NULL 15.982 49.330 22.480 -0.030 0x00
