SURVEY: YSE
SNID:  2020kre
otherID: 
IAUC:    UNKNOWN
RA:        197.6244830  deg
DECL:       -1.3141920  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-CSM
REDSHIFT_HELIO: 0.1353
SIGMA_Z: 0.000213
REDSHIFT_CMB: 0.13651040904813128
REDSHIFT_FINAL: 0.1319216309304219
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59198.64
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kre.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.755 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58986.270 r_PS1 NULL 702.743 45.915 20.383 0.071 0x00
OBS: 58986.280 g_PS1 NULL 505.681 46.106 20.740 0.099 0x00
OBS: 58988.270 g_PS1 NULL 941.678 85.567 20.065 0.099 0x01
OBS: 58988.270 i_PS1 NULL 531.268 133.621 20.687 0.273 0x01
OBS: 59004.360 i_PS1 NULL 1603.732 134.720 19.487 0.091 0x00
OBS: 59004.360 r_PS1 NULL 2057.646 165.825 19.217 0.087 0x00
OBS: 59010.280 i_PS1 NULL 1736.362 68.374 19.401 0.043 0x00
OBS: 59010.290 r_PS1 NULL 2012.002 62.620 19.241 0.034 0x00
OBS: 59014.270 g_PS1 NULL 1738.991 69.566 19.399 0.043 0x00
OBS: 59014.280 i_PS1 NULL 1604.281 82.230 19.487 0.056 0x00
OBS: 59020.280 g_PS1 NULL 1399.647 142.141 19.635 0.110 0x00
OBS: 59020.280 i_PS1 NULL 1482.620 195.850 19.572 0.143 0x00
OBS: 59032.270 z_PS1 NULL 1655.066 134.996 19.453 0.089 0x00
OBS: 59032.280 r_PS1 NULL 1644.884 117.202 19.460 0.077 0x00
OBS: 59036.280 r_PS1 NULL 1653.765 95.443 19.454 0.063 0x00
OBS: 59036.280 z_PS1 NULL 1793.348 115.818 19.366 0.070 0x00
OBS: 59039.300 i_PS1 NULL 1873.518 114.964 19.318 0.067 0x00
OBS: 59039.300 r_PS1 NULL 1757.535 90.738 19.388 0.056 0x00
OBS: 59042.270 z_PS1 NULL 1483.062 96.551 19.572 0.071 0x00
OBS: 59042.270 g_PS1 NULL 771.367 68.202 20.282 0.096 0x00
OBS: 59047.280 g_PS1 NULL 757.425 107.253 20.302 0.154 0x00
OBS: 59047.280 i_PS1 NULL 1555.538 72.248 19.520 0.050 0x00
OBS: 59059.280 z_PS1 NULL 1594.195 230.326 19.494 0.157 0x00
OBS: 59059.280 r_PS1 NULL 977.463 130.141 20.025 0.145 0x00
OBS: 59062.270 i_PS1 NULL 1247.589 89.337 19.760 0.078 0x00
OBS: 59062.270 r_PS1 NULL 1200.735 94.517 19.801 0.085 0x00
OBS: 59198.640 g_PS1 NULL 1001.902 243.687 19.998 0.264 0x00
OBS: 59206.640 i_PS1 NULL 1182.913 67.579 19.818 0.062 0x00
OBS: 59206.640 g_PS1 NULL 778.570 58.706 20.272 0.082 0x00
OBS: 59209.630 z_PS1 NULL 1001.214 143.341 19.999 0.155 0x00
OBS: 59209.640 r_PS1 NULL 886.797 82.237 20.130 0.101 0x00
OBS: 59213.650 i_PS1 NULL 1299.910 109.289 19.715 0.091 0x00
OBS: 59213.660 r_PS1 NULL 1130.235 106.458 19.867 0.102 0x00
OBS: 59225.620 g_PS1 NULL 497.467 104.927 20.758 0.229 0x00
OBS: 59225.620 i_PS1 NULL 939.799 117.632 20.067 0.136 0x00
