SURVEY: YSE
SNID:  2020kvl
otherID: 
IAUC:    UNKNOWN
RA:        193.3611460  deg
DECL:       -2.4458750  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.12
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.12124404028014335
REDSHIFT_FINAL: 0.11674973491161009
HOST_LOGMASS: 8.780149306526182
HOST_LOGMASS_ERR: 0.31438191241107694
HOST_LOGSFR: 0.4516457211617303
HOST_LOGSFR_ERR: 0.37046694765430965
SEARCH_PEAKMJD: 59014.198
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020kvl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.416 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58992.280 r_PS1 NULL 1138.104 54.825 19.860 0.052 0x00
OBS: 58992.280 g_PS1 NULL 1195.829 68.545 19.806 0.062 0x00
OBS: 59004.360 r_PS1 NULL 4484.037 211.810 18.371 0.051 0x00
OBS: 59004.360 i_PS1 NULL 3664.088 156.686 18.590 0.046 0x00
OBS: 59007.280 r_PS1 NULL 4711.417 87.639 18.317 0.020 0x00
OBS: 59007.280 z_PS1 NULL 3071.318 125.551 18.782 0.044 0x00
OBS: 59010.290 r_PS1 NULL 5036.116 89.405 18.245 0.019 0x01
OBS: 59014.270 g_PS1 NULL 5485.221 95.365 18.152 0.019 0x00
OBS: 59014.280 i_PS1 NULL 4062.433 82.704 18.478 0.022 0x00
OBS: 59016.280 g_PS1 NULL 5197.210 97.547 18.211 0.020 0x00
OBS: 59016.280 r_PS1 NULL 4979.003 78.710 18.257 0.017 0x00
OBS: 59020.280 g_PS1 NULL 4634.950 182.827 18.335 0.043 0x00
OBS: 59020.280 i_PS1 NULL 3690.849 243.246 18.582 0.072 0x00
OBS: 59032.270 r_PS1 NULL 2923.819 140.308 18.835 0.052 0x00
OBS: 59032.270 z_PS1 NULL 2264.295 140.257 19.113 0.067 0x00
OBS: 59036.280 z_PS1 NULL 2322.925 134.104 19.085 0.063 0x00
OBS: 59036.280 r_PS1 NULL 2683.273 110.793 18.928 0.045 0x00
OBS: 59039.290 i_PS1 NULL 2398.779 100.782 19.050 0.046 0x00
OBS: 59039.300 r_PS1 NULL 2164.139 75.904 19.162 0.038 0x00
OBS: 59042.270 z_PS1 NULL 2250.886 118.224 19.119 0.057 0x00
OBS: 59042.270 g_PS1 NULL 935.934 67.118 20.072 0.078 0x00
OBS: 59047.280 g_PS1 NULL 773.726 92.385 20.279 0.130 0x00
OBS: 59047.280 i_PS1 NULL 2038.522 150.928 19.227 0.080 0x00
OBS: 59059.280 z_PS1 NULL 1385.097 268.956 19.646 0.211 0x00
OBS: 59059.280 r_PS1 NULL 1233.984 183.840 19.772 0.162 0x00
OBS: 59062.270 r_PS1 NULL 1323.588 107.335 19.696 0.088 0x00
OBS: 59062.270 i_PS1 NULL 1216.886 96.995 19.787 0.087 0x00
