SURVEY: YSE
SNID:  2020lbf
otherID: 
IAUC:    UNKNOWN
RA:        310.9344330  deg
DECL:       -1.2380870  deg
MWEBV:    0.058 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.056079
SIGMA_Z: 0.00015
REDSHIFT_CMB: 0.05504887011332937
REDSHIFT_FINAL: 0.05483126596867224
HOST_LOGMASS: 10.59160261977627
SEARCH_PEAKMJD: 59013.355
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020lbf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.750 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.560 i_PS1 NULL 6061.025 99.436 18.044 0.018 0x01
OBS: 59017.510 g_PS1 NULL 7229.004 70.175 17.852 0.011 0x01
OBS: 59021.540 i_PS1 NULL 4186.884 106.422 18.445 0.028 0x00
OBS: 59021.540 g_PS1 NULL 5048.349 111.463 18.242 0.024 0x00
OBS: 59022.530 g_PS1 NULL 4525.034 87.141 18.361 0.021 0x00
OBS: 59022.530 r_PS1 NULL 7171.227 88.979 17.861 0.013 0x00
OBS: 59027.510 g_PS1 NULL 2952.140 90.835 18.825 0.033 0x01
OBS: 59041.550 z_PS1 NULL 3013.538 157.382 18.802 0.057 0x00
OBS: 59046.520 r_PS1 NULL 2931.360 226.338 18.832 0.084 0x01
OBS: 59055.440 r_PS1 NULL 2025.545 53.995 19.234 0.029 0x00
OBS: 59055.440 g_PS1 NULL 845.964 65.570 20.182 0.084 0x00
OBS: 59060.490 i_PS1 NULL 1245.483 86.124 19.762 0.075 0x00
OBS: 59060.490 r_PS1 NULL 1762.986 100.741 19.384 0.062 0x00
OBS: 59068.400 r_PS1 NULL 1326.629 81.045 19.693 0.066 0x00
OBS: 59068.410 z_PS1 NULL 753.409 116.611 20.307 0.168 0x00
OBS: 59069.360 r_PS1 NULL 1360.448 65.817 19.666 0.053 0x00
OBS: 59069.360 z_PS1 NULL 685.633 91.412 20.410 0.145 0x00
OBS: 59072.280 i_PS1 NULL 908.600 97.223 20.104 0.116 0x01
OBS: 59078.390 r_PS1 NULL 1088.312 51.284 19.908 0.051 0x00
OBS: 59078.400 g_PS1 NULL 589.462 53.993 20.574 0.099 0x00
OBS: 59082.420 g_PS1 NULL 565.658 57.394 20.619 0.110 0x00
OBS: 59082.430 r_PS1 NULL 881.987 60.291 20.136 0.074 0x00
OBS: 59095.420 i_PS1 NULL 404.774 104.872 20.982 0.281 0x00
OBS: 59095.420 r_PS1 NULL 617.934 120.258 20.523 0.211 0x00
OBS: 59097.410 r_PS1 NULL 726.020 73.851 20.348 0.110 0x00
OBS: 59099.420 r_PS1 NULL 556.673 82.701 20.636 0.161 0x00
OBS: 59100.330 r_PS1 NULL 555.811 54.692 20.638 0.107 0x00
OBS: 59100.340 z_PS1 NULL 327.725 89.545 21.211 0.297 0x00
OBS: 59110.300 g_PS1 NULL 372.361 83.157 21.073 0.242 0x00
OBS: 59137.230 g_PS1 NULL 256.639 49.044 21.477 0.207 0x00
OBS: 59139.230 r_PS1 NULL 155.410 38.525 22.021 0.269 0x00
OBS: 59159.240 r_PS1 NULL 533.321 140.566 20.683 0.286 0x00
