SURVEY: YSE
SNID:  2020msu
otherID: 
IAUC:    UNKNOWN
RA:        219.8699440  deg
DECL:       38.4474050  deg
MWEBV:    0.010 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.1
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.1005461103999008
REDSHIFT_FINAL: 0.1004297779899453
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59025.236
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020msu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.579 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58965.490 r_PS1 NULL 295.793 80.097 21.323 0.294 0x01
OBS: 59014.420 i_PS1 NULL 1071.179 61.188 19.925 0.062 0x00
OBS: 59014.420 g_PS1 NULL 1370.095 104.079 19.658 0.082 0x00
OBS: 59021.290 i_PS1 NULL 1980.949 53.783 19.258 0.029 0x00
OBS: 59021.290 g_PS1 NULL 2588.914 61.608 18.967 0.026 0x00
OBS: 59022.290 r_PS1 NULL 2442.721 74.016 19.030 0.033 0x00
OBS: 59022.290 g_PS1 NULL 2654.062 70.542 18.940 0.029 0x00
OBS: 59026.280 g_PS1 NULL 2841.457 85.435 18.866 0.033 0x00
OBS: 59026.290 i_PS1 NULL 1876.273 95.024 19.317 0.055 0x00
OBS: 59028.280 z_PS1 NULL 968.713 82.334 20.035 0.092 0x00
OBS: 59028.280 g_PS1 NULL 2591.383 75.490 18.966 0.032 0x00
OBS: 59030.280 r_PS1 NULL 2593.606 62.264 18.965 0.026 0x00
OBS: 59030.290 i_PS1 NULL 1649.973 67.731 19.456 0.045 0x00
OBS: 59033.280 z_PS1 NULL 696.229 101.170 20.393 0.158 0x00
OBS: 59033.280 r_PS1 NULL 2360.146 82.130 19.068 0.038 0x00
OBS: 59037.270 r_PS1 NULL 1864.185 56.938 19.324 0.033 0x00
OBS: 59037.270 i_PS1 NULL 1222.313 43.873 19.782 0.039 0x00
OBS: 59040.270 r_PS1 NULL 1571.516 75.739 19.509 0.052 0x00
OBS: 59040.270 z_PS1 NULL 472.802 101.540 20.813 0.233 0x00
OBS: 59047.270 r_PS1 NULL 1171.047 120.509 19.829 0.112 0x00
OBS: 59047.270 g_PS1 NULL 898.206 128.168 20.117 0.155 0x00
OBS: 59051.280 g_PS1 NULL 494.302 45.167 20.765 0.099 0x00
OBS: 59051.280 i_PS1 NULL 990.229 49.559 20.011 0.054 0x00
OBS: 59053.270 g_PS1 NULL 486.114 56.510 20.783 0.126 0x00
OBS: 59053.280 r_PS1 NULL 1025.780 69.230 19.972 0.073 0x00
OBS: 59058.290 i_PS1 NULL 885.087 108.679 20.133 0.133 0x00
OBS: 59066.270 i_PS1 NULL 591.615 97.883 20.570 0.180 0x00
OBS: 59066.270 r_PS1 NULL 447.206 89.860 20.874 0.218 0x00
OBS: 59070.290 r_PS1 NULL 469.749 79.949 20.820 0.185 0x00
OBS: 59074.270 i_PS1 NULL 542.995 59.392 20.663 0.119 0x00
OBS: 59074.280 g_PS1 NULL 243.285 52.870 21.535 0.236 0x01
OBS: 59078.260 i_PS1 NULL 236.359 63.540 21.566 0.292 0x00
OBS: 59093.250 r_PS1 NULL 573.304 109.802 20.604 0.208 0x00
OBS: 59095.250 r_PS1 NULL 284.138 78.552 21.366 0.300 0x00
