SURVEY: YSE
SNID:  2020myi
otherID: 
IAUC:    UNKNOWN
RA:        0.6500220  deg
DECL:       23.1517420  deg
MWEBV:    0.082 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.073
REDSHIFT_CMB: 0.07175956740057932
REDSHIFT_FINAL: 0.07220485179783943
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59024.473
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020myi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.981 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59031.560 i_PS1 NULL 2892.677 93.108 18.847 0.035 0x00
OBS: 59031.560 r_PS1 NULL 4359.496 79.461 18.401 0.020 0x00
OBS: 59036.580 z_PS1 NULL 1176.338 105.486 19.824 0.097 0x00
OBS: 59036.580 r_PS1 NULL 3526.624 79.871 18.632 0.025 0x00
OBS: 59049.580 r_PS1 NULL 2046.289 77.473 19.223 0.041 0x00
OBS: 59049.580 g_PS1 NULL 1182.092 92.654 19.818 0.085 0x00
OBS: 59050.550 i_PS1 NULL 1572.144 63.068 19.509 0.044 0x00
OBS: 59050.550 g_PS1 NULL 1086.020 57.141 19.910 0.057 0x00
OBS: 59060.500 r_PS1 NULL 1428.372 67.779 19.613 0.052 0x00
OBS: 59060.500 i_PS1 NULL 1476.322 68.096 19.577 0.050 0x00
OBS: 59064.510 i_PS1 NULL 1225.222 132.534 19.779 0.117 0x00
OBS: 59064.510 r_PS1 NULL 1056.465 140.111 19.940 0.144 0x00
OBS: 59074.490 g_PS1 NULL 324.931 53.708 21.221 0.179 0x00
OBS: 59074.500 i_PS1 NULL 717.273 61.631 20.361 0.093 0x00
OBS: 59078.460 r_PS1 NULL 618.706 53.828 20.521 0.094 0x00
OBS: 59078.470 g_PS1 NULL 344.262 59.843 21.158 0.189 0x00
OBS: 59082.430 r_PS1 NULL 533.712 61.936 20.682 0.126 0x01
OBS: 59084.600 g_PS1 NULL 288.688 65.117 21.349 0.245 0x00
OBS: 59084.610 r_PS1 NULL 601.169 57.905 20.553 0.105 0x00
OBS: 59093.410 r_PS1 NULL 435.296 115.417 20.903 0.288 0x00
OBS: 59103.390 g_PS1 NULL 172.117 40.507 21.910 0.256 0x00
OBS: 59107.530 g_PS1 NULL 233.628 41.962 21.579 0.195 0x00
OBS: 59107.530 r_PS1 NULL 414.423 56.287 20.956 0.147 0x00
OBS: 59113.480 r_PS1 NULL 285.390 66.735 21.361 0.254 0x00
OBS: 59119.360 r_PS1 NULL 274.543 49.879 21.403 0.197 0x00
OBS: 59119.360 i_PS1 NULL 243.363 58.903 21.534 0.263 0x00
OBS: 59137.460 g_PS1 NULL 180.364 36.418 21.860 0.219 0x00
OBS: 59142.270 g_PS1 NULL 303.819 79.854 21.293 0.285 0x00
