SURVEY: YSE
SNID:  2020nbo
otherID: 
IAUC:    UNKNOWN
RA:        239.5589580  deg
DECL:       18.1028140  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.05
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.05033392129173375
REDSHIFT_FINAL: 0.05176434425178234
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59032.249
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020nbo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.712 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59015.300 g_PS1 NULL 473.834 56.814 20.811 0.130 0x00
OBS: 59019.470 g_PS1 NULL 2263.463 136.605 19.113 0.066 0x00
OBS: 59019.480 i_PS1 NULL 2031.615 106.473 19.230 0.057 0x00
OBS: 59023.380 g_PS1 NULL 4847.769 106.785 18.286 0.024 0x01
OBS: 59023.380 r_PS1 NULL 4672.431 116.264 18.326 0.027 0x01
OBS: 59027.280 z_PS1 NULL 3831.806 112.087 18.541 0.032 0x00
OBS: 59027.280 g_PS1 NULL 6239.007 89.799 18.012 0.016 0x00
OBS: 59029.290 g_PS1 NULL 4558.675 93.232 18.353 0.022 0x00
OBS: 59029.290 i_PS1 NULL 4360.110 74.876 18.401 0.019 0x00
OBS: 59033.390 r_PS1 NULL 5778.975 155.241 18.095 0.029 0x00
OBS: 59033.390 i_PS1 NULL 3691.465 107.792 18.582 0.032 0x00
OBS: 59037.370 z_PS1 NULL 2947.505 123.484 18.826 0.045 0x00
OBS: 59037.370 r_PS1 NULL 4378.574 90.715 18.397 0.022 0x00
OBS: 59040.370 i_PS1 NULL 2511.312 71.983 19.000 0.031 0x00
OBS: 59040.370 r_PS1 NULL 3929.696 72.662 18.514 0.020 0x00
OBS: 59043.350 g_PS1 NULL 1510.763 64.501 19.552 0.046 0x00
OBS: 59043.350 z_PS1 NULL 2866.345 98.480 18.857 0.037 0x00
OBS: 59047.360 g_PS1 NULL 815.593 65.092 20.221 0.087 0x00
OBS: 59047.360 i_PS1 NULL 2849.144 105.350 18.863 0.040 0x00
OBS: 59051.340 r_PS1 NULL 2026.617 62.027 19.233 0.033 0x00
OBS: 59051.340 g_PS1 NULL 743.807 43.294 20.321 0.063 0x00
OBS: 59054.340 g_PS1 NULL 622.622 56.105 20.514 0.098 0x00
OBS: 59060.360 r_PS1 NULL 1166.353 130.144 19.833 0.121 0x00
OBS: 59060.370 z_PS1 NULL 924.658 143.180 20.085 0.168 0x00
OBS: 59063.320 r_PS1 NULL 974.262 178.066 20.028 0.198 0x00
OBS: 59063.320 i_PS1 NULL 826.508 112.272 20.207 0.147 0x00
OBS: 59066.280 r_PS1 NULL 913.562 78.275 20.098 0.093 0x00
OBS: 59066.280 z_PS1 NULL 899.811 97.401 20.115 0.118 0x00
OBS: 59069.340 r_PS1 NULL 890.886 53.365 20.125 0.065 0x00
OBS: 59069.340 i_PS1 NULL 891.967 62.803 20.124 0.076 0x00
OBS: 59071.270 g_PS1 NULL 340.352 63.496 21.170 0.203 0x00
OBS: 59071.270 i_PS1 NULL 763.509 85.004 20.293 0.121 0x00
OBS: 59074.290 i_PS1 NULL 659.991 53.529 20.451 0.088 0x00
OBS: 59074.290 g_PS1 NULL 384.366 54.615 21.038 0.154 0x00
OBS: 59077.260 g_PS1 NULL 252.934 53.524 21.492 0.230 0x00
OBS: 59077.260 r_PS1 NULL 666.508 40.632 20.440 0.066 0x00
OBS: 59079.260 i_PS1 NULL 567.623 49.056 20.615 0.094 0x00
OBS: 59079.260 g_PS1 NULL 322.671 54.404 21.228 0.183 0x00
OBS: 59082.310 r_PS1 NULL 751.800 65.487 20.310 0.095 0x00
OBS: 59083.260 g_PS1 NULL 259.274 58.925 21.466 0.247 0x00
OBS: 59083.260 i_PS1 NULL 441.528 62.136 20.888 0.153 0x00
OBS: 59096.260 r_PS1 NULL 376.278 76.169 21.061 0.220 0x00
OBS: 59098.300 r_PS1 NULL 444.415 89.863 20.881 0.220 0x00
OBS: 59102.240 g_PS1 NULL 261.700 53.788 21.455 0.223 0x00
OBS: 59106.240 r_PS1 NULL 302.307 52.214 21.299 0.188 0x00
OBS: 59106.240 g_PS1 NULL 183.327 43.536 21.842 0.258 0x00
