SURVEY: YSE
SNID:  2020nlb
otherID: 
IAUC:    UNKNOWN
RA:        186.3507500  deg
DECL:       18.2034780  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.002432
SIGMA_Z: 6e-06
REDSHIFT_CMB: 0.0034910480201668648
REDSHIFT_FINAL: 0.004361417257534877
HOST_LOGMASS: 11.494045589367877
HOST_LOGMASS_ERR: 0.0654829217422977
HOST_LOGSFR: -1.0066256588442906
HOST_LOGSFR_ERR: 0.9080973937113048
SEARCH_PEAKMJD: 59042.29
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020nlb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.537 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59026.270 r_PS1 NULL 40630.774 272.644 15.978 0.007 0x00
OBS: 59026.270 i_PS1 NULL 25382.917 243.378 16.489 0.010 0x00
OBS: 59026.270 z_PS1 NULL 38543.215 387.729 16.035 0.011 0x00
OBS: 59026.270 g_PS1 NULL 31014.438 265.456 16.271 0.009 0x00
OBS: 59027.270 z_PS1 NULL 70580.193 552.928 15.378 0.009 0x00
OBS: 59027.270 g_PS1 NULL 66758.534 407.557 15.439 0.007 0x00
OBS: 59027.270 r_PS1 NULL 77852.201 383.934 15.272 0.005 0x00
OBS: 59028.270 r_PS1 NULL 134637.961 453.680 14.677 0.004 0x00
OBS: 59028.270 g_PS1 NULL 118276.826 508.001 14.818 0.005 0x00
OBS: 59028.270 z_PS1 NULL 116096.038 591.774 14.838 0.006 0x00
OBS: 59028.270 i_PS1 NULL 96647.315 441.004 15.037 0.005 0x00
OBS: 59029.270 r_PS1 NULL 206904.545 497.326 14.211 0.003 0x00
OBS: 59029.270 i_PS1 NULL 157697.235 530.246 14.505 0.004 0x00
OBS: 59029.270 z_PS1 NULL 171525.277 632.638 14.414 0.004 0x00
OBS: 59029.270 g_PS1 NULL 191104.034 650.410 14.297 0.004 0x00
OBS: 59030.280 r_PS1 NULL 301085.044 601.110 13.803 0.002 0x00
OBS: 59030.280 g_PS1 NULL 273991.632 726.986 13.906 0.003 0x00
OBS: 59030.280 z_PS1 NULL 231771.600 703.833 14.087 0.003 0x00
OBS: 59030.280 i_PS1 NULL 226250.298 612.185 14.114 0.003 0x00
OBS: 59031.270 r_PS1 NULL 417526.669 709.979 13.448 0.002 0x00
OBS: 59031.270 z_PS1 NULL 306113.883 797.963 13.785 0.003 0x00
OBS: 59032.300 g_PS1 NULL 527834.353 1080.068 13.194 0.002 0x00
OBS: 59033.270 i_PS1 NULL 554508.497 934.920 13.140 0.002 0x01
OBS: 59033.270 z_PS1 NULL 458768.484 1063.762 13.346 0.003 0x01
OBS: 59033.270 g_PS1 NULL 640295.568 1126.065 12.984 0.002 0x01
OBS: 59033.270 r_PS1 NULL 660451.510 1095.061 12.950 0.002 0x00
OBS: 59036.270 z_PS1 NULL 676463.138 1445.403 12.924 0.002 0x00
OBS: 59037.270 z_PS1 NULL 706895.774 2033.241 12.877 0.003 0x00
OBS: 59038.330 r_PS1 NULL 1180546.758 2334.107 12.320 0.002 0x00
OBS: 59038.330 z_PS1 NULL 762627.344 2375.070 12.794 0.003 0x00
OBS: 59039.270 r_PS1 NULL 1272736.579 2446.761 12.238 0.002 0x00
OBS: 59039.270 i_PS1 NULL 842362.857 1863.591 12.686 0.002 0x00
OBS: 59039.270 z_PS1 NULL 757811.291 2196.116 12.801 0.003 0x00
OBS: 59039.270 g_PS1 NULL 1341163.726 2422.853 12.181 0.002 0x00
OBS: 59041.290 g_PS1 NULL 1378985.166 2011.661 12.151 0.002 0x00
OBS: 59041.290 r_PS1 NULL 1332629.938 2417.573 12.188 0.002 0x00
OBS: 59041.290 z_PS1 NULL 765835.269 2178.066 12.790 0.003 0x00
OBS: 59041.290 i_PS1 NULL 819435.026 1891.759 12.716 0.003 0x00
OBS: 59042.290 z_PS1 NULL 783497.736 2417.525 12.765 0.003 0x00
OBS: 59043.290 z_PS1 NULL 757227.336 2408.199 12.802 0.003 0x00
OBS: 59043.290 i_PS1 NULL 787877.624 1799.938 12.759 0.002 0x00
OBS: 59043.290 r_PS1 NULL 1392270.399 2272.990 12.141 0.002 0x00
OBS: 59044.290 z_PS1 NULL 730049.812 2191.533 12.842 0.003 0x00
OBS: 59044.290 r_PS1 NULL 1373231.600 2296.483 12.156 0.002 0x00
OBS: 59047.290 r_PS1 NULL 1308162.311 2965.114 12.208 0.002 0x00
OBS: 59047.290 z_PS1 NULL 690113.966 2573.441 12.903 0.004 0x00
OBS: 59048.290 r_PS1 NULL 1190829.006 2300.871 12.310 0.002 0x00
