SURVEY: YSE
SNID:  2020pf
otherID: 
IAUC:    UNKNOWN
RA:        186.5195830  deg
DECL:       12.4599030  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.095
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.09620522848401425
REDSHIFT_FINAL: 0.09318206397307031
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 58868.57
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.161 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58850.610 g_PS1 NULL 439.372 52.695 20.893 0.130 0x00
OBS: 58850.610 i_PS1 NULL 237.237 51.488 21.562 0.236 0x00
OBS: 58866.570 g_PS1 NULL 2776.652 85.113 18.891 0.033 0x00
OBS: 58866.570 z_PS1 NULL 1135.177 128.169 19.862 0.123 0x00
OBS: 58867.600 g_PS1 NULL 2857.450 102.258 18.860 0.039 0x00
OBS: 58868.570 r_PS1 NULL 2739.726 51.099 18.906 0.020 0x00
OBS: 58868.570 g_PS1 NULL 2908.129 65.195 18.841 0.024 0x00
OBS: 58869.570 g_PS1 NULL 2664.973 67.854 18.936 0.028 0x00
OBS: 58869.580 i_PS1 NULL 1664.786 74.921 19.447 0.049 0x00
OBS: 58870.580 r_PS1 NULL 2670.296 70.396 18.934 0.029 0x00
OBS: 58870.580 g_PS1 NULL 2597.955 78.395 18.963 0.033 0x00
OBS: 58871.570 i_PS1 NULL 1691.609 68.014 19.429 0.044 0x01
OBS: 58871.570 g_PS1 NULL 2565.469 74.528 18.977 0.032 0x00
OBS: 58872.610 z_PS1 NULL 630.516 110.563 20.501 0.190 0x00
OBS: 58872.610 g_PS1 NULL 2350.837 61.576 19.072 0.028 0x00
OBS: 58874.580 g_PS1 NULL 2065.184 70.998 19.213 0.037 0x00
OBS: 58874.580 i_PS1 NULL 1565.239 67.440 19.514 0.047 0x01
OBS: 58875.590 g_PS1 NULL 2126.440 82.766 19.181 0.042 0x00
OBS: 58875.590 z_PS1 NULL 702.099 109.721 20.384 0.170 0x00
OBS: 58876.520 g_PS1 NULL 1862.308 86.306 19.325 0.050 0x00
OBS: 58876.520 r_PS1 NULL 2171.347 74.019 19.158 0.037 0x00
OBS: 58878.510 z_PS1 NULL 586.169 114.545 20.580 0.212 0x00
OBS: 58878.510 g_PS1 NULL 1523.078 71.336 19.543 0.051 0x00
OBS: 58879.500 r_PS1 NULL 1860.033 213.667 19.326 0.125 0x00
OBS: 58882.490 r_PS1 NULL 1604.120 66.036 19.487 0.045 0x00
OBS: 58922.420 r_PS1 NULL 521.961 79.686 20.706 0.166 0x00
OBS: 58943.350 i_PS1 NULL 392.843 102.517 21.014 0.283 0x01
OBS: 58955.440 g_PS1 NULL 227.691 53.486 21.607 0.255 0x00
OBS: 58955.440 i_PS1 NULL 229.464 57.693 21.598 0.273 0x00
OBS: 58960.300 g_PS1 NULL 165.692 41.432 21.952 0.271 0x00
OBS: 58960.300 r_PS1 NULL 208.622 44.760 21.702 0.233 0x00
OBS: 58961.330 g_PS1 NULL 173.925 44.918 21.899 0.280 0x00
OBS: 58966.310 r_PS1 NULL 245.786 52.884 21.524 0.234 0x00
OBS: 58966.310 g_PS1 NULL 222.715 59.024 21.631 0.288 0x00
OBS: 58969.260 r_PS1 NULL 199.203 47.558 21.752 0.259 0x00
OBS: 58980.370 r_PS1 NULL 199.334 49.220 21.751 0.268 0x01
OBS: 58994.320 r_PS1 NULL 257.565 50.807 21.473 0.214 0x00
OBS: 58995.360 g_PS1 NULL 206.620 54.272 21.712 0.285 0x00
OBS: 59370.280 g_PS1 NULL 166.661 43.127 21.945 0.281 0x00
