SURVEY: YSE
SNID:  2020pst
otherID: 
IAUC:    UNKNOWN
RA:        18.3001390  deg
DECL:       2.2838570  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.046035
SIGMA_Z: 0.000193
REDSHIFT_CMB: 0.04492645672797568
REDSHIFT_FINAL: 0.04580061850655363
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59063.462
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pst.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.033 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.570 g_PS1 NULL 9795.793 115.463 17.522 0.013 0x00
OBS: 59058.570 i_PS1 NULL 7380.148 104.060 17.830 0.015 0x00
OBS: 59064.560 r_PS1 NULL 11309.799 132.904 17.366 0.013 0x00
OBS: 59064.560 i_PS1 NULL 6642.114 104.120 17.944 0.017 0x00
OBS: 59093.470 i_PS1 NULL 3949.752 115.321 18.509 0.032 0x00
OBS: 59093.480 r_PS1 NULL 4196.251 129.031 18.443 0.033 0x00
OBS: 59103.450 i_PS1 NULL 2324.099 77.971 19.084 0.036 0x00
OBS: 59103.450 g_PS1 NULL 1004.900 63.918 19.995 0.069 0x00
OBS: 59107.540 g_PS1 NULL 769.083 93.164 20.285 0.132 0x00
OBS: 59107.540 i_PS1 NULL 1842.034 55.429 19.337 0.033 0x00
OBS: 59109.600 r_PS1 NULL 2121.503 76.283 19.183 0.039 0x00
OBS: 59109.610 g_PS1 NULL 996.311 72.825 20.004 0.079 0x00
OBS: 59118.440 z_PS1 NULL 966.188 89.156 20.037 0.100 0x00
OBS: 59118.440 r_PS1 NULL 1476.897 62.549 19.577 0.046 0x00
OBS: 59128.460 r_PS1 NULL 1294.895 90.442 19.719 0.076 0x00
OBS: 59128.460 z_PS1 NULL 563.603 135.237 20.623 0.261 0x00
OBS: 59137.450 g_PS1 NULL 626.700 48.107 20.507 0.083 0x00
OBS: 59137.450 r_PS1 NULL 947.755 52.194 20.058 0.060 0x00
OBS: 59142.280 g_PS1 NULL 459.023 64.491 20.845 0.153 0x00
OBS: 59142.280 r_PS1 NULL 689.776 55.396 20.403 0.087 0x00
OBS: 59146.440 g_PS1 NULL 429.888 54.174 20.917 0.137 0x00
OBS: 59146.440 i_PS1 NULL 579.899 60.270 20.592 0.113 0x00
OBS: 59158.300 r_PS1 NULL 498.749 49.515 20.755 0.108 0x00
OBS: 59173.390 g_PS1 NULL 438.191 70.109 20.896 0.174 0x01
OBS: 59186.270 r_PS1 NULL 320.630 43.808 21.235 0.148 0x00
OBS: 59193.250 r_PS1 NULL 200.422 42.037 21.745 0.228 0x00
OBS: 59193.260 g_PS1 NULL 212.464 47.795 21.682 0.244 0x00
OBS: 59221.230 g_PS1 NULL 274.525 61.287 21.404 0.242 0x00
OBS: 59227.230 g_PS1 NULL 191.549 50.999 21.794 0.289 0x00
