SURVEY: YSE
SNID:  2020pyf
otherID: 
IAUC:    UNKNOWN
RA:        237.4599430  deg
DECL:       27.0778060  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.073
REDSHIFT_CMB: 0.0733336630161634
REDSHIFT_FINAL: 0.07352669959429066
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59452.24
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020pyf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.307 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59043.360 z_PS1 NULL 632.232 138.263 20.498 0.237 0x01
OBS: 59043.360 g_PS1 NULL 763.812 56.891 20.293 0.081 0x00
OBS: 59052.330 g_PS1 NULL 4135.827 127.129 18.459 0.033 0x00
OBS: 59052.400 i_PS1 NULL 2880.789 96.103 18.851 0.036 0x00
OBS: 59055.320 g_PS1 NULL 4442.205 98.869 18.381 0.024 0x00
OBS: 59055.330 r_PS1 NULL 4140.753 87.683 18.457 0.023 0x00
OBS: 59059.370 i_PS1 NULL 2618.644 120.052 18.955 0.050 0x00
OBS: 59059.380 r_PS1 NULL 4204.889 104.295 18.441 0.027 0x00
OBS: 59062.370 z_PS1 NULL 1690.107 136.898 19.430 0.088 0x00
OBS: 59062.370 r_PS1 NULL 3543.579 115.545 18.626 0.035 0x01
OBS: 59065.300 i_PS1 NULL 1755.567 94.578 19.389 0.058 0x00
OBS: 59065.300 r_PS1 NULL 3480.242 92.158 18.646 0.029 0x00
OBS: 59069.340 i_PS1 NULL 1569.211 99.187 19.511 0.069 0x00
OBS: 59069.350 r_PS1 NULL 2525.809 103.615 18.994 0.045 0x00
OBS: 59071.280 g_PS1 NULL 1649.045 66.489 19.457 0.044 0x00
OBS: 59071.290 i_PS1 NULL 1453.710 93.332 19.594 0.070 0x00
OBS: 59074.300 z_PS1 NULL 1141.485 127.348 19.856 0.121 0x00
OBS: 59074.300 g_PS1 NULL 1350.070 95.403 19.674 0.077 0x00
OBS: 59077.270 g_PS1 NULL 1069.681 70.911 19.927 0.072 0x00
OBS: 59077.270 i_PS1 NULL 1741.976 84.783 19.397 0.053 0x00
OBS: 59079.260 r_PS1 NULL 1856.886 64.500 19.328 0.038 0x00
OBS: 59079.260 g_PS1 NULL 782.894 56.113 20.266 0.078 0x00
OBS: 59082.310 i_PS1 NULL 957.437 136.896 20.047 0.155 0x00
OBS: 59083.260 r_PS1 NULL 1262.983 73.940 19.747 0.064 0x00
OBS: 59083.260 g_PS1 NULL 510.323 64.530 20.730 0.137 0x00
OBS: 59096.260 r_PS1 NULL 781.109 70.955 20.268 0.099 0x00
OBS: 59098.300 i_PS1 NULL 506.957 113.974 20.738 0.244 0x00
OBS: 59098.310 r_PS1 NULL 772.611 106.892 20.280 0.150 0x00
OBS: 59102.250 i_PS1 NULL 393.975 89.449 21.011 0.247 0x00
OBS: 59106.240 i_PS1 NULL 370.006 88.298 21.079 0.259 0x00
OBS: 59108.250 r_PS1 NULL 501.442 88.507 20.749 0.192 0x00
OBS: 59117.230 g_PS1 NULL 839.869 192.385 20.189 0.249 0x01
OBS: 59119.240 r_PS1 NULL 466.262 118.694 20.828 0.276 0x00
