SURVEY: YSE
SNID:  2020qql
otherID: 
IAUC:    UNKNOWN
RA:        247.7421520  deg
DECL:       32.3075500  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.076
SIGMA_Z: 0.001
REDSHIFT_CMB: 0.07610846578981079
REDSHIFT_FINAL: 0.07594987596385765
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59075.196
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020qql.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.278 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59059.380 r_PS1 NULL 323.544 75.899 21.225 0.255 0x00
OBS: 59065.300 r_PS1 NULL 2570.025 161.605 18.975 0.068 0x01
OBS: 59065.310 i_PS1 NULL 2341.365 162.350 19.076 0.075 0x01
OBS: 59071.380 g_PS1 NULL 6060.431 122.148 18.044 0.022 0x00
OBS: 59071.380 i_PS1 NULL 3162.964 93.042 18.750 0.032 0x00
OBS: 59073.270 g_PS1 NULL 6565.965 117.046 17.957 0.019 0x00
OBS: 59073.270 z_PS1 NULL 2791.418 133.039 18.885 0.052 0x00
OBS: 59075.270 i_PS1 NULL 3484.634 89.130 18.645 0.028 0x00
OBS: 59075.270 g_PS1 NULL 6651.777 122.607 17.943 0.020 0x00
OBS: 59077.270 g_PS1 NULL 6219.836 94.293 18.016 0.016 0x00
OBS: 59077.280 r_PS1 NULL 5902.137 93.328 18.072 0.017 0x00
OBS: 59079.270 i_PS1 NULL 3164.972 72.218 18.749 0.025 0x00
OBS: 59082.310 g_PS1 NULL 5379.556 124.585 18.173 0.025 0x00
OBS: 59082.320 r_PS1 NULL 5161.433 122.171 18.218 0.026 0x00
OBS: 59083.250 g_PS1 NULL 5050.991 107.177 18.242 0.023 0x00
OBS: 59083.250 i_PS1 NULL 2854.456 92.753 18.861 0.035 0x00
OBS: 59098.310 i_PS1 NULL 1741.122 99.006 19.398 0.062 0x00
OBS: 59098.310 r_PS1 NULL 2740.984 109.917 18.905 0.044 0x00
OBS: 59102.260 i_PS1 NULL 1673.190 64.801 19.441 0.042 0x00
OBS: 59102.260 g_PS1 NULL 1407.701 60.280 19.629 0.046 0x00
OBS: 59106.250 r_PS1 NULL 2188.963 73.107 19.149 0.036 0x00
OBS: 59106.250 g_PS1 NULL 1097.832 66.968 19.899 0.066 0x00
OBS: 59110.240 r_PS1 NULL 1783.560 69.397 19.372 0.042 0x00
OBS: 59110.240 g_PS1 NULL 882.319 90.550 20.136 0.111 0x00
OBS: 59114.230 g_PS1 NULL 701.033 111.283 20.386 0.172 0x00
OBS: 59114.230 i_PS1 NULL 1590.429 115.184 19.496 0.079 0x00
OBS: 59118.230 r_PS1 NULL 1091.581 179.889 19.905 0.179 0x01
OBS: 59121.230 z_PS1 NULL 842.536 146.097 20.186 0.188 0x00
OBS: 59121.230 r_PS1 NULL 957.978 104.880 20.047 0.119 0x01
OBS: 59128.230 r_PS1 NULL 894.413 84.683 20.121 0.103 0x00
OBS: 59131.230 g_PS1 NULL 573.844 78.331 20.603 0.148 0x00
OBS: 59131.230 z_PS1 NULL 767.479 135.634 20.287 0.192 0x00
OBS: 59139.220 g_PS1 NULL 529.804 79.821 20.690 0.164 0x00
OBS: 59139.220 i_PS1 NULL 349.017 94.492 21.143 0.294 0x00
