SURVEY: YSE
SNID:  2020rii
otherID: 
IAUC:    UNKNOWN
RA:        249.0167230  deg
DECL:       33.2098320  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.087
REDSHIFT_CMB: 0.08708099143788917
REDSHIFT_FINAL: 0.08721760438683217
HOST_LOGMASS: 10.638360023498535
SEARCH_PEAKMJD: 59079.27
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rii.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.277 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58980.380 z_PS1 NULL 400.097 104.070 20.995 0.282 0x00
OBS: 59069.350 r_PS1 NULL 1558.577 98.658 19.518 0.069 0x00
OBS: 59069.350 z_PS1 NULL 1294.124 127.910 19.720 0.107 0x00
OBS: 59071.380 g_PS1 NULL 2446.892 101.466 19.028 0.045 0x01
OBS: 59071.380 i_PS1 NULL 2332.054 124.365 19.081 0.058 0x01
OBS: 59073.270 z_PS1 NULL 1012.814 176.720 19.986 0.189 0x00
OBS: 59073.270 g_PS1 NULL 2939.837 102.830 18.829 0.038 0x00
OBS: 59075.270 i_PS1 NULL 2627.765 120.079 18.951 0.050 0x00
OBS: 59075.270 g_PS1 NULL 3235.356 107.431 18.725 0.036 0x00
OBS: 59077.270 g_PS1 NULL 3140.897 97.962 18.757 0.034 0x00
OBS: 59077.280 r_PS1 NULL 3024.127 103.841 18.798 0.037 0x00
OBS: 59079.270 i_PS1 NULL 2494.277 92.845 19.008 0.040 0x00
OBS: 59079.270 g_PS1 NULL 3393.402 76.886 18.673 0.025 0x00
OBS: 59082.310 g_PS1 NULL 2729.475 127.776 18.910 0.051 0x00
OBS: 59082.320 r_PS1 NULL 2901.080 123.355 18.844 0.046 0x00
OBS: 59083.250 i_PS1 NULL 2071.475 128.223 19.209 0.067 0x00
OBS: 59083.250 g_PS1 NULL 2560.539 84.858 18.979 0.036 0x00
OBS: 59094.270 i_PS1 NULL 1420.600 267.069 19.619 0.204 0x00
OBS: 59094.270 r_PS1 NULL 1694.629 334.681 19.427 0.214 0x00
OBS: 59096.270 z_PS1 NULL 912.046 135.894 20.100 0.162 0x00
OBS: 59096.270 r_PS1 NULL 1361.748 95.806 19.665 0.076 0x00
OBS: 59098.310 i_PS1 NULL 1323.760 146.808 19.695 0.120 0x00
OBS: 59098.310 r_PS1 NULL 1535.257 161.669 19.535 0.114 0x00
OBS: 59106.250 r_PS1 NULL 915.993 93.825 20.095 0.111 0x00
OBS: 59106.250 g_PS1 NULL 346.843 93.032 21.150 0.291 0x00
OBS: 59108.240 i_PS1 NULL 1211.906 125.440 19.791 0.112 0x00
OBS: 59110.240 r_PS1 NULL 1084.474 99.114 19.912 0.099 0x00
OBS: 59114.230 i_PS1 NULL 691.745 159.067 20.400 0.250 0x00
OBS: 59121.230 z_PS1 NULL 1126.401 194.940 19.871 0.188 0x01
OBS: 59128.230 r_PS1 NULL 611.826 138.196 20.533 0.245 0x00
