SURVEY: YSE
SNID:  2020rkt
otherID: 
IAUC:    UNKNOWN
RA:        36.2452880  deg
DECL:       -5.2617580  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.103
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.10212315751586898
REDSHIFT_FINAL: 0.10050523018827912
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59079.456
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rkt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.419 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59062.580 i_PS1 NULL 214.413 48.496 21.672 0.246 0x00
OBS: 59062.580 r_PS1 NULL 262.026 53.609 21.454 0.222 0x00
OBS: 59066.590 z_PS1 NULL 884.637 200.831 20.133 0.246 0x00
OBS: 59066.590 r_PS1 NULL 897.877 155.694 20.117 0.188 0x00
OBS: 59076.610 g_PS1 NULL 2621.686 97.418 18.954 0.040 0x00
OBS: 59076.610 i_PS1 NULL 1807.651 74.916 19.357 0.045 0x00
OBS: 59078.590 g_PS1 NULL 2646.142 87.749 18.943 0.036 0x00
OBS: 59078.600 r_PS1 NULL 2624.999 73.762 18.952 0.031 0x00
OBS: 59082.590 g_PS1 NULL 2242.915 91.818 19.123 0.044 0x00
OBS: 59082.600 r_PS1 NULL 2387.130 76.567 19.055 0.035 0x00
OBS: 59090.580 i_PS1 NULL 1142.174 65.506 19.856 0.062 0x00
OBS: 59090.580 r_PS1 NULL 1781.726 63.593 19.373 0.039 0x00
OBS: 59095.590 r_PS1 NULL 1390.712 94.076 19.642 0.073 0x00
OBS: 59095.590 z_PS1 NULL 565.856 95.723 20.618 0.184 0x00
OBS: 59102.540 z_PS1 NULL 527.606 91.072 20.694 0.187 0x00
OBS: 59102.540 g_PS1 NULL 585.727 70.574 20.581 0.131 0x01
OBS: 59106.560 r_PS1 NULL 1071.208 51.770 19.925 0.052 0x01
OBS: 59109.610 g_PS1 NULL 364.465 51.004 21.096 0.152 0x00
OBS: 59109.610 i_PS1 NULL 876.421 63.545 20.143 0.079 0x00
OBS: 59115.620 g_PS1 NULL 254.737 53.210 21.485 0.227 0x00
OBS: 59115.620 i_PS1 NULL 674.839 64.053 20.427 0.103 0x00
OBS: 59119.600 i_PS1 NULL 532.947 92.808 20.683 0.189 0x00
OBS: 59119.610 r_PS1 NULL 524.355 62.448 20.701 0.129 0x00
OBS: 59121.520 r_PS1 NULL 472.092 95.590 20.815 0.220 0x00
OBS: 59133.480 g_PS1 NULL 258.611 69.189 21.468 0.290 0x00
OBS: 59133.480 i_PS1 NULL 257.785 63.975 21.472 0.269 0x00
OBS: 59140.410 r_PS1 NULL 388.333 51.091 21.027 0.143 0x00
OBS: 59146.450 g_PS1 NULL 190.571 46.154 21.800 0.263 0x00
OBS: 59173.390 g_PS1 NULL 176.210 48.458 21.885 0.299 0x00
