SURVEY: YSE
SNID:  2020rmy
otherID: 
IAUC:    UNKNOWN
RA:        310.1566250  deg
DECL:       -3.5216310  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.138
REDSHIFT_CMB: 0.13691002249120365
REDSHIFT_FINAL: 0.13996779732197268
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59086.328
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020rmy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.045 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59072.280 i_PS1 NULL 319.122 76.276 21.240 0.260 0x00
OBS: 59072.280 g_PS1 NULL 361.859 88.406 21.104 0.265 0x00
OBS: 59075.360 i_PS1 NULL 472.678 50.183 20.814 0.115 0x00
OBS: 59075.360 g_PS1 NULL 508.624 41.901 20.734 0.089 0x00
OBS: 59078.390 r_PS1 NULL 784.432 49.735 20.264 0.069 0x01
OBS: 59078.400 g_PS1 NULL 814.554 43.192 20.223 0.058 0x00
OBS: 59082.420 g_PS1 NULL 1076.682 69.490 19.920 0.070 0x01
OBS: 59082.420 r_PS1 NULL 1170.689 74.450 19.829 0.069 0x00
OBS: 59083.400 g_PS1 NULL 1171.783 65.371 19.828 0.061 0x00
OBS: 59083.400 i_PS1 NULL 858.817 70.449 20.165 0.089 0x00
OBS: 59095.420 r_PS1 NULL 991.286 97.955 20.010 0.107 0x00
OBS: 59095.420 i_PS1 NULL 876.492 106.807 20.143 0.132 0x00
OBS: 59097.410 r_PS1 NULL 1135.771 89.479 19.862 0.086 0x01
OBS: 59097.410 z_PS1 NULL 473.409 80.340 20.812 0.184 0x00
OBS: 59099.420 i_PS1 NULL 858.754 80.214 20.165 0.101 0x00
OBS: 59099.420 r_PS1 NULL 848.245 82.574 20.179 0.106 0x00
OBS: 59100.330 r_PS1 NULL 972.165 59.278 20.031 0.066 0x00
OBS: 59100.340 z_PS1 NULL 552.276 106.845 20.645 0.210 0x00
OBS: 59104.290 g_PS1 NULL 616.350 49.504 20.525 0.087 0x01
OBS: 59104.300 i_PS1 NULL 564.579 58.472 20.621 0.112 0x00
OBS: 59108.250 g_PS1 NULL 334.884 74.687 21.188 0.242 0x00
OBS: 59108.260 r_PS1 NULL 465.087 79.079 20.831 0.185 0x00
OBS: 59110.300 i_PS1 NULL 590.822 80.721 20.571 0.148 0x00
OBS: 59126.350 r_PS1 NULL 359.006 79.402 21.112 0.240 0x00
OBS: 59126.350 i_PS1 NULL 307.439 60.732 21.281 0.214 0x00
OBS: 59137.230 i_PS1 NULL 288.882 60.326 21.348 0.227 0x01
OBS: 59181.240 r_PS1 NULL 439.711 121.181 20.892 0.299 0x00
