SURVEY: YSE
SNID:  2020sag
otherID: 
IAUC:    UNKNOWN
RA:        328.1597730  deg
DECL:       7.2307550  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.04
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.0387914021573037
REDSHIFT_FINAL: 0.03908010254213934
HOST_LOGMASS: 8.187916999803624
SEARCH_PEAKMJD: 59107.322
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sag.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.714 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59097.410 r_PS1 NULL 8872.018 111.249 17.630 0.014 0x00
OBS: 59097.420 i_PS1 NULL 6388.259 123.582 17.987 0.021 0x00
OBS: 59099.430 r_PS1 NULL 9738.499 112.620 17.529 0.013 0x00
OBS: 59099.430 z_PS1 NULL 5659.969 150.262 18.118 0.029 0x00
OBS: 59103.380 i_PS1 NULL 6474.024 75.702 17.972 0.013 0x00
OBS: 59103.380 g_PS1 NULL 11720.680 122.015 17.328 0.011 0x00
OBS: 59105.370 g_PS1 NULL 11564.535 94.794 17.342 0.009 0x00
OBS: 59105.380 r_PS1 NULL 11158.206 116.063 17.381 0.011 0x00
OBS: 59109.340 g_PS1 NULL 10062.599 316.677 17.493 0.034 0x01
OBS: 59109.340 i_PS1 NULL 5377.420 256.886 18.174 0.052 0x00
OBS: 59111.350 r_PS1 NULL 10126.112 476.583 17.486 0.051 0x00
OBS: 59111.350 g_PS1 NULL 9596.685 681.760 17.545 0.077 0x00
OBS: 59113.410 i_PS1 NULL 4964.139 326.262 18.260 0.071 0x00
OBS: 59113.410 g_PS1 NULL 8916.558 632.921 17.625 0.077 0x00
OBS: 59115.350 z_PS1 NULL 3807.904 127.872 18.548 0.036 0x00
OBS: 59115.350 g_PS1 NULL 7991.023 93.553 17.743 0.013 0x00
OBS: 59136.300 r_PS1 NULL 4715.187 127.475 18.316 0.029 0x00
OBS: 59136.300 g_PS1 NULL 1856.417 95.505 19.328 0.056 0x00
OBS: 59140.220 r_PS1 NULL 3604.542 111.439 18.608 0.034 0x00
OBS: 59140.220 g_PS1 NULL 1648.699 81.861 19.457 0.054 0x00
OBS: 59144.220 i_PS1 NULL 3058.504 102.900 18.786 0.037 0x00
OBS: 59144.230 g_PS1 NULL 1139.044 109.077 19.859 0.104 0x00
OBS: 59153.260 r_PS1 NULL 2324.598 93.103 19.084 0.043 0x00
OBS: 59153.260 z_PS1 NULL 1733.881 87.506 19.402 0.055 0x00
OBS: 59159.240 r_PS1 NULL 2103.209 254.672 19.193 0.131 0x00
OBS: 59166.210 r_PS1 NULL 1837.647 101.241 19.339 0.060 0x00
OBS: 59166.220 g_PS1 NULL 668.427 90.390 20.437 0.147 0x00
OBS: 59181.250 z_PS1 NULL 787.844 158.994 20.259 0.219 0x00
OBS: 59181.250 r_PS1 NULL 1113.933 123.027 19.883 0.120 0x00
OBS: 59185.220 i_PS1 NULL 516.320 82.998 20.718 0.175 0x00
OBS: 59185.220 r_PS1 NULL 855.730 92.246 20.169 0.117 0x00
