SURVEY: YSE
SNID:  2020sga
otherID: 
IAUC:    UNKNOWN
RA:        320.9012530  deg
DECL:       13.8174950  deg
MWEBV:    0.079 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.079
SIGMA_Z: 0.001
REDSHIFT_CMB: 0.07781801896325935
REDSHIFT_FINAL: 0.07766656357979491
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59109.185
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sga.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.375 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59090.360 r_PS1 NULL 1422.939 94.985 19.617 0.072 0x00
OBS: 59090.370 i_PS1 NULL 1238.256 131.273 19.768 0.115 0x01
OBS: 59096.420 r_PS1 NULL 3485.671 88.755 18.644 0.028 0x00
OBS: 59101.300 g_PS1 NULL 4229.418 111.544 18.434 0.029 0x00
OBS: 59101.300 z_PS1 NULL 3017.020 214.738 18.801 0.077 0x00
OBS: 59103.380 g_PS1 NULL 4278.447 94.359 18.422 0.024 0x00
OBS: 59103.390 i_PS1 NULL 3092.815 98.055 18.774 0.034 0x00
OBS: 59113.240 i_PS1 NULL 3051.952 125.216 18.789 0.045 0x00
OBS: 59113.240 g_PS1 NULL 3574.212 163.057 18.617 0.050 0x00
OBS: 59117.240 g_PS1 NULL 2409.604 113.566 19.045 0.051 0x01
OBS: 59117.240 i_PS1 NULL 2446.561 114.984 19.029 0.051 0x01
OBS: 59123.220 z_PS1 NULL 1613.005 170.179 19.481 0.115 0x00
OBS: 59123.220 r_PS1 NULL 2711.504 135.300 18.917 0.054 0x01
OBS: 59127.240 z_PS1 NULL 2360.129 244.814 19.068 0.113 0x00
OBS: 59127.240 r_PS1 NULL 2435.260 110.500 19.034 0.049 0x00
OBS: 59133.320 g_PS1 NULL 810.941 108.743 20.228 0.146 0x00
OBS: 59133.330 z_PS1 NULL 2184.981 167.774 19.151 0.083 0x00
OBS: 59137.230 g_PS1 NULL 646.539 78.899 20.474 0.132 0x01
OBS: 59137.240 r_PS1 NULL 1464.300 84.939 19.586 0.063 0x00
OBS: 59140.210 i_PS1 NULL 1511.007 184.380 19.552 0.132 0x00
OBS: 59140.220 g_PS1 NULL 645.644 160.760 20.475 0.270 0x00
OBS: 59144.290 i_PS1 NULL 1286.315 127.425 19.727 0.108 0x00
OBS: 59144.290 g_PS1 NULL 472.923 118.098 20.813 0.271 0x00
OBS: 59153.250 i_PS1 NULL 858.307 104.476 20.166 0.132 0x00
OBS: 59153.260 r_PS1 NULL 832.490 88.260 20.199 0.115 0x00
OBS: 59157.350 r_PS1 NULL 668.011 60.664 20.438 0.099 0x00
OBS: 59157.360 i_PS1 NULL 686.310 79.547 20.409 0.126 0x00
OBS: 59166.220 r_PS1 NULL 845.444 145.320 20.182 0.187 0x00
OBS: 59185.210 r_PS1 NULL 440.720 92.240 20.890 0.227 0x00
OBS: 59398.980 i_PS1 NULL 38.722 87.741 22.343 -1.212 0x00
OBS: 59398.985 g_PS1 NULL 13.078 63.396 23.332 -1.105 0x00
