SURVEY: YSE
SNID:  2020sjo
otherID: 
IAUC:    UNKNOWN
RA:        66.5914420  deg
DECL:       -10.0988130  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.031265
SIGMA_Z: 2.1e-05
REDSHIFT_CMB: 0.031050169178335363
REDSHIFT_FINAL: 0.031755201793635515
HOST_LOGMASS: 11.515193787122623
SEARCH_PEAKMJD: 59107.55
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020sjo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.846 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.610 r_PS1 NULL 20876.888 142.802 16.701 0.007 0x00
OBS: 59105.610 g_PS1 NULL 20888.808 170.059 16.700 0.009 0x00
OBS: 59107.550 i_PS1 NULL 12648.554 119.266 17.245 0.010 0x00
OBS: 59107.550 g_PS1 NULL 21783.717 185.961 16.655 0.009 0x00
OBS: 59115.630 g_PS1 NULL 16485.133 159.014 16.957 0.010 0x00
OBS: 59115.630 i_PS1 NULL 9305.019 121.771 17.578 0.014 0x00
OBS: 59119.610 i_PS1 NULL 7140.621 114.944 17.866 0.017 0x00
OBS: 59119.610 r_PS1 NULL 14008.459 150.215 17.134 0.012 0x00
OBS: 59133.580 i_PS1 NULL 8277.967 112.561 17.705 0.015 0x00
OBS: 59133.580 g_PS1 NULL 3527.946 86.255 18.631 0.027 0x00
OBS: 59138.520 i_PS1 NULL 6969.262 109.243 17.892 0.017 0x00
OBS: 59138.520 g_PS1 NULL 2547.488 84.694 18.985 0.036 0x00
OBS: 59142.540 r_PS1 NULL 5525.486 98.680 18.144 0.019 0x00
OBS: 59142.550 g_PS1 NULL 2087.255 105.189 19.201 0.055 0x01
OBS: 59146.530 g_PS1 NULL 2087.555 253.042 19.201 0.132 0x00
OBS: 59146.540 z_PS1 NULL 3777.379 318.910 18.557 0.092 0x00
OBS: 59148.540 z_PS1 NULL 3456.621 119.018 18.653 0.037 0x00
OBS: 59148.540 r_PS1 NULL 4455.046 85.150 18.378 0.021 0x00
OBS: 59158.490 r_PS1 NULL 3248.225 99.296 18.721 0.033 0x00
OBS: 59158.490 z_PS1 NULL 2087.465 224.864 19.201 0.117 0x00
OBS: 59161.460 z_PS1 NULL 1651.637 132.452 19.455 0.087 0x00
OBS: 59161.460 g_PS1 NULL 1396.321 75.864 19.638 0.059 0x00
OBS: 59167.460 r_PS1 NULL 2427.717 116.587 19.037 0.052 0x00
OBS: 59167.470 g_PS1 NULL 1617.816 154.144 19.478 0.103 0x00
OBS: 59172.460 i_PS1 NULL 1772.951 88.461 19.378 0.054 0x00
OBS: 59172.460 g_PS1 NULL 1228.420 75.231 19.777 0.066 0x00
OBS: 59188.450 i_PS1 NULL 1008.094 87.815 19.991 0.095 0x00
OBS: 59188.450 r_PS1 NULL 1552.388 98.954 19.522 0.069 0x00
OBS: 59190.410 g_PS1 NULL 976.621 56.316 20.026 0.063 0x00
OBS: 59190.420 i_PS1 NULL 796.073 52.062 20.248 0.071 0x00
OBS: 59192.420 z_PS1 NULL 554.821 82.101 20.640 0.161 0x00
OBS: 59192.430 g_PS1 NULL 964.950 56.363 20.039 0.063 0x00
OBS: 59205.420 g_PS1 NULL 707.255 79.666 20.376 0.122 0x00
OBS: 59213.280 r_PS1 NULL 835.417 183.346 20.195 0.238 0x00
OBS: 59217.320 r_PS1 NULL 577.606 69.755 20.596 0.131 0x00
OBS: 59217.330 i_PS1 NULL 457.641 52.161 20.849 0.124 0x00
OBS: 59218.360 r_PS1 NULL 510.420 61.821 20.730 0.132 0x00
OBS: 59220.330 i_PS1 NULL 398.783 58.885 20.998 0.160 0x00
OBS: 59220.330 g_PS1 NULL 699.219 58.192 20.388 0.090 0x01
OBS: 59225.330 g_PS1 NULL 684.656 88.081 20.411 0.140 0x00
OBS: 59245.260 i_PS1 NULL 350.742 63.753 21.138 0.197 0x00
OBS: 59245.260 r_PS1 NULL 364.717 66.257 21.095 0.197 0x00
