SURVEY: YSE
SNID:  2020tug
otherID: 
IAUC:    UNKNOWN
RA:        359.8661770  deg
DECL:       17.8652140  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.05
REDSHIFT_CMB: 0.04875569546277947
REDSHIFT_FINAL: 0.04943703420317532
HOST_LOGMASS: 10.196839559184932
SEARCH_PEAKMJD: 59126.279
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020tug.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.470 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59111.510 g_PS1 NULL 849.292 198.398 20.177 0.254 0x01
OBS: 59112.550 g_PS1 NULL 1323.509 129.265 19.696 0.106 0x00
OBS: 59117.370 g_PS1 NULL 5460.186 87.210 18.157 0.017 0x00
OBS: 59117.370 z_PS1 NULL 3050.657 108.628 18.789 0.039 0x00
OBS: 59120.370 r_PS1 NULL 6766.882 238.998 17.924 0.038 0x00
OBS: 59127.360 r_PS1 NULL 8721.066 197.648 17.649 0.025 0x00
OBS: 59127.360 z_PS1 NULL 4220.581 168.618 18.437 0.043 0x00
OBS: 59130.480 i_PS1 NULL 4911.153 100.218 18.272 0.022 0x00
OBS: 59130.480 r_PS1 NULL 8921.612 139.414 17.624 0.017 0x00
OBS: 59132.450 z_PS1 NULL 3811.413 98.159 18.547 0.028 0x00
OBS: 59132.450 g_PS1 NULL 9232.095 138.598 17.587 0.016 0x00
OBS: 59137.450 g_PS1 NULL 7152.303 102.983 17.864 0.016 0x00
OBS: 59137.450 r_PS1 NULL 6858.742 105.528 17.909 0.017 0x00
OBS: 59142.270 g_PS1 NULL 4966.762 97.406 18.260 0.021 0x01
OBS: 59143.260 i_PS1 NULL 2369.876 102.362 19.063 0.047 0x00
OBS: 59143.270 g_PS1 NULL 4352.492 127.475 18.403 0.032 0x00
OBS: 59145.290 g_PS1 NULL 3955.611 90.703 18.507 0.025 0x00
OBS: 59145.290 i_PS1 NULL 2356.111 74.429 19.070 0.034 0x00
OBS: 59147.420 z_PS1 NULL 2046.498 142.338 19.222 0.076 0x01
OBS: 59154.410 i_PS1 NULL 2794.178 161.666 18.884 0.063 0x00
OBS: 59154.410 r_PS1 NULL 3864.993 142.650 18.532 0.040 0x00
OBS: 59156.370 r_PS1 NULL 3787.313 92.352 18.554 0.026 0x00
OBS: 59156.380 z_PS1 NULL 2142.600 89.493 19.173 0.045 0x00
OBS: 59158.390 i_PS1 NULL 3033.715 109.341 18.795 0.039 0x00
OBS: 59158.390 r_PS1 NULL 3393.242 97.300 18.673 0.031 0x00
OBS: 59163.350 i_PS1 NULL 2599.391 90.802 18.963 0.038 0x00
OBS: 59163.350 g_PS1 NULL 1116.979 62.720 19.880 0.061 0x00
OBS: 59169.220 i_PS1 NULL 1755.149 67.502 19.389 0.042 0x00
OBS: 59169.220 g_PS1 NULL 999.437 67.865 20.001 0.074 0x00
OBS: 59173.370 g_PS1 NULL 829.965 62.422 20.202 0.082 0x00
OBS: 59173.380 r_PS1 NULL 1704.614 78.627 19.421 0.050 0x00
OBS: 59182.360 z_PS1 NULL 622.794 161.351 20.514 0.281 0x00
OBS: 59182.360 r_PS1 NULL 1328.423 163.247 19.692 0.133 0x00
OBS: 59186.340 r_PS1 NULL 1252.209 98.279 19.756 0.085 0x00
OBS: 59186.350 i_PS1 NULL 769.510 80.362 20.284 0.113 0x00
OBS: 59190.280 g_PS1 NULL 651.930 55.298 20.464 0.092 0x00
OBS: 59190.290 z_PS1 NULL 492.838 82.288 20.768 0.181 0x00
OBS: 59192.300 i_PS1 NULL 738.702 59.354 20.329 0.087 0x00
OBS: 59192.310 g_PS1 NULL 604.494 76.107 20.547 0.137 0x00
OBS: 59194.310 g_PS1 NULL 552.283 51.101 20.645 0.100 0x00
OBS: 59194.310 i_PS1 NULL 677.512 59.479 20.423 0.095 0x00
OBS: 59491.500 g_PS1 NULL 203.832 54.656 21.727 0.291 0x00
