SURVEY: YSE
SNID:  2020ue
otherID: 
IAUC:    UNKNOWN
RA:        190.6949080  deg
DECL:       2.6595030  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.003129
SIGMA_Z: 1.4e-05
REDSHIFT_CMB: 0.004253052056875983
REDSHIFT_FINAL: 0.005006863781743302
HOST_LOGMASS: 10.415690514505538
HOST_LOGMASS_ERR: 0.05216931408592968
HOST_LOGSFR: -2.19705117274851
HOST_LOGSFR_ERR: 0.4792748314708593
SEARCH_PEAKMJD: 58867.61
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ue.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.750 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58874.590 g_PS1 NULL 342551.289 857.921 13.663 0.003 0x01
OBS: 58883.560 i_PS1 NULL 410047.399 843.639 13.468 0.002 0x00
OBS: 58931.450 r_PS1 NULL 99286.807 296.603 15.008 0.003 0x01
OBS: 58931.450 g_PS1 NULL 80837.734 273.720 15.231 0.004 0x01
OBS: 58941.420 z_PS1 NULL 32998.357 211.585 16.204 0.007 0x00
OBS: 58941.420 g_PS1 NULL 66071.836 282.666 15.450 0.005 0x00
OBS: 58943.360 r_PS1 NULL 65618.364 272.666 15.457 0.005 0x00
OBS: 58949.360 r_PS1 NULL 53540.519 232.556 15.678 0.005 0x00
OBS: 58949.360 z_PS1 NULL 24608.594 261.788 16.522 0.012 0x00
OBS: 58956.440 g_PS1 NULL 50759.165 191.853 15.736 0.004 0x00
OBS: 58956.450 i_PS1 NULL 36742.203 212.865 16.087 0.006 0x00
OBS: 58964.430 r_PS1 NULL 33670.471 295.232 16.182 0.010 0x01
OBS: 58967.490 r_PS1 NULL 30306.967 145.950 16.296 0.005 0x00
OBS: 58967.490 i_PS1 NULL 26069.776 130.197 16.460 0.005 0x00
OBS: 58979.330 z_PS1 NULL 11765.628 225.167 17.323 0.021 0x00
OBS: 58979.330 r_PS1 NULL 21441.581 156.972 16.672 0.008 0x00
OBS: 58986.270 g_PS1 NULL 30432.615 169.462 16.292 0.006 0x01
OBS: 58986.270 r_PS1 NULL 18038.860 129.868 16.859 0.008 0x00
OBS: 58990.270 i_PS1 NULL 16004.614 131.995 16.989 0.009 0x01
OBS: 58990.270 g_PS1 NULL 27734.100 198.757 16.392 0.008 0x01
OBS: 58994.270 g_PS1 NULL 25892.438 153.009 16.467 0.006 0x00
OBS: 58994.270 r_PS1 NULL 14975.649 131.663 17.062 0.010 0x00
OBS: 58998.270 i_PS1 NULL 13922.009 134.975 17.141 0.011 0x00
OBS: 58998.270 g_PS1 NULL 25055.220 160.564 16.503 0.007 0x00
OBS: 59004.310 i_PS1 NULL 12328.480 200.810 17.273 0.018 0x00
OBS: 59008.290 z_PS1 NULL 7217.412 143.904 17.854 0.022 0x00
OBS: 59008.290 r_PS1 NULL 11008.626 123.607 17.396 0.012 0x00
OBS: 59011.290 r_PS1 NULL 10076.237 140.502 17.492 0.015 0x00
OBS: 59011.290 i_PS1 NULL 10890.916 138.686 17.407 0.014 0x00
OBS: 59015.280 z_PS1 NULL 6561.890 172.116 17.957 0.028 0x00
OBS: 59015.280 g_PS1 NULL 18523.247 122.958 16.831 0.007 0x00
OBS: 59022.270 r_PS1 NULL 7887.387 80.096 17.758 0.011 0x00
OBS: 59022.280 g_PS1 NULL 17574.671 168.238 16.888 0.010 0x00
OBS: 59034.300 i_PS1 NULL 6846.002 113.844 17.911 0.018 0x00
OBS: 59039.300 r_PS1 NULL 5374.414 125.376 18.174 0.025 0x00
OBS: 59039.300 i_PS1 NULL 6474.231 176.931 17.972 0.030 0x00
OBS: 59041.280 r_PS1 NULL 4895.229 76.149 18.276 0.017 0x00
OBS: 59041.280 z_PS1 NULL 3940.156 105.998 18.511 0.029 0x00
OBS: 59044.270 g_PS1 NULL 11666.157 139.247 17.333 0.013 0x00
OBS: 59044.270 i_PS1 NULL 5729.200 105.497 18.105 0.020 0x00
OBS: 59048.280 r_PS1 NULL 4641.443 85.799 18.333 0.020 0x00
OBS: 59048.280 g_PS1 NULL 11752.698 145.111 17.325 0.013 0x00
OBS: 59195.580 g_PS1 NULL 1766.718 83.027 19.382 0.051 0x00
OBS: 59195.590 i_PS1 NULL 722.830 81.559 20.352 0.123 0x00
OBS: 59204.660 z_PS1 NULL 939.876 205.447 20.067 0.237 0x00
OBS: 59204.660 g_PS1 NULL 3336.225 129.740 18.692 0.042 0x01
OBS: 59207.650 z_PS1 NULL 567.678 124.072 20.615 0.237 0x00
OBS: 59207.650 r_PS1 NULL 206.262 45.089 21.714 0.237 0x00
OBS: 59216.650 z_PS1 NULL 590.301 156.280 20.572 0.287 0x00
OBS: 59222.590 g_PS1 NULL 1418.873 67.918 19.620 0.052 0x00
OBS: 59231.610 g_PS1 NULL 1122.187 82.629 19.875 0.080 0x00
OBS: 59238.570 i_PS1 NULL 386.314 84.189 21.033 0.237 0x00
OBS: 59252.540 i_PS1 NULL 442.838 70.216 20.884 0.172 0x00
OBS: 59252.540 g_PS1 NULL 970.378 64.903 20.033 0.073 0x00
OBS: 59256.530 r_PS1 NULL 235.495 51.274 21.570 0.236 0x01
OBS: 59258.520 g_PS1 NULL 863.050 122.826 20.160 0.155 0x00
OBS: 59258.530 i_PS1 NULL 427.258 95.867 20.923 0.244 0x00
OBS: 59262.570 r_PS1 NULL 248.777 59.443 21.510 0.259 0x00
