SURVEY: YSE
SNID:  2020ufe
otherID: 
IAUC:    UNKNOWN
RA:        81.0188540  deg
DECL:       -23.0242010  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.075
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.07513079054023941
REDSHIFT_FINAL: 0.0776055880631927
HOST_LOGMASS: 8.672989845275879
SEARCH_PEAKMJD: 59130.46
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ufe.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.415 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.630 r_PS1 NULL 1027.665 226.898 19.970 0.240 0x00
OBS: 59113.630 g_PS1 NULL 991.886 160.369 20.009 0.176 0x00
OBS: 59120.620 r_PS1 NULL 2532.967 84.672 18.991 0.036 0x00
OBS: 59120.620 z_PS1 NULL 1553.110 112.073 19.522 0.078 0x00
OBS: 59125.600 i_PS1 NULL 2563.611 98.482 18.978 0.042 0x00
OBS: 59125.600 r_PS1 NULL 3058.046 101.889 18.786 0.036 0x00
OBS: 59129.620 i_PS1 NULL 2285.694 99.951 19.102 0.047 0x00
OBS: 59129.620 r_PS1 NULL 3026.604 101.024 18.798 0.036 0x00
OBS: 59133.630 z_PS1 NULL 958.548 137.839 20.046 0.156 0x00
OBS: 59138.630 r_PS1 NULL 1585.017 283.862 19.500 0.194 0x01
OBS: 59141.580 i_PS1 NULL 1432.910 63.009 19.609 0.048 0x00
OBS: 59141.590 g_PS1 NULL 1167.142 64.400 19.832 0.060 0x00
OBS: 59145.590 i_PS1 NULL 1408.987 65.496 19.628 0.050 0x00
OBS: 59147.600 z_PS1 NULL 968.156 78.878 20.035 0.088 0x00
OBS: 59154.520 i_PS1 NULL 1522.516 140.476 19.544 0.100 0x00
OBS: 59154.530 r_PS1 NULL 1099.575 147.841 19.897 0.146 0x00
OBS: 59156.520 r_PS1 NULL 1245.751 86.548 19.761 0.075 0x00
OBS: 59156.530 z_PS1 NULL 1127.237 117.332 19.870 0.113 0x00
OBS: 59158.550 i_PS1 NULL 1110.981 77.341 19.886 0.076 0x00
OBS: 59158.550 r_PS1 NULL 876.709 87.982 20.143 0.109 0x00
OBS: 59161.560 g_PS1 NULL 262.539 70.135 21.452 0.290 0x00
OBS: 59161.570 z_PS1 NULL 766.048 93.877 20.289 0.133 0x00
OBS: 59172.520 i_PS1 NULL 434.478 113.559 20.905 0.284 0x00
OBS: 59182.500 i_PS1 NULL 494.807 94.916 20.764 0.208 0x00
OBS: 59182.500 r_PS1 NULL 578.813 132.399 20.594 0.248 0x00
OBS: 59184.490 r_PS1 NULL 385.639 105.094 21.035 0.296 0x00
OBS: 59189.490 i_PS1 NULL 453.536 69.034 20.858 0.165 0x00
OBS: 59189.490 r_PS1 NULL 326.112 61.634 21.217 0.205 0x00
OBS: 59200.420 r_PS1 NULL 399.184 60.691 20.997 0.165 0x00
OBS: 59208.430 r_PS1 NULL 363.908 59.893 21.098 0.179 0x00
OBS: 59218.420 r_PS1 NULL 256.669 58.131 21.477 0.246 0x00
OBS: 59229.390 g_PS1 NULL 320.039 73.704 21.237 0.250 0x00
