SURVEY: YSE
SNID:  2020usm
otherID: 
IAUC:    UNKNOWN
RA:        359.6716360  deg
DECL:       29.0086570  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.104
SIGMA_Z: 0.001
REDSHIFT_CMB: 0.10276336498413352
REDSHIFT_FINAL: 0.10772399084169089
HOST_LOGMASS: 10.21903133392334
SEARCH_PEAKMJD: 59128.47
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020usm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.364 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.480 g_PS1 NULL 358.510 67.739 21.114 0.205 0x01
OBS: 59113.480 r_PS1 NULL 358.100 75.467 21.115 0.229 0x00
OBS: 59117.370 g_PS1 NULL 458.782 78.456 20.846 0.186 0x00
OBS: 59117.370 i_PS1 NULL 751.506 75.615 20.310 0.109 0x00
OBS: 59119.360 i_PS1 NULL 990.784 58.896 20.010 0.065 0x00
OBS: 59119.360 r_PS1 NULL 938.464 57.150 20.069 0.066 0x00
OBS: 59121.510 r_PS1 NULL 1089.028 97.206 19.907 0.097 0x00
OBS: 59121.510 z_PS1 NULL 809.574 150.587 20.229 0.202 0x01
OBS: 59128.470 i_PS1 NULL 1274.365 113.741 19.737 0.097 0x00
OBS: 59128.470 r_PS1 NULL 1547.711 96.605 19.526 0.068 0x00
OBS: 59131.440 g_PS1 NULL 1075.478 58.206 19.921 0.059 0x00
OBS: 59131.440 z_PS1 NULL 587.736 122.493 20.577 0.226 0x01
OBS: 59133.470 i_PS1 NULL 1156.942 71.336 19.842 0.067 0x00
OBS: 59133.480 g_PS1 NULL 1036.355 93.088 19.961 0.098 0x00
OBS: 59137.460 g_PS1 NULL 765.827 64.002 20.290 0.091 0x00
OBS: 59137.460 i_PS1 NULL 922.473 61.876 20.088 0.073 0x00
OBS: 59142.260 i_PS1 NULL 804.484 93.554 20.236 0.126 0x00
OBS: 59142.270 g_PS1 NULL 539.485 84.996 20.670 0.171 0x00
OBS: 59146.440 g_PS1 NULL 350.744 62.591 21.138 0.194 0x00
OBS: 59154.400 i_PS1 NULL 889.028 106.785 20.128 0.130 0x00
OBS: 59154.400 r_PS1 NULL 458.236 90.881 20.847 0.215 0x00
OBS: 59156.370 r_PS1 NULL 323.558 59.380 21.225 0.199 0x00
OBS: 59156.370 z_PS1 NULL 585.995 98.866 20.580 0.183 0x00
OBS: 59158.390 i_PS1 NULL 640.296 63.942 20.484 0.108 0x00
OBS: 59158.390 r_PS1 NULL 468.318 52.582 20.824 0.122 0x00
OBS: 59163.360 z_PS1 NULL 480.086 99.694 20.797 0.225 0x00
OBS: 59169.230 r_PS1 NULL 350.132 58.727 21.139 0.182 0x01
OBS: 59173.370 g_PS1 NULL 217.073 55.238 21.658 0.276 0x00
OBS: 59173.370 i_PS1 NULL 327.418 66.456 21.212 0.220 0x00
OBS: 59190.280 i_PS1 NULL 322.140 51.537 21.230 0.174 0x00
OBS: 59194.320 r_PS1 NULL 206.353 46.296 21.713 0.244 0x00
