SURVEY: YSE
SNID:  2020uxz
otherID: 
IAUC:    UNKNOWN
RA:        21.0287050  deg
DECL:       12.9214770  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.008246
SIGMA_Z: 5e-06
REDSHIFT_CMB: 0.007205989504255772
REDSHIFT_FINAL: 0.007929819235145668
HOST_LOGMASS: 9.853756288381138
HOST_LOGMASS_ERR: 0.33342061494279857
HOST_LOGSFR: 0.08338157795011977
HOST_LOGSFR_ERR: 0.5701593098793256
SEARCH_PEAKMJD: 59142.386
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020uxz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.805 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59129.520 g_PS1 NULL 54026.810 210.060 15.668 0.004 0x00
OBS: 59129.520 r_PS1 NULL 52248.983 226.476 15.705 0.005 0x00
OBS: 59129.520 i_PS1 NULL 42087.432 243.994 15.940 0.006 0x00
OBS: 59130.000 z_PS1 NULL 58392.472 295.115 15.601 0.005 0x00
OBS: 59131.500 r_PS1 NULL 105906.255 323.688 14.938 0.003 0x00
OBS: 59131.500 g_PS1 NULL 111213.080 343.280 14.885 0.003 0x00
OBS: 59131.500 z_PS1 NULL 91047.984 392.100 15.102 0.005 0x00
OBS: 59131.500 i_PS1 NULL 85461.997 273.179 15.171 0.003 0x00
OBS: 59132.550 i_PS1 NULL 113519.620 352.960 14.862 0.003 0x00
OBS: 59132.550 g_PS1 NULL 149335.019 416.709 14.565 0.003 0x00
OBS: 59132.550 z_PS1 NULL 116211.449 394.323 14.837 0.004 0x00
OBS: 59132.550 r_PS1 NULL 143681.127 432.528 14.607 0.003 0x01
OBS: 59134.010 i_PS1 NULL 154429.681 383.886 14.532 0.003 0x00
OBS: 59134.010 g_PS1 NULL 204906.647 432.772 14.226 0.002 0x00
OBS: 59134.010 z_PS1 NULL 147888.311 469.128 14.578 0.003 0x00
OBS: 59134.010 r_PS1 NULL 194375.372 395.558 14.282 0.002 0x00
OBS: 59135.420 i_PS1 NULL 187778.995 339.273 14.316 0.002 0x00
OBS: 59135.420 z_PS1 NULL 176866.114 486.704 14.381 0.003 0x00
OBS: 59135.420 r_PS1 NULL 242071.903 478.468 14.040 0.002 0x00
OBS: 59135.420 g_PS1 NULL 253443.746 467.873 13.990 0.002 0x00
OBS: 59136.460 i_PS1 NULL 209429.670 442.922 14.197 0.002 0x00
OBS: 59136.460 z_PS1 NULL 193394.949 534.869 14.284 0.003 0x00
OBS: 59138.400 r_PS1 NULL 310924.697 686.544 13.768 0.002 0x00
OBS: 59138.400 g_PS1 NULL 333067.510 723.853 13.694 0.002 0x00
OBS: 59138.400 z_PS1 NULL 214122.768 759.783 14.173 0.004 0x00
OBS: 59138.400 i_PS1 NULL 229457.963 534.644 14.098 0.003 0x00
OBS: 59139.380 i_PS1 NULL 234272.525 538.747 14.076 0.002 0x00
OBS: 59139.380 z_PS1 NULL 220786.018 658.498 14.140 0.003 0x00
OBS: 59139.380 g_PS1 NULL 356221.629 613.915 13.621 0.002 0x00
OBS: 59140.400 z_PS1 NULL 223022.151 952.485 14.129 0.005 0x00
