SURVEY: YSE
SNID:  2020zhh
otherID: 
IAUC:    UNKNOWN
RA:        66.5826700  deg
DECL:       -10.0991100  deg
MWEBV:    0.057 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.031265
SIGMA_Z: 2.1e-05
REDSHIFT_CMB: 0.031049983549802596
REDSHIFT_FINAL: 0.03175503501158792
HOST_LOGMASS: 11.437560593542708
HOST_LOGMASS_ERR: 0.07159052667321288
HOST_LOGSFR: 0.5509853740768056
HOST_LOGSFR_ERR: 0.25229919536354506
SEARCH_PEAKMJD: 59177.38
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zhh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.843 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59161.460 g_PS1 NULL 518.940 77.885 20.712 0.163 0x00
OBS: 59161.460 z_PS1 NULL 565.858 125.258 20.618 0.240 0x00
OBS: 59167.460 r_PS1 NULL 9189.298 139.074 17.592 0.016 0x01
OBS: 59167.470 g_PS1 NULL 9178.370 165.859 17.593 0.020 0x00
OBS: 59172.460 i_PS1 NULL 15116.392 150.536 17.051 0.011 0x00
OBS: 59172.460 g_PS1 NULL 19619.933 178.434 16.768 0.010 0x00
OBS: 59188.450 r_PS1 NULL 16994.470 155.921 16.924 0.010 0x00
OBS: 59188.450 i_PS1 NULL 9040.204 108.166 17.610 0.013 0x00
OBS: 59190.410 g_PS1 NULL 13519.269 154.360 17.173 0.012 0x00
OBS: 59190.420 i_PS1 NULL 8202.063 106.674 17.715 0.014 0x00
OBS: 59192.420 z_PS1 NULL 9227.243 136.869 17.587 0.016 0x00
OBS: 59192.430 g_PS1 NULL 11485.169 123.983 17.350 0.012 0x00
OBS: 59205.420 g_PS1 NULL 3705.819 92.988 18.578 0.027 0x00
OBS: 59205.420 z_PS1 NULL 10097.403 172.301 17.489 0.019 0x00
OBS: 59218.360 r_PS1 NULL 4651.202 100.928 18.331 0.024 0x00
OBS: 59218.360 z_PS1 NULL 4621.412 157.160 18.338 0.037 0x00
OBS: 59220.330 g_PS1 NULL 1799.178 80.734 19.362 0.049 0x00
OBS: 59220.330 i_PS1 NULL 4198.814 88.714 18.442 0.023 0x00
OBS: 59225.330 g_PS1 NULL 1703.903 91.038 19.421 0.058 0x00
OBS: 59225.340 i_PS1 NULL 3438.413 106.732 18.659 0.034 0x00
OBS: 59229.290 g_PS1 NULL 1634.307 93.408 19.467 0.062 0x00
OBS: 59229.300 r_PS1 NULL 3536.059 102.773 18.629 0.032 0x00
OBS: 59243.230 r_PS1 NULL 2178.136 182.610 19.155 0.091 0x00
OBS: 59243.230 i_PS1 NULL 1941.014 136.493 19.280 0.076 0x00
OBS: 59245.260 r_PS1 NULL 2220.153 97.984 19.134 0.048 0x01
OBS: 59254.240 g_PS1 NULL 1144.480 89.825 19.853 0.085 0x00
OBS: 59254.250 r_PS1 NULL 1733.231 97.924 19.403 0.061 0x00
OBS: 59258.240 r_PS1 NULL 1447.714 87.125 19.598 0.065 0x00
OBS: 59258.240 g_PS1 NULL 1085.849 71.396 19.911 0.071 0x00
OBS: 59267.240 i_PS1 NULL 818.369 96.567 20.218 0.128 0x00
OBS: 59267.240 r_PS1 NULL 1312.316 100.116 19.705 0.083 0x00
OBS: 59269.270 r_PS1 NULL 1270.355 224.420 19.740 0.192 0x00
