SURVEY: YSE
SNID:  2020zj
otherID: 
IAUC:    UNKNOWN
RA:        240.3349330  deg
DECL:       16.6777390  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.031567
SIGMA_Z: 8.43e-06
REDSHIFT_CMB: 0.03188607739014837
REDSHIFT_FINAL: 0.03165523263430463
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 58868.65
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.956 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.650 g_PS1 NULL 19623.854 173.878 16.768 0.010 0x00
OBS: 58868.650 r_PS1 NULL 18072.718 117.767 16.857 0.007 0x00
OBS: 58873.640 r_PS1 NULL 17284.843 125.262 16.906 0.008 0x01
OBS: 58878.650 g_PS1 NULL 13180.852 183.328 17.200 0.015 0x00
OBS: 58878.660 r_PS1 NULL 13054.648 434.465 17.211 0.036 0x00
OBS: 58882.650 g_PS1 NULL 9732.344 130.377 17.529 0.015 0x01
OBS: 58931.510 g_PS1 NULL 953.246 67.171 20.052 0.077 0x00
OBS: 58931.520 r_PS1 NULL 1746.443 73.451 19.395 0.046 0x00
OBS: 58933.520 i_PS1 NULL 1151.871 117.253 19.846 0.111 0x01
OBS: 58942.490 i_PS1 NULL 1026.802 122.564 19.971 0.130 0x00
OBS: 58942.500 r_PS1 NULL 1203.744 131.175 19.799 0.118 0x00
OBS: 58947.610 r_PS1 NULL 1064.640 262.895 19.932 0.268 0x00
OBS: 58951.470 i_PS1 NULL 452.184 121.156 20.862 0.291 0x00
OBS: 58951.470 r_PS1 NULL 1040.499 128.302 19.957 0.134 0x00
OBS: 58961.570 g_PS1 NULL 688.089 52.615 20.406 0.083 0x00
OBS: 58961.580 r_PS1 NULL 702.758 61.708 20.383 0.095 0x00
OBS: 58966.570 g_PS1 NULL 647.349 65.180 20.472 0.109 0x01
OBS: 58966.570 i_PS1 NULL 390.120 56.562 21.022 0.157 0x00
OBS: 58968.540 r_PS1 NULL 617.510 52.771 20.523 0.093 0x00
OBS: 58968.540 g_PS1 NULL 681.451 44.418 20.416 0.071 0x00
OBS: 58971.400 g_PS1 NULL 534.959 69.392 20.679 0.141 0x00
OBS: 58971.400 i_PS1 NULL 361.247 70.669 21.105 0.212 0x00
OBS: 58974.005 r_PS1 NULL 405.815 87.654 20.980 0.234 0x00
OBS: 58982.510 g_PS1 NULL 423.561 64.155 20.933 0.164 0x00
OBS: 58984.490 g_PS1 NULL 494.474 43.730 20.765 0.096 0x00
OBS: 58984.490 i_PS1 NULL 304.952 48.014 21.289 0.171 0x00
OBS: 58988.490 i_PS1 NULL 246.258 54.635 21.522 0.241 0x00
OBS: 58988.490 g_PS1 NULL 502.243 49.287 20.748 0.107 0x00
OBS: 58994.490 g_PS1 NULL 412.707 63.032 20.961 0.166 0x00
OBS: 58998.360 g_PS1 NULL 449.631 61.516 20.868 0.149 0x01
OBS: 59000.500 g_PS1 NULL 372.144 45.895 21.073 0.134 0x00
OBS: 59000.510 i_PS1 NULL 300.376 53.330 21.306 0.193 0x00
OBS: 59008.300 r_PS1 NULL 322.396 54.683 21.229 0.184 0x00
OBS: 59015.300 g_PS1 NULL 338.009 52.871 21.178 0.170 0x01
OBS: 59023.380 g_PS1 NULL 252.006 40.094 21.496 0.173 0x00
OBS: 59023.380 r_PS1 NULL 179.447 33.893 21.865 0.205 0x00
OBS: 59029.290 i_PS1 NULL 180.147 41.512 21.861 0.250 0x00
OBS: 59029.290 g_PS1 NULL 203.180 48.383 21.730 0.259 0x00
OBS: 59043.350 g_PS1 NULL 292.425 59.111 21.335 0.219 0x01
OBS: 59047.360 g_PS1 NULL 218.279 56.253 21.652 0.280 0x00
OBS: 59051.340 g_PS1 NULL 233.405 40.849 21.580 0.190 0x00
OBS: 59074.290 g_PS1 NULL 175.223 46.012 21.891 0.285 0x00
OBS: 59079.260 g_PS1 NULL 168.562 42.509 21.933 0.274 0x00
OBS: 59083.260 g_PS1 NULL 183.380 46.293 21.842 0.274 0x00
