SURVEY: YSE
SNID:  2020zmi
otherID: 
IAUC:    UNKNOWN
RA:        315.0458750  deg
DECL:       -4.0670110  deg
MWEBV:    0.075 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.019607
SIGMA_Z: 0.00015
REDSHIFT_CMB: 0.018571294951578388
REDSHIFT_FINAL: 0.019586950382854528
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 59192.098
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zmi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.996 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59167.210 g_PS1 NULL 7340.104 140.915 17.836 0.021 0x00
OBS: 59167.210 i_PS1 NULL 5645.345 138.750 18.121 0.027 0x00
OBS: 59181.240 r_PS1 NULL 57186.866 254.962 15.607 0.005 0x00
OBS: 59181.240 z_PS1 NULL 35656.756 303.638 16.120 0.009 0x00
OBS: 59184.200 r_PS1 NULL 61166.221 302.772 15.534 0.005 0x00
OBS: 59184.200 z_PS1 NULL 35418.921 249.419 16.127 0.008 0x00
OBS: 59319.620 g_PS1 NULL 1658.646 82.513 19.451 0.054 0x00
OBS: 59319.620 r_PS1 NULL 1362.503 87.393 19.664 0.070 0x00
OBS: 59323.600 g_PS1 NULL 1552.383 72.650 19.523 0.051 0x00
OBS: 59327.570 r_PS1 NULL 1170.691 79.516 19.829 0.074 0x00
OBS: 59327.570 i_PS1 NULL 932.484 132.356 20.076 0.154 0x00
OBS: 59328.590 r_PS1 NULL 1012.228 94.637 19.987 0.102 0x00
OBS: 59329.610 i_PS1 NULL 645.898 118.755 20.475 0.200 0x00
OBS: 59329.610 r_PS1 NULL 858.501 169.834 20.166 0.215 0x00
OBS: 59334.600 r_PS1 NULL 838.791 106.083 20.191 0.137 0x00
OBS: 59342.600 g_PS1 NULL 1213.686 57.350 19.790 0.051 0x00
OBS: 59342.600 r_PS1 NULL 844.792 45.029 20.183 0.058 0x00
OBS: 59345.600 g_PS1 NULL 1236.389 69.720 19.770 0.061 0x00
OBS: 59345.610 i_PS1 NULL 602.160 92.037 20.551 0.166 0x00
OBS: 59351.590 g_PS1 NULL 1174.108 95.335 19.826 0.088 0x00
OBS: 59351.590 i_PS1 NULL 538.105 84.448 20.673 0.170 0x00
OBS: 59356.570 i_PS1 NULL 424.380 51.806 20.931 0.133 0x00
OBS: 59356.570 r_PS1 NULL 455.051 67.942 20.855 0.162 0x01
OBS: 59357.580 r_PS1 NULL 454.077 43.818 20.857 0.105 0x00
OBS: 59358.580 r_PS1 NULL 542.199 87.181 20.665 0.175 0x00
OBS: 59358.590 i_PS1 NULL 605.768 95.966 20.544 0.172 0x00
OBS: 59359.560 r_PS1 NULL 355.473 94.399 21.123 0.288 0x00
OBS: 59369.540 g_PS1 NULL 895.681 111.870 20.120 0.136 0x00
OBS: 59370.570 g_PS1 NULL 994.565 59.051 20.006 0.064 0x01
OBS: 59373.590 g_PS1 NULL 779.781 37.698 20.270 0.052 0x00
OBS: 59373.590 i_PS1 NULL 441.667 51.236 20.887 0.126 0x00
OBS: 59376.540 g_PS1 NULL 891.059 54.386 20.125 0.066 0x00
OBS: 59376.540 r_PS1 NULL 372.684 47.208 21.072 0.138 0x00
OBS: 59381.570 r_PS1 NULL 323.583 34.227 21.225 0.115 0x00
OBS: 59381.570 g_PS1 NULL 815.866 49.460 20.221 0.066 0x00
OBS: 59385.510 r_PS1 NULL 276.435 47.056 21.396 0.185 0x00
OBS: 59386.540 i_PS1 NULL 373.595 50.444 21.069 0.147 0x00
OBS: 59386.540 r_PS1 NULL 263.310 34.794 21.449 0.143 0x00
OBS: 59409.440 g_PS1 NULL 745.749 100.035 20.319 0.146 0x00
OBS: 59411.540 g_PS1 NULL 543.253 40.374 20.662 0.081 0x00
OBS: 59415.420 i_PS1 NULL 364.227 87.882 21.097 0.262 0x00
OBS: 59423.490 i_PS1 NULL 254.589 51.133 21.485 0.218 0x00
OBS: 59429.410 g_PS1 NULL 577.566 62.148 20.596 0.117 0x00
OBS: 59432.450 g_PS1 NULL 362.865 81.220 21.101 0.243 0x01
OBS: 59443.440 g_PS1 NULL 365.090 91.188 21.094 0.271 0x00
OBS: 59456.470 g_PS1 NULL 314.587 74.518 21.256 0.257 0x00
OBS: 59485.280 g_PS1 NULL 240.645 43.650 21.547 0.197 0x00
OBS: 59488.270 g_PS1 NULL 252.191 64.885 21.496 0.279 0x00
OBS: 59494.220 g_PS1 NULL 356.893 82.960 21.119 0.252 0x00
