SURVEY: YSE
SNID:  2020zyy
otherID: 
IAUC:    UNKNOWN
RA:        94.1635160  deg
DECL:       -21.4997900  deg
MWEBV:    0.078 +- 0.004 MW E(B-V)
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.059
REDSHIFT_CMB: 0.059397889021086
REDSHIFT_FINAL: 0.059566341725648085
HOST_LOGMASS: 6.0
SEARCH_PEAKMJD: 59180.465
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020zyy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.265 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59172.520 i_PS1 NULL 3275.695 117.208 18.712 0.039 0x00
OBS: 59172.520 g_PS1 NULL 4511.137 125.382 18.364 0.030 0x00
OBS: 59182.500 i_PS1 NULL 3517.027 129.882 18.635 0.040 0x00
OBS: 59182.500 r_PS1 NULL 6026.788 150.146 18.050 0.027 0x00
OBS: 59184.490 r_PS1 NULL 5723.847 136.421 18.106 0.026 0x00
OBS: 59184.490 z_PS1 NULL 3029.822 137.318 18.796 0.049 0x00
OBS: 59187.430 r_PS1 NULL 4995.764 135.431 18.253 0.029 0x00
OBS: 59187.440 i_PS1 NULL 3178.090 93.115 18.745 0.032 0x00
OBS: 59189.490 i_PS1 NULL 2814.165 69.029 18.877 0.027 0x00
OBS: 59189.490 r_PS1 NULL 4884.562 91.038 18.278 0.020 0x00
OBS: 59191.410 g_PS1 NULL 4041.048 87.410 18.484 0.023 0x00
OBS: 59191.420 z_PS1 NULL 1878.293 115.623 19.316 0.067 0x00
OBS: 59200.420 g_PS1 NULL 2001.872 96.678 19.246 0.052 0x00
OBS: 59200.420 r_PS1 NULL 2836.243 101.921 18.868 0.039 0x00
OBS: 59206.410 g_PS1 NULL 1174.824 62.067 19.825 0.057 0x00
OBS: 59206.410 i_PS1 NULL 1795.888 69.050 19.364 0.042 0x00
OBS: 59208.430 r_PS1 NULL 2436.777 85.581 19.033 0.038 0x00
OBS: 59208.430 i_PS1 NULL 1813.465 90.995 19.354 0.054 0x00
OBS: 59210.380 z_PS1 NULL 1376.131 376.645 19.653 0.297 0x00
OBS: 59210.380 r_PS1 NULL 2065.893 229.689 19.212 0.121 0x00
OBS: 59213.400 r_PS1 NULL 2062.650 151.271 19.214 0.080 0x00
OBS: 59213.400 i_PS1 NULL 1943.161 144.071 19.279 0.080 0x00
OBS: 59216.380 i_PS1 NULL 1592.313 171.270 19.495 0.117 0x00
OBS: 59216.380 r_PS1 NULL 1684.564 202.726 19.434 0.131 0x00
OBS: 59225.390 r_PS1 NULL 1167.935 82.355 19.831 0.077 0x00
OBS: 59225.390 g_PS1 NULL 318.723 87.393 21.241 0.298 0x00
OBS: 59229.390 g_PS1 NULL 525.681 65.862 20.698 0.136 0x00
OBS: 59229.390 i_PS1 NULL 998.325 72.835 20.002 0.079 0x00
OBS: 59237.390 i_PS1 NULL 540.484 118.193 20.668 0.237 0x00
OBS: 59237.400 r_PS1 NULL 741.997 133.149 20.324 0.195 0x00
OBS: 59245.260 r_PS1 NULL 574.643 77.099 20.602 0.146 0x00
OBS: 59245.270 i_PS1 NULL 512.554 89.392 20.726 0.189 0x01
