SURVEY: YSE
SNID:  2021J
otherID: 
IAUC:    UNKNOWN
RA:        186.6125700  deg
DECL:       31.2223690  deg
MWEBV:    0.017 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.002362
SIGMA_Z: 7e-06
REDSHIFT_CMB: 0.0032780025715133387
REDSHIFT_FINAL: 0.0013441298780104735
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59235.47
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021J.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.524 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59220.630 r_PS1 NULL 237921.224 524.897 14.059 0.002 0x00
OBS: 59220.630 g_PS1 NULL 201129.460 480.404 14.241 0.003 0x00
OBS: 59220.630 z_PS1 NULL 201131.285 659.757 14.241 0.004 0x00
OBS: 59220.630 i_PS1 NULL 145313.553 500.978 14.594 0.004 0x00
OBS: 59221.620 g_PS1 NULL 276584.875 595.639 13.895 0.002 0x00
OBS: 59221.620 z_PS1 NULL 259167.405 757.251 13.966 0.003 0x00
OBS: 59222.580 i_PS1 NULL 267569.236 739.471 13.931 0.003 0x00
OBS: 59222.580 g_PS1 NULL 377483.246 764.635 13.558 0.002 0x00
OBS: 59222.580 r_PS1 NULL 414183.986 783.942 13.457 0.002 0x00
OBS: 59222.580 z_PS1 NULL 324045.411 952.302 13.723 0.003 0x00
OBS: 59225.610 z_PS1 NULL 484716.271 1238.220 13.286 0.003 0x00
OBS: 59225.610 g_PS1 NULL 687054.434 976.427 12.908 0.002 0x00
OBS: 59225.610 i_PS1 NULL 481082.139 1081.580 13.294 0.002 0x00
OBS: 59225.610 r_PS1 NULL 703360.597 1225.574 12.882 0.002 0x00
OBS: 59226.630 g_PS1 NULL 762067.770 1054.673 12.795 0.002 0x00
OBS: 59226.630 i_PS1 NULL 555992.083 1006.429 13.137 0.002 0x00
OBS: 59226.630 z_PS1 NULL 531264.018 1081.765 13.187 0.002 0x00
OBS: 59228.660 r_PS1 NULL 939401.147 1509.152 12.568 0.002 0x00
OBS: 59228.660 z_PS1 NULL 576818.085 1679.972 13.097 0.003 0x00
OBS: 59228.660 i_PS1 NULL 613873.664 1491.235 13.030 0.003 0x00
OBS: 59228.665 g_PS1 NULL 814212.065 1466.142 12.723 0.002 0x00
OBS: 59230.207 g_PS1 NULL 966410.282 1696.578 12.537 0.002 0x00
OBS: 59230.272 z_PS1 NULL 550725.724 2445.157 13.162 0.006 0x00
OBS: 59230.275 i_PS1 NULL 620462.329 2435.009 13.019 0.004 0x00
OBS: 59230.275 r_PS1 NULL 1049704.822 3572.426 12.454 0.004 0x00
OBS: 59231.475 i_PS1 NULL 588753.380 1592.838 13.075 0.003 0x00
OBS: 59231.475 z_PS1 NULL 606572.714 2051.978 13.043 0.004 0x00
OBS: 59231.480 r_PS1 NULL 1045353.475 1758.236 12.452 0.002 0x01
OBS: 59231.480 g_PS1 NULL 996876.042 1800.119 12.503 0.002 0x00
OBS: 59235.470 z_PS1 NULL 546995.090 1883.110 13.156 0.004 0x00
OBS: 59235.470 g_PS1 NULL 984403.857 1796.291 12.518 0.002 0x00
OBS: 59235.470 r_PS1 NULL 1058759.579 1887.789 12.438 0.002 0x00
OBS: 59235.470 i_PS1 NULL 565401.963 1381.047 13.120 0.003 0x00
OBS: 59236.917 g_PS1 NULL 919797.192 1761.720 12.592 0.002 0x00
OBS: 59237.055 z_PS1 NULL 552933.552 1934.676 13.143 0.004 0x00
OBS: 59237.193 r_PS1 NULL 1019793.166 2228.003 12.479 0.002 0x00
OBS: 59237.193 i_PS1 NULL 549434.957 1653.696 13.150 0.003 0x00
OBS: 59238.470 r_PS1 NULL 935681.954 2155.095 12.572 0.003 0x01
OBS: 59238.470 g_PS1 NULL 860450.961 2013.968 12.663 0.003 0x00
OBS: 59238.470 i_PS1 NULL 552519.579 2376.392 13.144 0.005 0x01
OBS: 59238.470 z_PS1 NULL 528851.954 2574.150 13.192 0.005 0x00
OBS: 59242.530 r_PS1 NULL 755478.588 1990.822 12.804 0.003 0x00
OBS: 59242.530 i_PS1 NULL 435308.365 1622.420 13.403 0.004 0x00
OBS: 59243.117 z_PS1 NULL 458266.575 2092.249 13.350 0.005 0x00
OBS: 59252.420 g_PS1 NULL 302942.961 990.207 13.796 0.004 0x00
OBS: 59252.420 r_PS1 NULL 563665.329 1220.067 13.123 0.003 0x00
OBS: 59252.420 i_PS1 NULL 440981.198 1261.390 13.389 0.004 0x00
OBS: 59252.420 z_PS1 NULL 468125.563 2216.076 13.337 0.006 0x00
OBS: 59253.440 g_PS1 NULL 275838.106 693.684 13.898 0.003 0x00
OBS: 59253.440 r_PS1 NULL 558441.671 1287.726 13.133 0.003 0x00
OBS: 59253.440 z_PS1 NULL 518032.537 1828.049 13.214 0.004 0x00
OBS: 59253.440 i_PS1 NULL 450057.727 1614.538 13.367 0.004 0x00
OBS: 59254.390 g_PS1 NULL 257345.554 1256.895 13.974 0.005 0x00
OBS: 59254.390 r_PS1 NULL 540662.323 2114.124 13.168 0.005 0x01
OBS: 59254.390 z_PS1 NULL 538148.437 2672.825 13.173 0.005 0x00
OBS: 59254.390 i_PS1 NULL 462479.933 2019.115 13.337 0.005 0x01
OBS: 59255.420 i_PS1 NULL 446566.860 1454.970 13.375 0.004 0x00
OBS: 59255.420 r_PS1 NULL 507226.673 1530.624 13.238 0.003 0x01
OBS: 59255.420 g_PS1 NULL 232243.613 1108.993 14.085 0.005 0x00
OBS: 59255.420 z_PS1 NULL 499191.011 1779.486 13.255 0.004 0x00
OBS: 59256.420 r_PS1 NULL 480030.586 1389.973 13.297 0.003 0x01
OBS: 59256.420 g_PS1 NULL 206690.277 893.826 14.212 0.005 0x00
OBS: 59256.420 i_PS1 NULL 420591.365 1601.600 13.442 0.004 0x01
OBS: 59256.420 z_PS1 NULL 493751.272 2203.635 13.266 0.005 0x00
OBS: 59257.390 i_PS1 NULL 439373.894 1821.065 13.393 0.004 0x00
OBS: 59257.390 z_PS1 NULL 466023.911 2300.378 13.331 0.006 0x00
OBS: 59257.390 r_PS1 NULL 467785.432 1603.946 13.325 0.004 0x00
OBS: 59257.390 g_PS1 NULL 195199.795 734.809 14.274 0.004 0x00
OBS: 59258.400 r_PS1 NULL 468432.193 1743.464 13.323 0.004 0x00
OBS: 59258.405 i_PS1 NULL 430272.606 1789.877 13.416 0.005 0x00
OBS: 59258.410 z_PS1 NULL 496033.091 2767.935 13.261 0.006 0x01
OBS: 59258.410 g_PS1 NULL 185261.962 843.541 14.331 0.005 0x00
OBS: 59261.025 i_PS1 NULL 377019.388 1566.414 13.560 0.004 0x00
OBS: 59261.025 r_PS1 NULL 370713.876 1320.149 13.578 0.004 0x00
OBS: 59261.025 g_PS1 NULL 153303.448 919.091 14.537 0.007 0x00
OBS: 59261.096 z_PS1 NULL 419350.115 2352.831 13.445 0.006 0x00
OBS: 59262.400 z_PS1 NULL 384989.466 1247.873 13.537 0.004 0x00
OBS: 59262.400 r_PS1 NULL 341131.642 889.920 13.668 0.003 0x00
OBS: 59262.400 g_PS1 NULL 133025.141 664.155 14.690 0.005 0x01
OBS: 59262.400 i_PS1 NULL 344659.706 812.328 13.657 0.003 0x00
OBS: 59267.390 i_PS1 NULL 230517.741 1450.637 14.094 0.007 0x01
OBS: 59267.390 z_PS1 NULL 249653.546 1738.053 14.007 0.007 0x00
OBS: 59267.390 r_PS1 NULL 235788.214 955.909 14.069 0.005 0x00
OBS: 59267.390 g_PS1 NULL 103536.437 703.922 14.963 0.007 0x00
OBS: 59268.390 g_PS1 NULL 101151.742 798.224 14.988 0.009 0x00
OBS: 59268.390 z_PS1 NULL 246642.059 2065.687 14.020 0.009 0x01
OBS: 59268.390 i_PS1 NULL 225224.061 1490.153 14.119 0.007 0x01
OBS: 59268.390 r_PS1 NULL 240505.247 1449.102 14.047 0.007 0x01
OBS: 59269.380 i_PS1 NULL 213053.954 1253.381 14.178 0.006 0x01
OBS: 59269.380 g_PS1 NULL 87872.269 970.420 15.142 0.011 0x00
OBS: 59269.380 r_PS1 NULL 219467.811 1150.950 14.148 0.005 0x01
OBS: 59269.380 z_PS1 NULL 222586.913 1480.780 14.131 0.008 0x00
OBS: 59288.310 i_PS1 NULL 106416.120 1448.155 14.933 0.015 0x00
OBS: 59288.310 r_PS1 NULL 115526.317 1488.877 14.851 0.015 0x00
OBS: 59288.310 z_PS1 NULL 85687.303 1003.673 15.168 0.013 0x00
OBS: 59288.315 g_PS1 NULL 73089.546 763.021 15.340 0.011 0x00
OBS: 59291.410 i_PS1 NULL 97184.305 530.195 15.031 0.006 0x00
OBS: 59291.410 g_PS1 NULL 74145.307 488.314 15.325 0.007 0x00
OBS: 59291.410 z_PS1 NULL 74069.369 605.140 15.326 0.009 0x00
OBS: 59291.410 r_PS1 NULL 116407.004 486.513 14.835 0.005 0x00
OBS: 59296.350 z_PS1 NULL 56839.286 465.695 15.613 0.009 0x00
OBS: 59296.350 g_PS1 NULL 68798.055 494.576 15.406 0.008 0x01
OBS: 59296.350 r_PS1 NULL 99143.548 373.689 15.009 0.004 0x00
OBS: 59296.350 i_PS1 NULL 79902.367 428.227 15.244 0.006 0x00
OBS: 59303.360 z_PS1 NULL 44199.006 731.816 15.886 0.018 0x00
OBS: 59303.360 g_PS1 NULL 59287.655 594.112 15.568 0.011 0x00
OBS: 59303.360 r_PS1 NULL 86629.169 591.807 15.156 0.007 0x01
OBS: 59303.360 i_PS1 NULL 66143.887 721.848 15.449 0.012 0x01
OBS: 59310.350 i_PS1 NULL 51507.295 475.966 15.720 0.010 0x00
OBS: 59310.350 r_PS1 NULL 64820.946 413.682 15.471 0.007 0x00
OBS: 59310.350 g_PS1 NULL 58740.956 426.040 15.578 0.008 0x00
OBS: 59310.350 z_PS1 NULL 30522.546 557.895 16.288 0.020 0x00
OBS: 59317.380 i_PS1 NULL 42533.848 468.605 15.928 0.012 0x00
OBS: 59317.380 r_PS1 NULL 56482.962 443.043 15.620 0.009 0x01
OBS: 59317.380 z_PS1 NULL 23230.705 550.743 16.585 0.026 0x00
OBS: 59317.380 g_PS1 NULL 50367.209 393.013 15.745 0.008 0x00
OBS: 59322.400 z_PS1 NULL 19957.792 364.766 16.750 0.020 0x00
OBS: 59322.400 g_PS1 NULL 48473.329 258.457 15.786 0.006 0x00
OBS: 59322.400 r_PS1 NULL 45574.790 321.078 15.853 0.008 0x00
OBS: 59322.400 i_PS1 NULL 36775.531 317.451 16.086 0.009 0x00
OBS: 59332.310 i_PS1 NULL 27985.086 267.855 16.383 0.010 0x00
OBS: 59332.310 g_PS1 NULL 42008.582 292.894 15.942 0.008 0x00
OBS: 59332.310 r_PS1 NULL 33907.548 326.278 16.174 0.010 0x00
OBS: 59332.310 z_PS1 NULL 13837.898 351.929 17.147 0.028 0x00
OBS: 59337.420 r_PS1 NULL 29966.146 339.389 16.308 0.012 0x00
OBS: 59337.420 g_PS1 NULL 38243.121 308.869 16.044 0.009 0x00
OBS: 59337.420 i_PS1 NULL 24082.647 324.431 16.546 0.015 0x00
OBS: 59337.420 z_PS1 NULL 12918.252 420.136 17.222 0.035 0x00
OBS: 59368.290 z_PS1 NULL 7192.888 419.204 17.858 0.063 0x00
OBS: 59368.290 r_PS1 NULL 12525.841 235.245 17.255 0.020 0x00
OBS: 59368.290 i_PS1 NULL 11921.918 317.921 17.309 0.029 0x00
OBS: 59368.290 g_PS1 NULL 23651.270 239.859 16.565 0.011 0x00
