SURVEY: YSE
SNID:  2021arl
otherID: 
IAUC:    UNKNOWN
RA:        185.7504250  deg
DECL:       18.5935780  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.069
REDSHIFT_CMB: 0.07012973963326141
REDSHIFT_FINAL: 0.07290053307478468
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59243.51
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021arl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.403 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59222.580 g_PS1 NULL 268.924 54.547 21.426 0.220 0x00
OBS: 59230.550 g_PS1 NULL 686.108 57.878 20.409 0.092 0x00
OBS: 59230.550 r_PS1 NULL 719.303 74.463 20.358 0.112 0x00
OBS: 59243.510 r_PS1 NULL 4730.591 208.162 18.313 0.048 0x00
OBS: 59243.510 i_PS1 NULL 3040.318 181.031 18.793 0.065 0x00
OBS: 59256.470 i_PS1 NULL 1587.576 75.399 19.498 0.052 0x00
OBS: 59256.480 g_PS1 NULL 2521.997 71.309 18.996 0.031 0x00
OBS: 59261.460 g_PS1 NULL 1833.410 105.217 19.342 0.062 0x01
OBS: 59261.460 i_PS1 NULL 1721.808 81.769 19.410 0.052 0x00
OBS: 59276.600 r_PS1 NULL 1509.925 138.903 19.553 0.100 0x00
OBS: 59276.600 z_PS1 NULL 1798.248 175.001 19.363 0.106 0x00
OBS: 59292.390 g_PS1 NULL 405.567 63.727 20.980 0.171 0x00
OBS: 59292.390 i_PS1 NULL 341.096 82.614 21.168 0.263 0x00
OBS: 59305.310 r_PS1 NULL 637.257 79.500 20.489 0.135 0x00
OBS: 59311.340 r_PS1 NULL 382.443 57.934 21.044 0.164 0x00
OBS: 59313.300 i_PS1 NULL 673.920 93.731 20.428 0.151 0x00
OBS: 59314.310 g_PS1 NULL 243.347 65.801 21.534 0.294 0x00
OBS: 59314.310 r_PS1 NULL 677.087 65.456 20.423 0.105 0x00
OBS: 59316.450 i_PS1 NULL 546.928 126.365 20.655 0.251 0x00
OBS: 59318.440 g_PS1 NULL 278.114 74.508 21.389 0.291 0x01
OBS: 59320.470 i_PS1 NULL 300.708 79.537 21.305 0.287 0x00
OBS: 59322.420 r_PS1 NULL 327.949 62.081 21.210 0.206 0x00
OBS: 59333.430 r_PS1 NULL 501.099 77.462 20.750 0.168 0x00
OBS: 59335.400 i_PS1 NULL 366.167 100.203 21.091 0.297 0x00
OBS: 59347.370 i_PS1 NULL 340.469 88.544 21.170 0.282 0x00
OBS: 59401.270 g_PS1 NULL 197.649 54.002 21.760 0.297 0x00
OBS: 59401.270 i_PS1 NULL 307.747 83.912 21.280 0.296 0x00
