SURVEY: YSE
SNID:  2021bbz
otherID: 
IAUC:    UNKNOWN
RA:        176.3483110  deg
DECL:       20.3244610  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.023311
SIGMA_Z: 6.58e-06
REDSHIFT_CMB: 0.02442019776100146
REDSHIFT_FINAL: 0.025678130968858463
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 59252.489
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bbz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.816 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59347.370 g_PS1 NULL 2216.448 91.153 19.136 0.045 0x00
OBS: 59347.370 i_PS1 NULL 1587.345 98.314 19.498 0.067 0x00
OBS: 59350.390 g_PS1 NULL 1412.371 161.409 19.625 0.124 0x01
OBS: 59350.390 r_PS1 NULL 1564.810 157.090 19.514 0.109 0x01
OBS: 59359.340 r_PS1 NULL 1744.835 119.517 19.396 0.074 0x00
OBS: 59361.370 i_PS1 NULL 1219.328 103.018 19.785 0.092 0x00
OBS: 59361.370 r_PS1 NULL 1590.718 110.564 19.496 0.075 0x00
OBS: 59363.320 r_PS1 NULL 1576.622 78.093 19.506 0.054 0x00
OBS: 59365.330 r_PS1 NULL 1390.650 71.726 19.642 0.056 0x00
OBS: 59367.320 z_PS1 NULL 528.817 140.539 20.692 0.289 0x00
OBS: 59367.320 g_PS1 NULL 1535.379 108.797 19.534 0.077 0x00
OBS: 59370.290 i_PS1 NULL 951.438 125.979 20.054 0.144 0x00
OBS: 59370.290 g_PS1 NULL 1637.786 100.626 19.464 0.067 0x01
OBS: 59372.330 g_PS1 NULL 1718.012 91.287 19.412 0.058 0x00
OBS: 59372.330 i_PS1 NULL 990.857 95.840 20.010 0.105 0x00
OBS: 59374.330 r_PS1 NULL 1064.317 116.868 19.932 0.119 0x00
OBS: 59374.330 g_PS1 NULL 1369.520 110.314 19.659 0.087 0x00
OBS: 59376.290 g_PS1 NULL 1417.566 91.087 19.621 0.070 0x00
OBS: 59376.290 i_PS1 NULL 514.588 122.394 20.721 0.258 0x00
OBS: 59377.280 r_PS1 NULL 912.111 78.031 20.100 0.093 0x00
OBS: 59377.280 g_PS1 NULL 1384.414 71.761 19.647 0.056 0x00
OBS: 59379.320 g_PS1 NULL 1387.244 74.722 19.645 0.058 0x00
OBS: 59379.320 i_PS1 NULL 728.845 93.986 20.343 0.140 0x00
OBS: 59388.280 i_PS1 NULL 587.245 84.920 20.578 0.157 0x00
OBS: 59388.280 r_PS1 NULL 707.102 88.058 20.376 0.135 0x00
OBS: 59392.320 i_PS1 NULL 436.557 80.777 20.900 0.201 0x00
OBS: 59392.320 r_PS1 NULL 644.838 76.933 20.476 0.130 0x00
OBS: 59395.300 r_PS1 NULL 627.770 75.709 20.505 0.131 0x00
OBS: 59397.290 i_PS1 NULL 459.255 113.087 20.845 0.267 0x00
OBS: 59397.300 g_PS1 NULL 818.978 123.319 20.217 0.163 0x00
OBS: 59400.280 g_PS1 NULL 1035.811 106.960 19.962 0.112 0x00
OBS: 59400.280 r_PS1 NULL 491.067 89.238 20.772 0.197 0x00
OBS: 59401.270 g_PS1 NULL 1150.462 94.087 19.848 0.089 0x00
OBS: 59401.270 i_PS1 NULL 408.455 89.954 20.972 0.239 0x00
OBS: 59402.280 g_PS1 NULL 996.259 89.451 20.004 0.097 0x01
OBS: 59403.290 i_PS1 NULL 476.381 103.081 20.805 0.235 0x00
OBS: 59403.290 g_PS1 NULL 1002.659 96.592 19.997 0.105 0x00
OBS: 59404.270 g_PS1 NULL 869.034 78.239 20.152 0.098 0x00
OBS: 59404.280 r_PS1 NULL 658.965 71.446 20.453 0.118 0x00
OBS: 59405.290 g_PS1 NULL 971.684 122.121 20.031 0.136 0x00
