SURVEY: YSE
SNID:  2021bmb
otherID: 
IAUC:    UNKNOWN
RA:        224.3253680  deg
DECL:       43.4597290  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0375
SIGMA_Z: 8.34e-06
REDSHIFT_CMB: 0.037901767306431466
REDSHIFT_FINAL: 0.03860544083467237
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59256.453
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bmb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.360 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59242.640 i_PS1 NULL 2498.020 258.072 19.006 0.112 0x00
OBS: 59242.640 r_PS1 NULL 2213.453 252.561 19.137 0.124 0x00
OBS: 59244.620 r_PS1 NULL 4256.138 200.352 18.427 0.051 0x00
OBS: 59244.620 z_PS1 NULL 3823.224 227.257 18.544 0.065 0x00
OBS: 59245.660 i_PS1 NULL 5218.260 143.680 18.206 0.030 0x00
OBS: 59246.640 r_PS1 NULL 6433.653 149.063 17.979 0.025 0x00
OBS: 59246.650 z_PS1 NULL 5355.418 177.212 18.178 0.036 0x00
OBS: 59255.560 g_PS1 NULL 9239.807 144.974 17.586 0.017 0x00
OBS: 59255.570 r_PS1 NULL 10606.830 157.631 17.436 0.016 0x00
OBS: 59257.570 g_PS1 NULL 9430.565 115.948 17.564 0.013 0x00
OBS: 59257.570 i_PS1 NULL 6826.872 104.499 17.914 0.017 0x00
OBS: 59261.630 g_PS1 NULL 8252.894 114.238 17.708 0.015 0x00
OBS: 59261.630 r_PS1 NULL 9979.046 115.177 17.502 0.013 0x00
OBS: 59270.580 r_PS1 NULL 6052.473 172.597 18.045 0.031 0x00
OBS: 59270.590 i_PS1 NULL 2990.856 143.277 18.811 0.052 0x00
OBS: 59292.560 i_PS1 NULL 3251.245 97.848 18.720 0.033 0x01
OBS: 59292.560 g_PS1 NULL 991.707 93.164 20.009 0.102 0x01
OBS: 59296.520 i_PS1 NULL 2363.797 194.883 19.066 0.090 0x00
OBS: 59296.530 g_PS1 NULL 1080.446 174.552 19.916 0.175 0x00
OBS: 59298.510 z_PS1 NULL 2301.222 143.574 19.095 0.068 0x00
OBS: 59298.510 r_PS1 NULL 2266.506 120.752 19.112 0.058 0x00
OBS: 59300.500 r_PS1 NULL 1754.741 466.605 19.389 0.289 0x00
OBS: 59300.500 i_PS1 NULL 1960.737 356.587 19.269 0.197 0x00
OBS: 59303.530 i_PS1 NULL 1602.280 133.094 19.488 0.090 0x00
OBS: 59303.530 r_PS1 NULL 2382.788 159.918 19.057 0.073 0x00
OBS: 59304.510 r_PS1 NULL 1901.567 129.122 19.302 0.074 0x00
OBS: 59304.510 z_PS1 NULL 1562.259 118.448 19.516 0.082 0x00
OBS: 59313.530 r_PS1 NULL 1558.597 68.670 19.518 0.048 0x00
OBS: 59313.530 g_PS1 NULL 759.054 59.948 20.299 0.086 0x00
OBS: 59317.490 g_PS1 NULL 421.627 79.284 20.938 0.204 0x00
OBS: 59317.490 i_PS1 NULL 1146.011 97.382 19.852 0.092 0x00
OBS: 59326.390 r_PS1 NULL 933.161 125.216 20.075 0.146 0x00
OBS: 59326.400 i_PS1 NULL 773.233 133.964 20.279 0.188 0x00
OBS: 59328.470 r_PS1 NULL 1024.976 178.848 19.973 0.189 0x00
OBS: 59331.400 i_PS1 NULL 694.101 168.635 20.396 0.264 0x00
OBS: 59331.400 r_PS1 NULL 704.752 147.822 20.380 0.228 0x00
OBS: 59333.440 r_PS1 NULL 861.733 80.209 20.162 0.101 0x00
OBS: 59336.450 i_PS1 NULL 438.452 95.281 20.895 0.236 0x01
OBS: 59336.450 r_PS1 NULL 531.518 87.608 20.686 0.179 0x00
OBS: 59344.330 i_PS1 NULL 561.066 73.608 20.627 0.142 0x00
OBS: 59344.330 g_PS1 NULL 419.490 70.945 20.943 0.184 0x00
OBS: 59349.460 g_PS1 NULL 332.602 70.392 21.195 0.230 0x00
OBS: 59359.410 r_PS1 NULL 619.545 104.183 20.520 0.183 0x00
OBS: 59361.460 r_PS1 NULL 407.878 75.546 20.974 0.201 0x00
OBS: 59364.400 r_PS1 NULL 390.669 59.070 21.020 0.164 0x00
OBS: 59376.390 g_PS1 NULL 299.299 61.081 21.310 0.222 0x00
