SURVEY: YSE
SNID:  2021bsf
otherID: 
IAUC:    UNKNOWN
RA:        181.5168040  deg
DECL:       20.5370000  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0237
REDSHIFT_CMB: 0.024787049257187777
REDSHIFT_FINAL: 0.02570961941944517
HOST_LOGMASS: 9.410740203043314
SEARCH_PEAKMJD: 59258.365
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021bsf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.337 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59243.510 i_PS1 NULL 1117.684 150.640 19.879 0.146 0x00
OBS: 59243.510 r_PS1 NULL 1527.181 170.998 19.540 0.122 0x00
OBS: 59256.470 i_PS1 NULL 16861.562 150.630 16.933 0.010 0x00
OBS: 59256.480 g_PS1 NULL 28284.875 166.903 16.371 0.006 0x00
OBS: 59261.460 g_PS1 NULL 26436.142 126.151 16.445 0.005 0x00
OBS: 59261.460 i_PS1 NULL 14933.572 123.932 17.065 0.009 0x00
OBS: 59268.460 r_PS1 NULL 16398.203 152.290 16.963 0.010 0x00
OBS: 59268.460 z_PS1 NULL 10995.500 166.781 17.397 0.016 0x00
OBS: 59276.600 r_PS1 NULL 13263.636 172.588 17.193 0.014 0x00
OBS: 59276.600 z_PS1 NULL 11097.355 256.565 17.387 0.025 0x00
OBS: 59288.530 r_PS1 NULL 5846.239 97.333 18.083 0.018 0x00
OBS: 59288.530 g_PS1 NULL 2720.638 71.265 18.913 0.028 0x00
OBS: 59292.390 g_PS1 NULL 2358.480 80.541 19.068 0.037 0x00
OBS: 59292.390 i_PS1 NULL 4231.938 104.716 18.434 0.027 0x00
OBS: 59295.530 i_PS1 NULL 3794.775 115.572 18.552 0.033 0x00
OBS: 59295.540 g_PS1 NULL 2159.204 94.917 19.164 0.048 0x00
OBS: 59297.490 i_PS1 NULL 3319.128 159.588 18.697 0.052 0x00
OBS: 59297.490 r_PS1 NULL 3874.560 181.609 18.529 0.051 0x00
OBS: 59305.310 r_PS1 NULL 3277.177 79.824 18.711 0.026 0x00
OBS: 59305.320 z_PS1 NULL 1884.678 136.423 19.312 0.079 0x00
OBS: 59307.340 z_PS1 NULL 1700.190 144.995 19.424 0.093 0x00
OBS: 59307.350 g_PS1 NULL 1585.855 78.879 19.499 0.054 0x00
OBS: 59311.340 g_PS1 NULL 1560.888 65.836 19.517 0.046 0x00
OBS: 59311.340 r_PS1 NULL 2682.873 84.483 18.928 0.034 0x00
OBS: 59314.300 g_PS1 NULL 1578.325 71.807 19.505 0.049 0x00
OBS: 59314.310 r_PS1 NULL 2453.221 78.448 19.026 0.035 0x00
OBS: 59316.450 g_PS1 NULL 1318.009 110.030 19.700 0.091 0x00
OBS: 59316.450 i_PS1 NULL 1860.634 105.738 19.326 0.062 0x00
OBS: 59320.470 i_PS1 NULL 1450.932 78.701 19.596 0.059 0x00
OBS: 59320.480 g_PS1 NULL 1469.887 76.859 19.582 0.057 0x00
OBS: 59335.400 i_PS1 NULL 996.327 114.623 20.004 0.125 0x00
OBS: 59335.400 r_PS1 NULL 1089.951 92.090 19.906 0.092 0x00
OBS: 59337.260 g_PS1 NULL 1152.033 75.148 19.846 0.071 0x00
OBS: 59338.270 i_PS1 NULL 949.064 104.780 20.057 0.120 0x00
OBS: 59338.270 g_PS1 NULL 995.592 84.727 20.005 0.092 0x00
OBS: 59343.260 g_PS1 NULL 1134.406 68.992 19.863 0.066 0x00
OBS: 59343.260 i_PS1 NULL 837.186 72.740 20.193 0.094 0x00
OBS: 59345.260 g_PS1 NULL 1021.445 76.363 19.977 0.081 0x00
OBS: 59345.260 r_PS1 NULL 939.898 83.520 20.067 0.096 0x00
