SURVEY: YSE
SNID:  2021dcu
otherID: 
IAUC:    UNKNOWN
RA:        242.0259530  deg
DECL:       25.4837440  deg
MWEBV:    0.049 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.041839
SIGMA_Z: 2.45e-05
REDSHIFT_CMB: 0.042085102224011184
REDSHIFT_FINAL: 0.04178864299514833
HOST_LOGMASS: 11.117832721313329
HOST_LOGMASS_ERR: 0.04682069424993427
HOST_LOGSFR: -0.02229650706584689
HOST_LOGSFR_ERR: 0.3587118234697956
SEARCH_PEAKMJD: 59272.486
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dcu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.899 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59270.600 z_PS1 NULL 5917.152 210.139 18.070 0.039 0x00
OBS: 59270.600 r_PS1 NULL 10296.952 196.177 17.468 0.021 0x00
OBS: 59292.500 i_PS1 NULL 3799.272 107.846 18.551 0.031 0x00
OBS: 59292.500 g_PS1 NULL 1462.948 91.123 19.587 0.068 0x00
OBS: 59299.540 i_PS1 NULL 2263.323 76.729 19.113 0.037 0x00
OBS: 59299.550 r_PS1 NULL 2321.322 98.046 19.086 0.046 0x00
OBS: 59303.520 r_PS1 NULL 2197.103 119.324 19.145 0.059 0x00
OBS: 59303.520 z_PS1 NULL 1582.284 143.101 19.502 0.098 0x00
OBS: 59321.470 r_PS1 NULL 1179.096 54.351 19.821 0.050 0x00
OBS: 59321.480 g_PS1 NULL 632.981 50.012 20.497 0.086 0x00
OBS: 59326.420 i_PS1 NULL 735.078 92.687 20.334 0.137 0x00
OBS: 59326.430 r_PS1 NULL 844.316 103.004 20.184 0.132 0x00
OBS: 59327.440 z_PS1 NULL 424.831 109.416 20.929 0.280 0x00
OBS: 59327.450 r_PS1 NULL 950.458 79.510 20.055 0.091 0x00
OBS: 59337.550 g_PS1 NULL 771.540 139.632 20.282 0.196 0x00
OBS: 59343.390 g_PS1 NULL 379.906 48.745 21.051 0.139 0x00
OBS: 59343.400 i_PS1 NULL 302.227 55.774 21.299 0.200 0x00
OBS: 59347.540 g_PS1 NULL 398.325 45.899 20.999 0.125 0x00
OBS: 59347.550 r_PS1 NULL 473.635 56.187 20.811 0.129 0x01
OBS: 59352.550 g_PS1 NULL 388.672 73.595 21.026 0.206 0x00
OBS: 59358.370 r_PS1 NULL 433.341 109.624 20.908 0.275 0x00
OBS: 59365.360 r_PS1 NULL 288.716 58.134 21.349 0.219 0x00
OBS: 59372.460 g_PS1 NULL 275.409 36.417 21.400 0.144 0x00
OBS: 59375.430 g_PS1 NULL 226.342 59.372 21.613 0.285 0x00
OBS: 59375.430 r_PS1 NULL 222.840 58.983 21.630 0.287 0x00
OBS: 59379.310 g_PS1 NULL 198.934 37.198 21.753 0.203 0x00
OBS: 59382.290 g_PS1 NULL 207.961 44.884 21.705 0.234 0x00
OBS: 59383.290 g_PS1 NULL 218.742 60.108 21.650 0.298 0x00
OBS: 59384.270 g_PS1 NULL 343.032 93.130 21.162 0.295 0x00
OBS: 59385.270 r_PS1 NULL 359.134 88.039 21.112 0.266 0x00
OBS: 59399.400 r_PS1 NULL 203.814 44.736 21.727 0.238 0x01
