SURVEY: YSE
SNID:  2021dda
otherID: 
IAUC:    UNKNOWN
RA:        184.7961830  deg
DECL:       6.1480230  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.07
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.07122931685210365
REDSHIFT_FINAL: 0.07409195731001346
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59272.407
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dda.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.259 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59262.570 g_PS1 NULL 2589.637 78.096 18.967 0.033 0x00
OBS: 59262.570 r_PS1 NULL 2439.473 69.019 19.032 0.031 0x00
OBS: 59267.570 i_PS1 NULL 3106.734 91.806 18.769 0.032 0x00
OBS: 59267.570 r_PS1 NULL 3520.074 91.149 18.634 0.028 0x00
OBS: 59292.400 r_PS1 NULL 2345.165 66.543 19.075 0.031 0x00
OBS: 59292.400 g_PS1 NULL 1183.599 65.223 19.817 0.060 0x00
OBS: 59295.420 i_PS1 NULL 2108.967 81.840 19.190 0.042 0x00
OBS: 59295.420 g_PS1 NULL 991.913 92.259 20.009 0.101 0x00
OBS: 59298.450 r_PS1 NULL 1869.714 157.871 19.321 0.092 0x01
OBS: 59305.480 r_PS1 NULL 1746.990 191.893 19.394 0.119 0x01
OBS: 59305.480 z_PS1 NULL 1685.576 203.133 19.433 0.131 0x00
OBS: 59311.350 i_PS1 NULL 1123.068 52.410 19.874 0.051 0x00
OBS: 59316.440 r_PS1 NULL 693.121 80.967 20.398 0.127 0x00
OBS: 59319.350 i_PS1 NULL 773.449 74.557 20.279 0.105 0x00
OBS: 59319.360 g_PS1 NULL 403.895 60.342 20.984 0.162 0x00
OBS: 59333.310 z_PS1 NULL 479.103 116.997 20.799 0.265 0x00
OBS: 59333.310 r_PS1 NULL 540.120 85.385 20.669 0.172 0x00
OBS: 59335.400 i_PS1 NULL 548.160 83.793 20.653 0.166 0x00
OBS: 59335.400 r_PS1 NULL 544.300 69.566 20.660 0.139 0x00
OBS: 59338.290 i_PS1 NULL 365.868 94.124 21.092 0.279 0x00
OBS: 59344.260 i_PS1 NULL 453.908 58.010 20.858 0.139 0x00
OBS: 59346.280 g_PS1 NULL 228.852 39.629 21.601 0.188 0x00
OBS: 59346.290 r_PS1 NULL 331.597 43.474 21.198 0.142 0x00
OBS: 59349.310 r_PS1 NULL 442.597 57.484 20.885 0.141 0x00
OBS: 59349.310 g_PS1 NULL 218.027 53.501 21.654 0.266 0x00
OBS: 59351.260 r_PS1 NULL 365.004 83.279 21.094 0.248 0x00
OBS: 59363.330 r_PS1 NULL 204.480 53.186 21.723 0.282 0x00
OBS: 59365.340 r_PS1 NULL 272.495 44.789 21.412 0.178 0x00
OBS: 59367.330 i_PS1 NULL 286.476 52.886 21.357 0.200 0x00
OBS: 59374.320 g_PS1 NULL 165.477 44.624 21.953 0.293 0x00
OBS: 59377.290 r_PS1 NULL 173.314 44.536 21.903 0.279 0x00
OBS: 59379.340 i_PS1 NULL 329.091 61.323 21.207 0.202 0x00
