SURVEY: YSE
SNID:  2021dha
otherID: 
IAUC:    UNKNOWN
RA:        172.9102460  deg
DECL:       14.0762920  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.080131
SIGMA_Z: 1.4e-05
REDSHIFT_CMB: 0.08137003118526165
REDSHIFT_FINAL: 0.07944943031221953
HOST_LOGMASS: 11.017760790498155
HOST_LOGMASS_ERR: 0.07470861268488924
HOST_LOGSFR: -1.1739370836244554
HOST_LOGSFR_ERR: 0.787239527125383
SEARCH_PEAKMJD: 59276.367
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dha.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.144 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59256.480 r_PS1 NULL 285.776 48.964 21.360 0.186 0x00
OBS: 59256.480 g_PS1 NULL 162.636 40.012 21.972 0.267 0x00
OBS: 59261.450 i_PS1 NULL 1084.814 61.887 19.912 0.062 0x00
OBS: 59261.450 g_PS1 NULL 1112.681 59.200 19.884 0.058 0x00
OBS: 59267.460 r_PS1 NULL 2462.346 91.776 19.022 0.040 0x00
OBS: 59267.460 z_PS1 NULL 1417.113 128.418 19.621 0.098 0x00
OBS: 59277.530 i_PS1 NULL 1900.079 76.765 19.303 0.044 0x00
OBS: 59277.530 r_PS1 NULL 2777.772 84.233 18.891 0.033 0x00
OBS: 59288.470 g_PS1 NULL 855.039 69.573 20.170 0.088 0x00
OBS: 59288.470 r_PS1 NULL 1678.776 76.859 19.438 0.050 0x00
OBS: 59292.390 g_PS1 NULL 596.691 82.460 20.561 0.150 0x00
OBS: 59292.390 i_PS1 NULL 1364.877 79.309 19.662 0.063 0x00
OBS: 59296.350 g_PS1 NULL 496.352 104.543 20.761 0.229 0x00
OBS: 59296.350 i_PS1 NULL 1364.931 88.799 19.662 0.071 0x00
OBS: 59303.350 r_PS1 NULL 780.645 169.360 20.269 0.236 0x01
OBS: 59310.350 i_PS1 NULL 592.767 96.706 20.568 0.177 0x00
OBS: 59311.400 r_PS1 NULL 478.174 62.247 20.801 0.141 0x00
OBS: 59315.260 i_PS1 NULL 485.193 66.706 20.785 0.149 0x00
OBS: 59317.310 r_PS1 NULL 404.952 93.317 20.981 0.250 0x00
OBS: 59318.250 i_PS1 NULL 427.648 51.703 20.922 0.131 0x00
OBS: 59320.260 g_PS1 NULL 285.828 59.744 21.360 0.227 0x01
OBS: 59320.260 r_PS1 NULL 437.528 65.522 20.897 0.163 0x00
OBS: 59323.300 i_PS1 NULL 426.868 107.235 20.924 0.273 0x00
OBS: 59346.290 r_PS1 NULL 223.497 56.572 21.627 0.275 0x00
OBS: 59351.310 r_PS1 NULL 370.771 86.709 21.077 0.254 0x01
OBS: 59366.260 g_PS1 NULL 191.909 47.879 21.792 0.271 0x00
