SURVEY: YSE
SNID:  2021dov
otherID: 
IAUC:    UNKNOWN
RA:        134.0779490  deg
DECL:       -0.4421390  deg
MWEBV:    0.030 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.012698
SIGMA_Z: 1.47e-05
REDSHIFT_CMB: 0.013730798977439118
REDSHIFT_FINAL: 0.013748644737420311
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 59288.31
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021dov.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.665 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59252.430 g_PS1 NULL 262.093 69.575 21.454 0.288 0x01
OBS: 59267.450 i_PS1 NULL 4944.348 147.602 18.265 0.032 0x00
OBS: 59267.450 r_PS1 NULL 7038.996 124.778 17.881 0.019 0x00
OBS: 59278.490 i_PS1 NULL 73079.241 563.522 15.341 0.008 0x00
OBS: 59278.490 g_PS1 NULL 105342.976 970.602 14.943 0.010 0x00
OBS: 59288.280 g_PS1 NULL 114529.430 383.874 14.853 0.004 0x00
OBS: 59288.310 r_PS1 NULL 115383.463 343.343 14.845 0.003 0x00
OBS: 59293.300 z_PS1 NULL 52908.441 448.399 15.691 0.009 0x00
OBS: 59295.290 g_PS1 NULL 83055.203 310.014 15.202 0.004 0x01
OBS: 59295.290 i_PS1 NULL 41703.475 348.680 15.950 0.009 0x01
OBS: 59305.240 i_PS1 NULL 39105.364 240.325 16.019 0.007 0x00
OBS: 59305.250 r_PS1 NULL 59953.600 227.651 15.555 0.004 0x00
OBS: 59306.340 r_PS1 NULL 58906.558 337.551 15.575 0.006 0x01
OBS: 59306.340 z_PS1 NULL 44807.905 335.022 15.872 0.008 0x01
OBS: 59312.240 g_PS1 NULL 23325.583 204.114 16.580 0.010 0x00
OBS: 59312.250 i_PS1 NULL 46214.141 273.430 15.838 0.006 0x00
OBS: 59315.250 r_PS1 NULL 46676.756 228.218 15.827 0.005 0x00
OBS: 59315.250 g_PS1 NULL 18414.504 187.073 16.837 0.011 0x00
OBS: 59318.310 g_PS1 NULL 15583.739 128.306 17.018 0.009 0x00
OBS: 59318.310 i_PS1 NULL 36969.403 173.921 16.080 0.005 0x00
OBS: 59322.250 g_PS1 NULL 13353.415 141.717 17.186 0.012 0x00
OBS: 59322.250 i_PS1 NULL 29670.728 166.606 16.319 0.006 0x00
OBS: 59526.630 g_PS1 NULL 764.718 87.884 20.291 0.125 0x00
OBS: 59530.610 g_PS1 NULL 805.592 98.118 20.235 0.132 0x00
