SURVEY: YSE
SNID:  2021fnt
otherID: 
IAUC:    UNKNOWN
RA:        203.2475960  deg
DECL:       32.6095900  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.035762
SIGMA_Z: 1.07e-05
REDSHIFT_CMB: 0.03654896750151382
REDSHIFT_FINAL: 0.037334695057605484
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 59293.258
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021fnt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.038 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59291.420 g_PS1 NULL 4483.609 107.486 18.371 0.026 0x01
OBS: 59291.420 i_PS1 NULL 4389.736 115.707 18.394 0.029 0x00
OBS: 59296.440 i_PS1 NULL 4217.868 91.857 18.437 0.024 0x00
OBS: 59296.450 g_PS1 NULL 3313.517 115.843 18.699 0.038 0x00
OBS: 59298.450 r_PS1 NULL 4973.827 124.227 18.258 0.027 0x00
OBS: 59298.450 z_PS1 NULL 3558.489 189.147 18.622 0.058 0x00
OBS: 59306.400 r_PS1 NULL 2404.814 99.673 19.047 0.045 0x00
OBS: 59306.400 i_PS1 NULL 2892.262 106.652 18.847 0.040 0x00
OBS: 59310.350 g_PS1 NULL 575.712 71.828 20.599 0.135 0x00
OBS: 59310.360 i_PS1 NULL 1815.942 79.178 19.352 0.047 0x00
OBS: 59312.490 r_PS1 NULL 1369.235 71.927 19.659 0.057 0x00
OBS: 59312.490 g_PS1 NULL 565.960 74.690 20.618 0.143 0x00
OBS: 59315.360 g_PS1 NULL 475.495 82.077 20.807 0.187 0x00
OBS: 59317.370 g_PS1 NULL 532.045 81.187 20.685 0.166 0x00
OBS: 59317.370 r_PS1 NULL 1170.634 69.269 19.829 0.064 0x00
OBS: 59319.370 i_PS1 NULL 1084.896 77.781 19.912 0.078 0x00
OBS: 59319.370 g_PS1 NULL 392.796 72.610 21.015 0.201 0x00
OBS: 59321.450 g_PS1 NULL 403.612 50.302 20.985 0.135 0x00
OBS: 59321.460 r_PS1 NULL 946.106 52.285 20.060 0.060 0x00
OBS: 59323.350 g_PS1 NULL 376.057 61.249 21.062 0.177 0x00
OBS: 59323.350 i_PS1 NULL 776.021 69.937 20.275 0.098 0x00
OBS: 59332.440 r_PS1 NULL 524.594 97.968 20.700 0.203 0x00
OBS: 59332.440 z_PS1 NULL 505.987 126.380 20.740 0.271 0x00
OBS: 59334.420 i_PS1 NULL 627.975 78.583 20.505 0.136 0x00
OBS: 59334.430 r_PS1 NULL 627.850 71.676 20.505 0.124 0x00
OBS: 59336.440 r_PS1 NULL 486.697 60.810 20.782 0.136 0x00
OBS: 59336.440 z_PS1 NULL 503.673 109.716 20.745 0.237 0x00
OBS: 59342.270 i_PS1 NULL 369.294 72.801 21.082 0.214 0x00
OBS: 59346.390 g_PS1 NULL 196.781 39.669 21.765 0.219 0x00
OBS: 59346.400 i_PS1 NULL 276.666 65.614 21.395 0.257 0x00
OBS: 59352.430 r_PS1 NULL 316.710 68.046 21.248 0.233 0x00
OBS: 59364.400 r_PS1 NULL 198.875 48.130 21.754 0.263 0x00
OBS: 59371.340 g_PS1 NULL 206.878 53.085 21.711 0.279 0x00
OBS: 59373.330 i_PS1 NULL 186.087 46.546 21.826 0.272 0x00
