SURVEY: YSE
SNID:  2021gqc
otherID: 
IAUC:    UNKNOWN
RA:        226.9499360  deg
DECL:       -10.2471930  deg
MWEBV:    0.092 +- 0.005 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.047
REDSHIFT_CMB: 0.047675391343197315
REDSHIFT_FINAL: 0.04799206789918644
HOST_LOGMASS: 10.98553629088756
SEARCH_PEAKMJD: 59306.441
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021gqc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.298 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59080.260 r_PS1 NULL 358.889 94.539 21.113 0.286 0x00
OBS: 59297.510 r_PS1 NULL 5711.140 188.472 18.108 0.036 0x00
OBS: 59297.510 z_PS1 NULL 4315.238 185.272 18.412 0.047 0x00
OBS: 59299.560 r_PS1 NULL 6661.203 112.539 17.941 0.018 0x00
OBS: 59299.570 i_PS1 NULL 5288.568 166.763 18.192 0.034 0x00
OBS: 59310.470 g_PS1 NULL 5620.482 118.626 18.126 0.023 0x00
OBS: 59310.470 z_PS1 NULL 3680.893 144.805 18.585 0.043 0x00
OBS: 59311.460 i_PS1 NULL 4038.730 120.303 18.484 0.032 0x00
OBS: 59311.470 g_PS1 NULL 5424.991 95.468 18.164 0.019 0x00
OBS: 59317.490 i_PS1 NULL 3366.783 169.488 18.682 0.055 0x00
OBS: 59320.480 r_PS1 NULL 4778.111 117.687 18.302 0.027 0x00
OBS: 59320.480 g_PS1 NULL 2301.181 95.503 19.095 0.045 0x00
OBS: 59323.440 g_PS1 NULL 1698.736 102.966 19.425 0.066 0x00
OBS: 59323.440 z_PS1 NULL 3120.012 169.903 18.765 0.059 0x00
OBS: 59327.450 i_PS1 NULL 3654.504 183.287 18.593 0.054 0x00
OBS: 59335.470 r_PS1 NULL 2024.198 147.428 19.234 0.079 0x00
OBS: 59335.470 z_PS1 NULL 2403.933 211.152 19.048 0.095 0x00
OBS: 59338.480 i_PS1 NULL 1960.328 126.977 19.269 0.070 0x00
OBS: 59344.450 i_PS1 NULL 1663.241 126.751 19.448 0.083 0x00
OBS: 59347.430 r_PS1 NULL 1362.381 102.333 19.664 0.082 0x00
OBS: 59347.430 g_PS1 NULL 440.918 96.399 20.889 0.237 0x00
OBS: 59352.420 i_PS1 NULL 732.152 184.232 20.338 0.273 0x00
OBS: 59362.370 r_PS1 NULL 910.283 112.765 20.102 0.134 0x00
OBS: 59362.370 i_PS1 NULL 524.644 136.726 20.700 0.283 0x00
OBS: 59364.390 r_PS1 NULL 823.364 126.182 20.211 0.166 0x00
OBS: 59366.330 z_PS1 NULL 843.081 170.673 20.185 0.220 0x01
OBS: 59368.360 i_PS1 NULL 777.631 169.522 20.273 0.237 0x00
OBS: 59372.340 g_PS1 NULL 360.591 98.233 21.107 0.296 0x00
OBS: 59375.360 g_PS1 NULL 652.344 123.441 20.464 0.205 0x00
OBS: 59378.380 g_PS1 NULL 480.721 117.834 20.795 0.266 0x00
OBS: 59378.390 i_PS1 NULL 418.491 108.493 20.946 0.281 0x00
OBS: 59381.330 r_PS1 NULL 550.256 108.036 20.649 0.213 0x00
OBS: 59392.340 r_PS1 NULL 528.670 84.780 20.692 0.174 0x00
OBS: 59394.300 r_PS1 NULL 504.227 101.561 20.743 0.219 0x00
OBS: 59394.300 i_PS1 NULL 656.361 99.738 20.457 0.165 0x00
OBS: 59396.310 i_PS1 NULL 438.473 103.557 20.895 0.256 0x00
OBS: 59404.290 g_PS1 NULL 445.392 82.133 20.878 0.200 0x00
OBS: 59426.270 g_PS1 NULL 359.141 82.454 21.112 0.249 0x00
OBS: 59435.260 g_PS1 NULL 490.174 91.840 20.774 0.203 0x00
