SURVEY: YSE
SNID:  2021hem
otherID: 
IAUC:    UNKNOWN
RA:        245.3166770  deg
DECL:       14.5526840  deg
MWEBV:    0.051 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.035
REDSHIFT_CMB: 0.035226474887540826
REDSHIFT_FINAL: 0.03479967464691857
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59315.442
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hem.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.844 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59310.490 z_PS1 NULL 15425.053 197.613 17.029 0.014 0x00
OBS: 59310.490 g_PS1 NULL 25520.764 186.703 16.483 0.008 0x00
OBS: 59317.500 g_PS1 NULL 32804.364 176.711 16.210 0.006 0x00
OBS: 59317.500 r_PS1 NULL 30502.107 167.036 16.289 0.006 0x00
OBS: 59321.570 i_PS1 NULL 20369.804 141.280 16.728 0.008 0x00
OBS: 59321.580 g_PS1 NULL 29338.915 167.003 16.331 0.006 0x00
OBS: 59326.460 r_PS1 NULL 23449.719 141.914 16.575 0.007 0x00
OBS: 59326.470 z_PS1 NULL 17493.449 184.454 16.893 0.011 0x00
OBS: 59336.610 i_PS1 NULL 15110.978 142.019 17.052 0.010 0x00
OBS: 59336.610 r_PS1 NULL 17268.243 147.027 16.907 0.009 0x00
OBS: 59342.550 g_PS1 NULL 6021.133 82.789 18.051 0.015 0x00
OBS: 59342.560 r_PS1 NULL 13207.634 102.988 17.198 0.008 0x00
OBS: 59345.550 g_PS1 NULL 4800.432 72.397 18.297 0.016 0x00
OBS: 59345.550 i_PS1 NULL 12251.448 86.215 17.280 0.008 0x00
OBS: 59353.510 g_PS1 NULL 3610.741 90.919 18.606 0.027 0x00
OBS: 59353.520 i_PS1 NULL 8418.735 109.119 17.687 0.014 0x00
OBS: 59363.490 r_PS1 NULL 6135.465 131.290 18.030 0.023 0x00
OBS: 59363.500 i_PS1 NULL 5784.504 122.895 18.094 0.023 0x00
OBS: 59371.500 i_PS1 NULL 4611.625 92.193 18.340 0.022 0x00
OBS: 59371.510 g_PS1 NULL 2650.810 113.764 18.942 0.047 0x00
OBS: 59374.470 g_PS1 NULL 2287.205 98.158 19.102 0.047 0x01
OBS: 59374.470 r_PS1 NULL 4695.029 110.032 18.321 0.025 0x00
OBS: 59378.450 g_PS1 NULL 2408.707 67.339 19.046 0.030 0x00
OBS: 59378.450 i_PS1 NULL 3683.719 70.096 18.584 0.021 0x00
OBS: 59381.440 r_PS1 NULL 3798.798 107.544 18.551 0.031 0x00
OBS: 59381.450 g_PS1 NULL 2279.821 84.763 19.105 0.040 0x00
OBS: 59384.410 g_PS1 NULL 2068.280 101.205 19.211 0.053 0x00
OBS: 59384.410 i_PS1 NULL 3098.273 74.768 18.772 0.026 0x00
OBS: 59391.410 i_PS1 NULL 2588.276 75.343 18.967 0.032 0x00
OBS: 59391.410 r_PS1 NULL 2989.955 93.463 18.811 0.034 0x00
OBS: 59395.410 r_PS1 NULL 2663.769 75.284 18.936 0.031 0x00
OBS: 59395.410 i_PS1 NULL 2209.179 75.996 19.139 0.037 0x00
OBS: 59401.360 i_PS1 NULL 1888.951 59.193 19.309 0.034 0x00
OBS: 59408.400 i_PS1 NULL 1635.934 63.901 19.466 0.042 0x00
OBS: 59408.400 g_PS1 NULL 1561.294 64.319 19.516 0.045 0x00
