SURVEY: YSE
SNID:  2021ita
otherID: 
IAUC:    UNKNOWN
RA:        186.4950880  deg
DECL:       7.2353030  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.154
REDSHIFT_CMB: 0.15530682396025552
REDSHIFT_FINAL: 0.15779636457699012
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59325.277
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ita.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.820 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58930.975 g_PS1 NULL 95.323 161.637 21.179 0.037 0x00
OBS: 58998.350 g_PS1 NULL 288.750 78.214 21.349 0.294 0x00
OBS: 59032.280 r_PS1 NULL 417.404 111.411 20.949 0.290 0x00
OBS: 59229.590 r_PS1 NULL 244.405 67.417 21.530 0.299 0x00
OBS: 59304.350 r_PS1 NULL 632.495 101.495 20.497 0.174 0x00
OBS: 59306.390 r_PS1 NULL 547.458 82.631 20.654 0.164 0x00
OBS: 59310.470 g_PS1 NULL 606.582 72.616 20.543 0.130 0x00
OBS: 59311.340 z_PS1 NULL 550.621 131.461 20.648 0.259 0x00
OBS: 59311.340 g_PS1 NULL 840.437 70.580 20.189 0.091 0x00
OBS: 59313.470 g_PS1 NULL 934.955 68.294 20.073 0.079 0x00
OBS: 59314.310 g_PS1 NULL 833.079 80.729 20.198 0.105 0x00
OBS: 59317.370 g_PS1 NULL 1050.031 88.295 19.947 0.091 0x00
OBS: 59318.430 r_PS1 NULL 1115.549 89.592 19.881 0.087 0x00
OBS: 59318.440 g_PS1 NULL 973.890 77.610 20.029 0.087 0x00
OBS: 59319.350 i_PS1 NULL 1077.149 110.073 19.919 0.111 0x00
OBS: 59319.350 g_PS1 NULL 693.827 80.068 20.397 0.125 0x00
OBS: 59320.310 g_PS1 NULL 1064.869 73.672 19.932 0.075 0x00
OBS: 59321.360 r_PS1 NULL 1199.852 79.875 19.802 0.072 0x00
OBS: 59321.360 g_PS1 NULL 1046.701 76.290 19.950 0.079 0x00
OBS: 59322.410 g_PS1 NULL 811.294 72.033 20.227 0.096 0x00
OBS: 59323.300 g_PS1 NULL 945.499 162.676 20.061 0.187 0x00
OBS: 59333.300 r_PS1 NULL 649.245 94.356 20.469 0.158 0x00
OBS: 59335.390 r_PS1 NULL 702.653 127.520 20.383 0.197 0x00
OBS: 59336.440 r_PS1 NULL 525.151 99.647 20.699 0.206 0x00
OBS: 59337.260 g_PS1 NULL 225.354 60.550 21.618 0.292 0x00
OBS: 59337.260 i_PS1 NULL 436.425 84.595 20.900 0.210 0x00
OBS: 59342.260 r_PS1 NULL 644.756 86.732 20.477 0.146 0x00
OBS: 59343.260 g_PS1 NULL 287.963 56.979 21.352 0.215 0x00
OBS: 59343.260 i_PS1 NULL 572.504 79.730 20.606 0.151 0x00
OBS: 59345.270 r_PS1 NULL 345.381 89.716 21.154 0.282 0x00
OBS: 59351.260 i_PS1 NULL 1032.663 148.604 19.965 0.156 0x00
OBS: 59361.370 r_PS1 NULL 370.255 101.359 21.079 0.297 0x00
OBS: 59393.270 z_PS1 NULL 429.417 114.550 20.918 0.290 0x00
