SURVEY: YSE
SNID:  2021iuk
otherID: 
IAUC:    UNKNOWN
RA:        186.4935830  deg
DECL:       6.7408440  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.08
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.0812257422679219
REDSHIFT_FINAL: 0.08428057252861244
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59321.36
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021iuk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.242 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59032.280 z_PS1 NULL 46.716 143.047 21.629 -0.230 0x00
OBS: 59310.470 i_PS1 NULL 611.598 56.410 20.534 0.100 0x01
OBS: 59310.470 g_PS1 NULL 696.057 57.170 20.393 0.089 0x00
OBS: 59311.340 g_PS1 NULL 796.758 58.793 20.247 0.080 0x00
OBS: 59311.340 z_PS1 NULL 616.896 88.006 20.524 0.155 0x00
OBS: 59313.470 i_PS1 NULL 1188.368 69.912 19.813 0.064 0x00
OBS: 59313.470 g_PS1 NULL 1283.837 57.917 19.729 0.049 0x00
OBS: 59314.310 z_PS1 NULL 1344.379 111.900 19.679 0.090 0x00
OBS: 59314.310 g_PS1 NULL 1542.863 66.578 19.529 0.047 0x00
OBS: 59316.430 i_PS1 NULL 1699.596 119.577 19.424 0.076 0x00
OBS: 59316.430 g_PS1 NULL 1895.486 137.834 19.306 0.079 0x00
OBS: 59317.370 g_PS1 NULL 2067.603 100.882 19.211 0.053 0x01
OBS: 59317.370 z_PS1 NULL 1423.103 156.636 19.617 0.120 0x01
OBS: 59318.430 r_PS1 NULL 2141.985 70.627 19.173 0.036 0x00
OBS: 59318.440 g_PS1 NULL 1967.665 75.762 19.265 0.042 0x00
OBS: 59319.350 i_PS1 NULL 1851.727 72.862 19.331 0.043 0x00
OBS: 59319.350 g_PS1 NULL 2311.340 80.068 19.090 0.038 0x00
OBS: 59321.360 r_PS1 NULL 2327.079 70.063 19.083 0.033 0x01
OBS: 59322.410 g_PS1 NULL 1981.456 75.485 19.258 0.041 0x00
OBS: 59322.410 i_PS1 NULL 1684.553 73.284 19.434 0.047 0x00
OBS: 59323.300 z_PS1 NULL 1379.253 203.363 19.651 0.160 0x00
OBS: 59323.300 g_PS1 NULL 1903.218 162.434 19.301 0.093 0x00
OBS: 59334.440 i_PS1 NULL 1185.014 110.190 19.816 0.101 0x00
OBS: 59334.440 r_PS1 NULL 1282.160 97.441 19.730 0.083 0x00
OBS: 59337.260 i_PS1 NULL 1253.375 64.116 19.755 0.056 0x00
OBS: 59337.260 g_PS1 NULL 394.205 55.345 21.011 0.152 0x00
OBS: 59338.280 z_PS1 NULL 1079.927 159.929 19.917 0.161 0x00
OBS: 59338.280 g_PS1 NULL 313.072 79.952 21.261 0.277 0x00
OBS: 59342.260 r_PS1 NULL 786.813 88.361 20.260 0.122 0x00
OBS: 59343.260 i_PS1 NULL 798.754 60.532 20.244 0.082 0x00
OBS: 59344.260 g_PS1 NULL 187.756 48.352 21.816 0.280 0x00
OBS: 59344.270 z_PS1 NULL 743.850 88.751 20.321 0.130 0x00
OBS: 59345.270 r_PS1 NULL 644.979 67.225 20.476 0.113 0x00
OBS: 59346.280 i_PS1 NULL 616.611 75.922 20.525 0.134 0x00
OBS: 59350.260 r_PS1 NULL 357.566 82.618 21.117 0.251 0x00
OBS: 59351.260 i_PS1 NULL 469.925 122.351 20.820 0.283 0x00
OBS: 59366.400 i_PS1 NULL 257.956 54.709 21.471 0.230 0x00
OBS: 59370.280 i_PS1 NULL 239.309 58.569 21.553 0.266 0x00
