SURVEY: YSE
SNID:  2021iyr
otherID: 
IAUC:    UNKNOWN
RA:        182.2973880  deg
DECL:       16.8675690  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.108
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.10920944570062807
REDSHIFT_FINAL: 0.11187042603987056
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59322.42
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021iyr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.669 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59311.340 g_PS1 NULL 617.493 58.893 20.523 0.104 0x00
OBS: 59311.340 r_PS1 NULL 601.211 53.384 20.552 0.096 0x00
OBS: 59313.300 g_PS1 NULL 894.930 64.812 20.121 0.079 0x00
OBS: 59313.300 i_PS1 NULL 929.325 76.002 20.080 0.089 0x00
OBS: 59314.300 g_PS1 NULL 1336.004 74.713 19.685 0.061 0x00
OBS: 59314.310 r_PS1 NULL 979.950 60.523 20.022 0.067 0x00
OBS: 59316.450 i_PS1 NULL 1369.051 87.346 19.659 0.069 0x00
OBS: 59316.450 g_PS1 NULL 1379.411 98.827 19.651 0.078 0x00
OBS: 59318.440 r_PS1 NULL 1672.700 75.798 19.441 0.049 0x00
OBS: 59318.440 g_PS1 NULL 1941.184 73.657 19.280 0.041 0x00
OBS: 59320.470 i_PS1 NULL 1459.915 78.285 19.589 0.058 0x00
OBS: 59320.480 g_PS1 NULL 2145.500 72.534 19.171 0.037 0x00
OBS: 59322.420 r_PS1 NULL 2124.307 67.577 19.182 0.035 0x00
OBS: 59322.420 g_PS1 NULL 2301.829 69.151 19.095 0.033 0x00
OBS: 59331.400 i_PS1 NULL 1205.140 182.095 19.797 0.164 0x00
OBS: 59335.400 i_PS1 NULL 1043.341 122.023 19.954 0.127 0x01
OBS: 59337.260 g_PS1 NULL 1337.421 75.571 19.684 0.061 0x00
OBS: 59337.270 z_PS1 NULL 668.851 93.859 20.437 0.152 0x00
OBS: 59338.270 g_PS1 NULL 1227.794 92.896 19.777 0.082 0x01
OBS: 59338.270 i_PS1 NULL 805.000 72.163 20.236 0.097 0x00
OBS: 59343.260 g_PS1 NULL 765.953 67.553 20.289 0.096 0x01
OBS: 59345.260 g_PS1 NULL 729.136 75.201 20.343 0.112 0x00
OBS: 59345.260 r_PS1 NULL 813.113 78.029 20.225 0.104 0x00
OBS: 59347.360 i_PS1 NULL 621.553 69.556 20.516 0.122 0x00
OBS: 59347.370 g_PS1 NULL 641.499 56.680 20.482 0.096 0x00
OBS: 59350.380 g_PS1 NULL 516.285 88.594 20.718 0.186 0x00
OBS: 59350.390 r_PS1 NULL 862.977 104.035 20.160 0.131 0x00
OBS: 59359.340 z_PS1 NULL 634.398 123.359 20.494 0.211 0x00
OBS: 59359.340 r_PS1 NULL 621.075 102.313 20.517 0.179 0x00
OBS: 59361.360 r_PS1 NULL 588.096 86.636 20.576 0.160 0x00
OBS: 59361.370 i_PS1 NULL 514.411 85.766 20.722 0.181 0x00
OBS: 59363.320 r_PS1 NULL 578.244 55.182 20.595 0.104 0x00
OBS: 59363.320 z_PS1 NULL 515.122 89.700 20.720 0.189 0x00
OBS: 59365.330 r_PS1 NULL 430.800 45.396 20.914 0.114 0x00
OBS: 59365.330 i_PS1 NULL 525.508 52.214 20.699 0.108 0x00
OBS: 59372.330 g_PS1 NULL 224.902 51.837 21.620 0.250 0x00
OBS: 59372.330 i_PS1 NULL 345.614 76.101 21.154 0.239 0x00
OBS: 59374.330 r_PS1 NULL 327.885 64.116 21.211 0.212 0x00
OBS: 59374.330 g_PS1 NULL 284.690 74.311 21.364 0.283 0x00
OBS: 59376.290 i_PS1 NULL 298.893 79.430 21.311 0.289 0x00
OBS: 59377.280 r_PS1 NULL 397.032 58.944 21.003 0.161 0x00
OBS: 59405.290 g_PS1 NULL 287.358 70.805 21.354 0.268 0x00
