SURVEY: YSE
SNID:  2021jof
otherID: 
IAUC:    UNKNOWN
RA:        242.8437250  deg
DECL:       28.8730990  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.110661
SIGMA_Z: 1.41e-05
REDSHIFT_CMB: 0.11088819338703071
REDSHIFT_FINAL: 0.10813067218655646
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
SEARCH_PEAKMJD: 59328.35
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021jof.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.300 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59313.620 g_PS1 NULL 373.090 50.186 21.070 0.146 0x00
OBS: 59313.620 i_PS1 NULL 241.094 61.741 21.545 0.278 0x00
OBS: 59318.490 g_PS1 NULL 1205.218 56.294 19.797 0.051 0x00
OBS: 59318.490 i_PS1 NULL 857.296 60.872 20.167 0.077 0x00
OBS: 59321.470 r_PS1 NULL 1726.919 59.842 19.407 0.038 0x00
OBS: 59321.480 g_PS1 NULL 1834.612 60.087 19.341 0.036 0x00
OBS: 59326.420 i_PS1 NULL 1463.060 119.217 19.587 0.088 0x00
OBS: 59326.430 r_PS1 NULL 2383.312 113.836 19.057 0.052 0x00
OBS: 59331.410 r_PS1 NULL 2467.476 183.113 19.019 0.081 0x01
OBS: 59331.410 i_PS1 NULL 1819.933 169.743 19.350 0.101 0x00
OBS: 59334.450 z_PS1 NULL 1102.701 134.473 19.894 0.132 0x00
OBS: 59334.450 r_PS1 NULL 2617.457 87.716 18.955 0.036 0x00
OBS: 59337.550 i_PS1 NULL 1750.272 175.484 19.392 0.109 0x00
OBS: 59337.550 g_PS1 NULL 2245.527 177.128 19.122 0.086 0x00
OBS: 59343.390 g_PS1 NULL 1680.429 57.390 19.436 0.037 0x00
OBS: 59343.400 i_PS1 NULL 1142.306 71.585 19.856 0.068 0x00
OBS: 59347.540 g_PS1 NULL 1175.336 99.244 19.825 0.092 0x00
OBS: 59347.550 r_PS1 NULL 1591.933 83.607 19.495 0.057 0x00
OBS: 59352.550 g_PS1 NULL 903.329 153.847 20.110 0.185 0x00
OBS: 59352.550 i_PS1 NULL 1269.924 126.398 19.741 0.108 0x00
OBS: 59357.370 r_PS1 NULL 1125.009 118.712 19.872 0.115 0x01
OBS: 59357.370 i_PS1 NULL 1169.532 167.969 19.830 0.156 0x01
OBS: 59358.370 r_PS1 NULL 1218.291 128.929 19.786 0.115 0x00
OBS: 59358.380 z_PS1 NULL 923.842 164.339 20.086 0.193 0x00
OBS: 59360.380 r_PS1 NULL 1103.584 153.469 19.893 0.151 0x00
OBS: 59360.390 i_PS1 NULL 1068.231 120.833 19.928 0.123 0x00
OBS: 59363.490 z_PS1 NULL 934.084 134.428 20.074 0.156 0x00
OBS: 59363.490 r_PS1 NULL 857.611 84.675 20.167 0.107 0x00
OBS: 59365.360 r_PS1 NULL 825.671 47.084 20.208 0.062 0x00
OBS: 59365.360 i_PS1 NULL 801.372 68.286 20.240 0.093 0x00
OBS: 59368.370 g_PS1 NULL 349.090 94.868 21.143 0.295 0x00
OBS: 59368.370 z_PS1 NULL 874.273 137.963 20.146 0.171 0x00
OBS: 59372.460 g_PS1 NULL 319.708 61.297 21.238 0.208 0x00
OBS: 59372.470 i_PS1 NULL 686.007 72.481 20.409 0.115 0x00
OBS: 59375.430 r_PS1 NULL 649.678 67.323 20.468 0.113 0x00
OBS: 59379.310 g_PS1 NULL 275.710 61.373 21.399 0.242 0x00
OBS: 59379.320 i_PS1 NULL 476.617 52.491 20.805 0.120 0x00
OBS: 59382.290 i_PS1 NULL 432.570 60.618 20.910 0.152 0x00
OBS: 59383.280 z_PS1 NULL 536.829 102.893 20.675 0.208 0x00
OBS: 59385.270 r_PS1 NULL 437.812 104.467 20.897 0.259 0x00
OBS: 59385.270 z_PS1 NULL 463.720 120.045 20.834 0.281 0x00
OBS: 59388.300 z_PS1 NULL 953.016 223.289 20.052 0.254 0x00
OBS: 59391.410 r_PS1 NULL 402.713 91.045 20.988 0.245 0x00
OBS: 59394.400 z_PS1 NULL 311.395 79.467 21.267 0.277 0x00
OBS: 59394.400 r_PS1 NULL 425.037 47.877 20.929 0.122 0x00
OBS: 59399.400 r_PS1 NULL 347.072 63.695 21.149 0.199 0x00
OBS: 59408.390 r_PS1 NULL 320.406 37.639 21.236 0.128 0x00
OBS: 59429.280 r_PS1 NULL 176.688 40.407 21.882 0.248 0x00
OBS: 59435.270 r_PS1 NULL 187.613 39.866 21.817 0.231 0x00
