SURVEY: YSE
SNID:  2021jzf
otherID: 
IAUC:    UNKNOWN
RA:        244.1420000  deg
DECL:       20.9195110  deg
MWEBV:    0.066 +- 0.003 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.076
REDSHIFT_CMB: 0.07623328592315981
REDSHIFT_FINAL: 0.07630458802269136
HOST_LOGMASS: 10.068349838256836
SEARCH_PEAKMJD: 59336.61
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021jzf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.184 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59311.470 g_PS1 NULL 17.958 63.812 22.634 -0.081 0x01
OBS: 59317.500 g_PS1 NULL 461.686 65.876 20.839 0.155 0x00
OBS: 59317.500 r_PS1 NULL 535.844 58.110 20.677 0.118 0x00
OBS: 59321.580 i_PS1 NULL 1014.463 55.525 19.985 0.059 0x00
OBS: 59321.580 g_PS1 NULL 1045.801 50.522 19.953 0.053 0x00
OBS: 59326.470 z_PS1 NULL 1515.028 134.536 19.550 0.097 0x00
OBS: 59326.470 r_PS1 NULL 1983.939 97.781 19.258 0.053 0x00
OBS: 59327.460 r_PS1 NULL 2002.821 108.778 19.248 0.059 0x00
OBS: 59327.460 i_PS1 NULL 1719.721 109.153 19.412 0.069 0x00
OBS: 59336.610 i_PS1 NULL 1683.589 97.058 19.436 0.063 0x00
OBS: 59336.610 r_PS1 NULL 2484.399 125.419 19.012 0.055 0x00
OBS: 59342.550 g_PS1 NULL 1460.566 73.842 19.589 0.055 0x01
OBS: 59342.560 r_PS1 NULL 2115.753 65.423 19.186 0.034 0x00
OBS: 59345.550 i_PS1 NULL 1239.631 68.619 19.770 0.060 0x00
OBS: 59345.560 g_PS1 NULL 1157.918 53.662 19.841 0.050 0x00
OBS: 59349.380 g_PS1 NULL 876.298 126.883 20.144 0.157 0x00
OBS: 59353.520 i_PS1 NULL 1094.157 73.858 19.902 0.073 0x00
OBS: 59353.950 g_PS1 NULL 561.721 64.495 20.631 0.126 0x00
OBS: 59354.380 z_PS1 NULL 643.989 106.163 20.481 0.179 0x00
OBS: 59355.380 i_PS1 NULL 1029.365 68.278 19.974 0.073 0x00
OBS: 59355.380 g_PS1 NULL 514.863 66.567 20.736 0.146 0x00
OBS: 59356.380 r_PS1 NULL 1179.229 74.698 19.821 0.069 0x00
OBS: 59356.390 i_PS1 NULL 1025.149 69.848 19.974 0.074 0x00
OBS: 59357.380 z_PS1 NULL 703.471 145.449 20.395 0.235 0x00
OBS: 59357.380 r_PS1 NULL 1065.389 98.030 19.932 0.100 0x00
OBS: 59363.500 i_PS1 NULL 1043.095 86.067 19.959 0.090 0x01
OBS: 59365.350 r_PS1 NULL 796.551 55.120 20.248 0.075 0x00
OBS: 59365.350 z_PS1 NULL 792.952 94.316 20.253 0.130 0x00
OBS: 59367.340 z_PS1 NULL 1018.519 89.453 19.982 0.096 0x00
OBS: 59367.350 g_PS1 NULL 230.915 52.307 21.617 0.258 0x00
OBS: 59371.500 i_PS1 NULL 645.208 92.696 20.476 0.156 0x00
OBS: 59374.470 r_PS1 NULL 483.031 79.373 20.790 0.178 0x00
OBS: 59378.450 i_PS1 NULL 552.155 62.460 20.649 0.123 0x00
OBS: 59381.445 r_PS1 NULL 442.235 48.554 20.886 0.119 0x00
OBS: 59384.410 i_PS1 NULL 514.899 56.281 20.721 0.119 0x00
OBS: 59391.410 i_PS1 NULL 461.694 79.363 20.839 0.187 0x00
OBS: 59393.290 r_PS1 NULL 361.252 43.773 21.111 0.134 0x00
OBS: 59395.410 i_PS1 NULL 316.600 65.771 21.259 0.233 0x00
OBS: 59395.420 r_PS1 NULL 360.004 54.846 21.109 0.165 0x00
OBS: 59401.370 i_PS1 NULL 287.865 71.376 21.352 0.269 0x01
