SURVEY: YSE
SNID:  2021khl
otherID: 
IAUC:    UNKNOWN
RA:        244.4735450  deg
DECL:       32.1090150  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.063479
SIGMA_Z: 8.26e-06
REDSHIFT_CMB: 0.06364870477244455
REDSHIFT_FINAL: 0.06382992463406134
HOST_LOGMASS: 11.022689819335938
SEARCH_PEAKMJD: 59334.362
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021khl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.158 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59321.470 i_PS1 NULL 1271.901 118.310 19.739 0.101 0x00
OBS: 59321.470 g_PS1 NULL 971.494 111.522 20.031 0.125 0x00
OBS: 59326.430 r_PS1 NULL 2466.727 160.148 19.020 0.070 0x00
OBS: 59326.430 i_PS1 NULL 2070.088 146.716 19.210 0.077 0x00
OBS: 59328.450 r_PS1 NULL 2699.342 170.130 18.922 0.068 0x00
OBS: 59328.460 z_PS1 NULL 2008.864 238.834 19.243 0.129 0x00
OBS: 59331.410 i_PS1 NULL 1938.278 224.542 19.281 0.126 0x00
OBS: 59331.420 r_PS1 NULL 2873.475 267.686 18.854 0.101 0x00
OBS: 59334.450 z_PS1 NULL 1728.992 208.710 19.406 0.131 0x00
OBS: 59334.460 r_PS1 NULL 3161.966 135.654 18.750 0.047 0x00
OBS: 59337.510 g_PS1 NULL 2591.533 151.211 18.966 0.063 0x00
OBS: 59337.510 i_PS1 NULL 1546.617 289.752 19.527 0.203 0x00
OBS: 59343.390 r_PS1 NULL 2575.454 105.580 18.973 0.045 0x00
OBS: 59343.390 g_PS1 NULL 1500.944 105.163 19.559 0.076 0x00
OBS: 59347.540 i_PS1 NULL 1296.875 138.651 19.718 0.116 0x00
OBS: 59347.540 g_PS1 NULL 1279.696 97.426 19.732 0.083 0x00
OBS: 59353.460 z_PS1 NULL 1044.919 186.514 19.952 0.194 0x00
OBS: 59353.460 g_PS1 NULL 561.511 103.504 20.627 0.200 0x00
OBS: 59354.360 i_PS1 NULL 1798.959 133.354 19.362 0.080 0x00
OBS: 59354.360 g_PS1 NULL 351.565 92.642 21.135 0.286 0x00
OBS: 59355.370 g_PS1 NULL 359.554 94.170 21.111 0.284 0x00
OBS: 59355.370 z_PS1 NULL 981.743 145.415 20.020 0.161 0x00
OBS: 59356.360 r_PS1 NULL 1207.390 112.677 19.795 0.101 0x00
OBS: 59356.360 i_PS1 NULL 1325.846 142.737 19.694 0.117 0x00
OBS: 59358.380 r_PS1 NULL 1079.241 151.160 19.917 0.152 0x00
OBS: 59360.390 r_PS1 NULL 808.301 191.078 20.231 0.257 0x00
OBS: 59363.480 r_PS1 NULL 770.029 103.246 20.284 0.146 0x00
OBS: 59363.480 z_PS1 NULL 919.487 195.126 20.091 0.230 0x00
OBS: 59366.320 g_PS1 NULL 320.539 83.590 21.235 0.283 0x00
OBS: 59366.330 z_PS1 NULL 910.076 134.508 20.102 0.160 0x00
OBS: 59373.340 r_PS1 NULL 425.465 83.872 20.928 0.214 0x00
OBS: 59377.500 g_PS1 NULL 385.181 86.733 21.036 0.244 0x00
