SURVEY: YSE
SNID:  2021kwa
otherID: 
IAUC:    UNKNOWN
RA:        187.6406490  deg
DECL:       11.5178830  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.085625
SIGMA_Z: 3.14e-05
REDSHIFT_CMB: 0.08681842132826323
REDSHIFT_FINAL: 0.08361521222792069
HOST_LOGMASS: 10.806405647767853
HOST_LOGMASS_ERR: 0.05991529973354193
HOST_LOGSFR: -0.09742632219918013
HOST_LOGSFR_ERR: 0.28003249229315275
SEARCH_PEAKMJD: 59342.26
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kwa.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.876 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59333.300 r_PS1 NULL 1368.534 142.757 19.659 0.113 0x00
OBS: 59334.440 i_PS1 NULL 826.173 97.587 20.207 0.128 0x00
OBS: 59334.440 r_PS1 NULL 1245.391 108.719 19.762 0.095 0x00
OBS: 59336.430 i_PS1 NULL 1259.909 88.235 19.749 0.076 0x00
OBS: 59336.440 r_PS1 NULL 1496.331 87.966 19.562 0.064 0x00
OBS: 59337.260 i_PS1 NULL 1352.715 66.378 19.672 0.053 0x00
OBS: 59337.260 g_PS1 NULL 1512.367 59.426 19.551 0.043 0x00
OBS: 59338.280 z_PS1 NULL 1115.996 133.425 19.881 0.130 0x00
OBS: 59338.280 g_PS1 NULL 1551.514 100.805 19.523 0.071 0x00
OBS: 59342.260 r_PS1 NULL 1547.759 65.262 19.526 0.046 0x00
OBS: 59342.260 g_PS1 NULL 1567.077 70.203 19.512 0.049 0x00
OBS: 59343.260 g_PS1 NULL 1443.578 54.444 19.601 0.041 0x00
OBS: 59343.260 i_PS1 NULL 1349.111 62.657 19.675 0.050 0x00
OBS: 59344.260 g_PS1 NULL 1313.559 54.561 19.704 0.045 0x00
OBS: 59344.260 z_PS1 NULL 1093.926 106.696 19.903 0.106 0x00
OBS: 59345.270 g_PS1 NULL 1313.207 71.227 19.704 0.059 0x00
OBS: 59345.270 r_PS1 NULL 1449.555 56.346 19.597 0.042 0x00
OBS: 59346.280 g_PS1 NULL 1136.454 56.779 19.861 0.054 0x00
OBS: 59346.280 i_PS1 NULL 1482.639 61.378 19.572 0.045 0x00
OBS: 59347.360 z_PS1 NULL 965.538 100.556 20.038 0.113 0x00
OBS: 59347.360 g_PS1 NULL 1039.253 66.396 19.958 0.069 0x00
OBS: 59349.370 i_PS1 NULL 1099.926 68.907 19.897 0.068 0x00
OBS: 59349.370 g_PS1 NULL 851.233 69.988 20.175 0.089 0x00
OBS: 59351.260 i_PS1 NULL 813.040 197.382 20.225 0.264 0x00
OBS: 59352.260 g_PS1 NULL 546.565 116.453 20.656 0.231 0x00
OBS: 59352.260 z_PS1 NULL 812.046 223.218 20.226 0.298 0x00
OBS: 59353.380 r_PS1 NULL 923.321 73.874 20.087 0.087 0x00
OBS: 59353.380 g_PS1 NULL 503.700 83.925 20.745 0.181 0x00
OBS: 59359.340 i_PS1 NULL 718.508 122.826 20.359 0.186 0x00
OBS: 59359.350 r_PS1 NULL 545.978 115.832 20.657 0.230 0x00
OBS: 59360.330 z_PS1 NULL 763.896 145.188 20.292 0.206 0x00
OBS: 59360.340 r_PS1 NULL 520.454 120.611 20.709 0.252 0x00
OBS: 59361.370 r_PS1 NULL 619.101 93.734 20.521 0.164 0x00
OBS: 59361.370 i_PS1 NULL 841.383 94.555 20.188 0.122 0x00
OBS: 59362.360 r_PS1 NULL 358.264 93.806 21.114 0.284 0x00
OBS: 59362.360 z_PS1 NULL 799.702 136.414 20.243 0.185 0x00
OBS: 59363.330 i_PS1 NULL 733.065 63.078 20.337 0.093 0x00
OBS: 59363.330 r_PS1 NULL 491.411 52.426 20.771 0.116 0x00
OBS: 59364.380 r_PS1 NULL 448.896 51.515 20.870 0.125 0x00
OBS: 59364.380 z_PS1 NULL 736.066 110.970 20.333 0.164 0x00
OBS: 59365.330 i_PS1 NULL 576.129 52.951 20.599 0.100 0x00
OBS: 59365.340 r_PS1 NULL 471.684 54.249 20.816 0.125 0x00
OBS: 59366.400 i_PS1 NULL 601.174 59.454 20.552 0.107 0x00
OBS: 59367.330 g_PS1 NULL 215.838 46.624 21.665 0.235 0x00
OBS: 59367.330 z_PS1 NULL 459.802 97.909 20.844 0.231 0x00
OBS: 59368.280 r_PS1 NULL 411.399 44.428 20.964 0.117 0x00
OBS: 59370.280 i_PS1 NULL 520.293 63.424 20.709 0.132 0x00
OBS: 59372.350 i_PS1 NULL 412.629 77.651 20.961 0.204 0x00
OBS: 59373.270 g_PS1 NULL 200.058 34.316 21.747 0.186 0x00
OBS: 59373.270 z_PS1 NULL 506.351 71.732 20.739 0.154 0x00
OBS: 59374.320 r_PS1 NULL 419.929 81.318 20.942 0.210 0x00
OBS: 59376.280 z_PS1 NULL 534.865 117.804 20.679 0.239 0x00
OBS: 59377.280 r_PS1 NULL 384.054 53.640 21.039 0.152 0x00
OBS: 59377.280 g_PS1 NULL 183.863 50.341 21.839 0.297 0x00
OBS: 59378.280 i_PS1 NULL 420.915 54.294 20.940 0.140 0x00
OBS: 59379.330 z_PS1 NULL 387.412 89.229 21.030 0.250 0x00
OBS: 59379.330 g_PS1 NULL 216.301 51.040 21.662 0.256 0x00
OBS: 59391.290 r_PS1 NULL 312.069 67.694 21.264 0.236 0x00
OBS: 59393.270 r_PS1 NULL 181.989 41.707 21.850 0.249 0x00
OBS: 59394.280 r_PS1 NULL 156.628 36.535 22.013 0.253 0x00
OBS: 59394.280 i_PS1 NULL 259.502 45.340 21.465 0.190 0x00
OBS: 59395.290 r_PS1 NULL 200.196 46.644 21.746 0.253 0x00
OBS: 59396.300 i_PS1 NULL 308.592 51.494 21.277 0.181 0x00
OBS: 59401.280 r_PS1 NULL 174.630 47.773 21.895 0.297 0x00
