SURVEY: YSE
SNID:  2021kyp
otherID: 
IAUC:    UNKNOWN
RA:        205.0245640  deg
DECL:       29.4476690  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.12
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.12086878126239187
REDSHIFT_FINAL: 0.12555002300958484
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59343.269
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kyp.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.380 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59009.350 r_PS1 NULL 152.092 41.810 22.045 0.298 0x00
OBS: 59332.440 z_PS1 NULL 685.956 148.693 20.409 0.235 0x00
OBS: 59332.440 r_PS1 NULL 1120.126 117.910 19.877 0.114 0x00
OBS: 59334.420 i_PS1 NULL 1079.340 104.805 19.917 0.105 0x00
OBS: 59334.430 r_PS1 NULL 1196.268 88.828 19.805 0.081 0x00
OBS: 59336.440 r_PS1 NULL 1567.207 69.215 19.512 0.048 0x00
OBS: 59336.440 z_PS1 NULL 879.666 119.759 20.139 0.148 0x00
OBS: 59344.270 g_PS1 NULL 2003.071 66.600 19.246 0.036 0x00
OBS: 59344.270 r_PS1 NULL 1877.536 60.565 19.316 0.035 0x00
OBS: 59346.400 i_PS1 NULL 1391.720 76.828 19.641 0.060 0x00
OBS: 59346.400 g_PS1 NULL 1817.008 64.693 19.352 0.039 0x00
OBS: 59351.370 i_PS1 NULL 1061.905 116.652 19.935 0.119 0x01
OBS: 59351.380 g_PS1 NULL 1459.460 120.211 19.590 0.089 0x01
OBS: 59368.340 i_PS1 NULL 758.080 86.553 20.301 0.124 0x00
OBS: 59368.350 g_PS1 NULL 419.293 77.462 20.944 0.201 0x00
OBS: 59371.340 r_PS1 NULL 774.210 85.520 20.278 0.120 0x00
OBS: 59373.330 i_PS1 NULL 678.568 54.504 20.421 0.087 0x00
OBS: 59373.330 g_PS1 NULL 341.911 45.278 21.165 0.144 0x00
OBS: 59375.370 r_PS1 NULL 658.203 61.384 20.454 0.101 0x00
OBS: 59378.390 i_PS1 NULL 667.322 156.849 20.439 0.255 0x00
OBS: 59380.340 r_PS1 NULL 628.122 79.390 20.505 0.137 0x00
OBS: 59391.300 r_PS1 NULL 388.681 59.618 21.026 0.167 0x00
OBS: 59391.300 i_PS1 NULL 288.325 56.199 21.350 0.212 0x00
OBS: 59394.270 r_PS1 NULL 345.344 39.842 21.154 0.125 0x00
OBS: 59394.280 i_PS1 NULL 323.659 42.192 21.225 0.142 0x00
