SURVEY: YSE
SNID:  2021ljb
otherID: 
IAUC:    UNKNOWN
RA:        189.2501800  deg
DECL:       -5.5331790  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.121
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.12228866327438048
REDSHIFT_FINAL: 0.11784742763608815
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59348.231
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ljb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.335 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59336.430 r_PS1 NULL 423.117 88.895 20.934 0.228 0x00
OBS: 59338.290 i_PS1 NULL 500.297 111.953 20.752 0.243 0x00
OBS: 59338.290 g_PS1 NULL 681.278 96.739 20.417 0.154 0x00
OBS: 59343.270 i_PS1 NULL 1212.365 63.071 19.791 0.056 0x00
OBS: 59343.270 g_PS1 NULL 1311.668 54.090 19.705 0.045 0x00
OBS: 59345.270 r_PS1 NULL 1596.490 66.880 19.492 0.045 0x00
OBS: 59345.280 g_PS1 NULL 1600.866 96.467 19.489 0.065 0x00
OBS: 59347.360 g_PS1 NULL 1855.805 82.639 19.329 0.048 0x00
OBS: 59347.360 i_PS1 NULL 1093.499 70.130 19.903 0.070 0x00
OBS: 59350.260 g_PS1 NULL 1743.679 123.253 19.396 0.077 0x00
OBS: 59350.260 r_PS1 NULL 1589.526 76.413 19.497 0.052 0x00
OBS: 59353.360 g_PS1 NULL 1664.451 86.209 19.447 0.056 0x00
OBS: 59353.360 z_PS1 NULL 827.118 127.392 20.206 0.167 0x00
OBS: 59360.320 r_PS1 NULL 1275.239 152.321 19.736 0.130 0x01
OBS: 59362.350 i_PS1 NULL 895.769 88.446 20.120 0.107 0x00
OBS: 59362.350 r_PS1 NULL 1230.623 83.473 19.775 0.074 0x00
OBS: 59364.370 r_PS1 NULL 1221.844 62.994 19.782 0.056 0x00
OBS: 59366.400 i_PS1 NULL 804.042 70.875 20.237 0.096 0x00
OBS: 59366.400 g_PS1 NULL 757.627 65.869 20.301 0.094 0x00
OBS: 59368.270 z_PS1 NULL 460.293 80.674 20.842 0.190 0x00
OBS: 59368.270 g_PS1 NULL 734.848 52.644 20.335 0.078 0x00
OBS: 59370.270 i_PS1 NULL 674.630 65.404 20.427 0.105 0x00
OBS: 59370.270 g_PS1 NULL 529.812 55.571 20.690 0.114 0x00
OBS: 59373.280 g_PS1 NULL 443.798 45.376 20.882 0.111 0x00
OBS: 59373.280 i_PS1 NULL 719.180 55.897 20.358 0.084 0x00
OBS: 59376.270 i_PS1 NULL 789.925 98.531 20.256 0.135 0x00
OBS: 59378.270 r_PS1 NULL 729.746 57.772 20.342 0.086 0x00
OBS: 59380.280 i_PS1 NULL 480.453 104.028 20.796 0.235 0x00
