SURVEY: YSE
SNID:  2021lta
otherID: 
IAUC:    UNKNOWN
RA:        246.5024210  deg
DECL:       28.4274540  deg
MWEBV:    0.040 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.1
REDSHIFT_CMB: 0.1001537839733182
REDSHIFT_FINAL: 0.10477418347862506
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59353.357
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lta.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.039 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59343.400 g_PS1 NULL 1424.241 61.004 19.616 0.047 0x00
OBS: 59343.400 i_PS1 NULL 1193.197 77.800 19.808 0.071 0x00
OBS: 59347.540 g_PS1 NULL 2423.190 77.425 19.039 0.035 0x00
OBS: 59347.550 r_PS1 NULL 2190.870 75.706 19.148 0.038 0x00
OBS: 59352.550 i_PS1 NULL 1848.510 137.441 19.333 0.081 0x00
OBS: 59352.550 g_PS1 NULL 2724.963 114.475 18.912 0.046 0x00
OBS: 59357.370 r_PS1 NULL 2673.027 102.545 18.932 0.042 0x00
OBS: 59357.370 i_PS1 NULL 1937.561 189.569 19.282 0.106 0x01
OBS: 59358.370 r_PS1 NULL 2682.900 122.809 18.928 0.050 0x00
OBS: 59358.380 z_PS1 NULL 1144.037 151.878 19.854 0.144 0x00
OBS: 59360.390 i_PS1 NULL 1732.194 162.148 19.404 0.102 0x00
OBS: 59360.390 r_PS1 NULL 2341.671 172.741 19.076 0.080 0x00
OBS: 59363.490 r_PS1 NULL 2108.978 94.041 19.190 0.048 0x00
OBS: 59363.490 z_PS1 NULL 937.049 130.249 20.071 0.151 0x00
OBS: 59365.360 i_PS1 NULL 1162.361 82.057 19.837 0.077 0x00
OBS: 59365.360 r_PS1 NULL 1916.566 75.291 19.294 0.043 0x00
OBS: 59368.370 g_PS1 NULL 1300.657 127.699 19.715 0.107 0x00
OBS: 59372.470 i_PS1 NULL 897.709 71.389 20.117 0.086 0x00
OBS: 59375.430 r_PS1 NULL 1214.406 74.180 19.789 0.066 0x00
OBS: 59375.430 g_PS1 NULL 688.373 61.163 20.405 0.096 0x00
OBS: 59379.310 g_PS1 NULL 536.083 61.295 20.677 0.124 0x00
OBS: 59379.320 i_PS1 NULL 952.870 72.187 20.052 0.082 0x01
OBS: 59382.290 g_PS1 NULL 388.253 63.588 21.027 0.178 0x00
OBS: 59382.290 i_PS1 NULL 996.021 61.045 20.004 0.067 0x00
OBS: 59383.290 g_PS1 NULL 465.803 79.596 20.829 0.186 0x01
OBS: 59384.280 i_PS1 NULL 1018.820 112.996 19.980 0.120 0x00
OBS: 59385.270 z_PS1 NULL 834.707 120.158 20.196 0.156 0x00
OBS: 59385.270 r_PS1 NULL 848.487 116.237 20.178 0.149 0x00
OBS: 59388.300 r_PS1 NULL 872.784 132.806 20.148 0.165 0x00
OBS: 59388.300 z_PS1 NULL 958.194 129.003 20.046 0.146 0x00
OBS: 59391.420 i_PS1 NULL 566.749 79.249 20.617 0.152 0x00
OBS: 59391.420 r_PS1 NULL 586.206 73.193 20.580 0.136 0x00
OBS: 59394.400 z_PS1 NULL 578.339 79.122 20.595 0.149 0x01
OBS: 59394.400 r_PS1 NULL 546.967 45.819 20.655 0.091 0x00
OBS: 59398.410 g_PS1 NULL 301.986 83.181 21.300 0.299 0x00
OBS: 59398.410 i_PS1 NULL 560.935 58.676 20.628 0.114 0x00
OBS: 59399.400 r_PS1 NULL 382.585 61.941 21.043 0.176 0x00
OBS: 59408.390 r_PS1 NULL 357.134 52.090 21.118 0.158 0x01
OBS: 59412.380 i_PS1 NULL 364.977 91.512 21.094 0.272 0x01
OBS: 59425.330 g_PS1 NULL 213.602 53.202 21.676 0.270 0x01
OBS: 59435.270 r_PS1 NULL 300.309 46.720 21.306 0.169 0x00
