SURVEY: YSE
SNID:  2021luu
otherID: 
IAUC:    UNKNOWN
RA:        243.0821610  deg
DECL:       26.7834940  deg
MWEBV:    0.039 +- 0.002 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.1
SIGMA_Z: -9999.0
REDSHIFT_CMB: 0.10023142702258903
REDSHIFT_FINAL: 0.09722876350678575
HOST_LOGMASS: 9.532651901245117
SEARCH_PEAKMJD: 59358.316
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021luu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.202 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59343.390 g_PS1 NULL 1642.596 65.304 19.461 0.043 0x00
OBS: 59343.400 i_PS1 NULL 1486.783 69.295 19.569 0.051 0x00
OBS: 59347.540 g_PS1 NULL 2291.587 61.361 19.100 0.029 0x00
OBS: 59347.550 r_PS1 NULL 2165.474 49.075 19.161 0.025 0x00
OBS: 59352.550 g_PS1 NULL 2545.811 72.150 18.985 0.031 0x00
OBS: 59352.550 i_PS1 NULL 1955.075 97.012 19.272 0.054 0x00
OBS: 59357.370 i_PS1 NULL 1525.554 114.712 19.541 0.082 0x00
OBS: 59357.370 r_PS1 NULL 2538.029 103.245 18.989 0.044 0x00
OBS: 59358.370 r_PS1 NULL 2551.177 115.693 18.983 0.049 0x00
OBS: 59358.380 z_PS1 NULL 870.421 147.176 20.151 0.184 0x00
OBS: 59360.380 r_PS1 NULL 2114.006 164.034 19.187 0.084 0x00
OBS: 59360.390 i_PS1 NULL 1509.754 162.478 19.553 0.117 0x00
OBS: 59363.490 z_PS1 NULL 794.546 115.917 20.250 0.158 0x00
OBS: 59363.490 r_PS1 NULL 2167.845 79.104 19.160 0.040 0x00
OBS: 59365.360 i_PS1 NULL 1358.801 55.736 19.667 0.045 0x00
OBS: 59365.360 r_PS1 NULL 1919.498 55.789 19.292 0.032 0x00
OBS: 59368.370 g_PS1 NULL 1345.683 91.241 19.678 0.074 0x00
OBS: 59368.370 z_PS1 NULL 617.012 113.954 20.524 0.201 0x00
OBS: 59375.430 g_PS1 NULL 672.731 58.514 20.430 0.094 0x00
OBS: 59375.430 r_PS1 NULL 1252.908 52.675 19.755 0.046 0x00
OBS: 59379.310 g_PS1 NULL 481.611 49.036 20.793 0.111 0x01
OBS: 59379.320 i_PS1 NULL 1014.089 35.044 19.985 0.038 0x00
OBS: 59382.290 g_PS1 NULL 457.458 45.584 20.849 0.108 0x00
OBS: 59382.290 i_PS1 NULL 1045.097 42.049 19.952 0.044 0x00
OBS: 59383.280 z_PS1 NULL 810.768 85.879 20.228 0.115 0x00
OBS: 59383.290 g_PS1 NULL 309.529 66.001 21.273 0.232 0x00
OBS: 59384.280 i_PS1 NULL 1091.833 164.416 19.905 0.163 0x00
OBS: 59385.270 r_PS1 NULL 753.322 88.497 20.308 0.128 0x00
OBS: 59385.270 z_PS1 NULL 738.692 125.623 20.329 0.185 0x00
OBS: 59386.320 r_PS1 NULL 968.646 220.373 20.035 0.247 0x00
OBS: 59388.300 z_PS1 NULL 888.005 174.126 20.129 0.213 0x00
OBS: 59388.300 r_PS1 NULL 787.886 80.659 20.259 0.111 0x00
OBS: 59391.420 i_PS1 NULL 904.094 71.138 20.109 0.085 0x00
OBS: 59394.400 r_PS1 NULL 522.530 42.098 20.705 0.087 0x00
OBS: 59394.400 z_PS1 NULL 588.665 62.240 20.575 0.115 0x00
OBS: 59398.400 i_PS1 NULL 354.240 94.232 21.127 0.289 0x00
OBS: 59398.410 g_PS1 NULL 218.679 56.233 21.650 0.279 0x00
OBS: 59399.400 r_PS1 NULL 499.557 36.512 20.754 0.079 0x00
OBS: 59399.400 g_PS1 NULL 157.285 40.000 22.008 0.276 0x00
OBS: 59408.390 r_PS1 NULL 341.326 51.129 21.167 0.163 0x00
OBS: 59412.380 i_PS1 NULL 404.124 68.764 20.984 0.185 0x00
OBS: 59412.380 g_PS1 NULL 436.108 83.862 20.901 0.209 0x00
OBS: 59425.330 g_PS1 NULL 184.991 31.320 21.832 0.184 0x00
OBS: 59441.260 g_PS1 NULL 189.458 46.165 21.806 0.265 0x00
OBS: 59441.260 i_PS1 NULL 236.135 48.915 21.567 0.225 0x00
OBS: 59447.250 i_PS1 NULL 229.356 55.139 21.599 0.261 0x00
