SURVEY: YSE
SNID:  2021lxb
otherID: 
IAUC:    UNKNOWN
RA:        195.4943870  deg
DECL:       28.0085550  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.025748
SIGMA_Z: 1e-05
REDSHIFT_CMB: 0.026658061459520876
REDSHIFT_FINAL: 0.028349245530386223
HOST_LOGMASS: -9999.
SEARCH_PEAKMJD: 59360.27
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lxb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.479 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59231.610 g_PS1 NULL 23.111 60.153 22.492 -0.405 0x00
OBS: 59268.465 r_PS1 NULL 11.343 78.628 24.025 -20.914 0x00
OBS: 59343.270 g_PS1 NULL 222.927 43.997 21.630 0.214 0x00
OBS: 59343.270 r_PS1 NULL 350.270 42.543 21.139 0.132 0x00
OBS: 59344.270 r_PS1 NULL 994.967 56.390 20.005 0.062 0x00
OBS: 59344.270 g_PS1 NULL 918.948 67.393 20.092 0.080 0x00
OBS: 59345.270 g_PS1 NULL 1924.938 72.059 19.289 0.041 0x01
OBS: 59345.270 i_PS1 NULL 1744.947 85.201 19.396 0.053 0x01
OBS: 59346.400 g_PS1 NULL 3309.785 78.975 18.701 0.026 0x00
OBS: 59346.400 i_PS1 NULL 2922.379 76.646 18.836 0.028 0x00
OBS: 59347.370 g_PS1 NULL 5108.074 91.524 18.229 0.019 0x01
OBS: 59349.450 i_PS1 NULL 8026.564 149.122 17.739 0.020 0x00
OBS: 59349.450 g_PS1 NULL 9247.165 188.699 17.585 0.022 0x00
OBS: 59350.260 g_PS1 NULL 10955.740 153.796 17.401 0.015 0x00
OBS: 59350.260 r_PS1 NULL 10620.146 130.314 17.435 0.013 0x00
OBS: 59351.380 i_PS1 NULL 11348.915 147.974 17.363 0.014 0x00
OBS: 59351.380 g_PS1 NULL 13343.134 138.820 17.187 0.011 0x00
OBS: 59352.430 g_PS1 NULL 16163.889 151.596 16.979 0.010 0x00
OBS: 59352.430 r_PS1 NULL 15658.663 155.632 17.013 0.011 0x00
OBS: 59353.370 g_PS1 NULL 18329.913 170.684 16.842 0.010 0x00
OBS: 59353.370 z_PS1 NULL 12416.398 151.579 17.265 0.013 0x00
OBS: 59359.350 r_PS1 NULL 22936.437 176.052 16.599 0.008 0x00
OBS: 59359.350 z_PS1 NULL 14242.754 189.388 17.116 0.014 0x00
OBS: 59360.260 z_PS1 NULL 12282.394 194.141 17.277 0.017 0x00
OBS: 59360.270 r_PS1 NULL 23175.900 188.167 16.587 0.009 0x00
OBS: 59362.370 i_PS1 NULL 14356.663 141.167 17.107 0.011 0x00
OBS: 59362.375 r_PS1 NULL 21547.177 179.530 16.666 0.009 0x00
OBS: 59364.370 z_PS1 NULL 12861.213 180.043 17.227 0.015 0x00
OBS: 59364.385 r_PS1 NULL 19751.855 143.613 16.761 0.008 0x00
OBS: 59366.410 z_PS1 NULL 12309.067 148.770 17.274 0.013 0x00
OBS: 59366.410 g_PS1 NULL 11924.336 118.369 17.309 0.011 0x00
OBS: 59367.320 z_PS1 NULL 12726.385 150.913 17.238 0.013 0x00
OBS: 59367.320 g_PS1 NULL 9967.340 119.190 17.504 0.013 0x00
OBS: 59368.340 i_PS1 NULL 11659.425 137.968 17.333 0.013 0x01
OBS: 59368.350 g_PS1 NULL 8645.663 136.600 17.658 0.017 0x00
OBS: 59371.330 i_PS1 NULL 11912.846 140.366 17.310 0.013 0x00
OBS: 59371.330 g_PS1 NULL 5821.774 101.190 18.087 0.019 0x00
OBS: 59373.330 g_PS1 NULL 4640.636 75.764 18.334 0.018 0x00
OBS: 59373.330 i_PS1 NULL 11780.401 110.636 17.322 0.010 0x00
OBS: 59374.320 g_PS1 NULL 4249.477 110.775 18.429 0.028 0x01
OBS: 59374.320 r_PS1 NULL 10971.323 135.311 17.399 0.013 0x00
