SURVEY: YSE
SNID:  2021lzc
otherID: 
IAUC:    UNKNOWN
RA:        227.3406240  deg
DECL:       -11.1194130  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.1
REDSHIFT_CMB: 0.10070234475181339
REDSHIFT_FINAL: 0.10524174027086432
HOST_LOGMASS: 7.795818567276001
SEARCH_PEAKMJD: 59354.273
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lzc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.513 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59344.450 i_PS1 NULL 717.466 60.017 20.360 0.091 0x00
OBS: 59344.450 g_PS1 NULL 727.550 49.560 20.345 0.074 0x00
OBS: 59352.420 i_PS1 NULL 1372.560 95.547 19.656 0.076 0x00
OBS: 59352.430 g_PS1 NULL 1453.239 106.209 19.594 0.079 0x00
OBS: 59362.370 i_PS1 NULL 1162.222 106.881 19.837 0.100 0x00
OBS: 59362.370 r_PS1 NULL 1645.594 97.615 19.459 0.064 0x00
OBS: 59364.380 z_PS1 NULL 628.518 106.967 20.504 0.185 0x00
OBS: 59366.330 z_PS1 NULL 473.987 79.544 20.811 0.182 0x00
OBS: 59366.340 g_PS1 NULL 957.875 61.278 20.047 0.069 0x00
OBS: 59368.360 i_PS1 NULL 937.032 86.105 20.071 0.100 0x00
OBS: 59368.360 g_PS1 NULL 808.929 126.822 20.230 0.170 0x00
OBS: 59372.340 g_PS1 NULL 701.267 59.221 20.385 0.092 0x00
OBS: 59372.350 i_PS1 NULL 671.303 91.408 20.433 0.148 0x00
OBS: 59375.360 r_PS1 NULL 817.842 70.211 20.218 0.093 0x00
OBS: 59375.360 g_PS1 NULL 468.548 108.733 20.823 0.252 0x00
OBS: 59378.380 g_PS1 NULL 346.703 74.111 21.150 0.232 0x00
OBS: 59378.390 i_PS1 NULL 650.958 74.255 20.466 0.124 0x00
OBS: 59381.330 r_PS1 NULL 859.494 54.157 20.164 0.068 0x00
OBS: 59382.280 z_PS1 NULL 525.571 97.036 20.698 0.200 0x00
OBS: 59382.280 g_PS1 NULL 311.499 59.835 21.266 0.209 0x00
OBS: 59390.290 i_PS1 NULL 855.336 121.496 20.170 0.154 0x00
OBS: 59390.290 r_PS1 NULL 784.968 171.866 20.263 0.238 0x00
OBS: 59392.330 z_PS1 NULL 413.122 83.250 20.960 0.219 0x00
OBS: 59392.340 r_PS1 NULL 474.341 60.329 20.810 0.138 0x00
OBS: 59394.300 i_PS1 NULL 556.758 46.105 20.636 0.090 0x00
OBS: 59394.300 r_PS1 NULL 480.539 39.338 20.796 0.089 0x00
OBS: 59396.310 i_PS1 NULL 440.163 53.754 20.891 0.133 0x00
OBS: 59402.300 i_PS1 NULL 303.520 63.465 21.295 0.227 0x00
OBS: 59404.290 r_PS1 NULL 327.457 61.297 21.212 0.203 0x00
OBS: 59419.280 r_PS1 NULL 440.643 116.131 20.890 0.286 0x00
OBS: 59424.260 i_PS1 NULL 305.598 80.708 21.287 0.287 0x00
OBS: 59424.270 r_PS1 NULL 311.242 71.924 21.267 0.251 0x00
